ts_code,name,industry,market,close,pct_chg,open,high,low,volume,amount,turnover_rate,ma5,ma10,ma20,ma60,ma120,ma250,ma20_slope,ma60_slope,high_20d,low_20d,high_60d,low_60d,close_vs_20d_high,close_vs_60d_high,price_percentile_1y,volatility_20d,main_net_inflow_1d,main_net_inflow_3d,main_net_inflow_5d,main_net_inflow_10d,northbound_flow,rsi_14,macd_hist,trend_strength_score,price_above_ma20_days,price_above_ma60_days,pe_ttm,pb,roe,net_profit_yoy,debt_ratio,pe_percentile_5y,pb_percentile_5y,value_score,growth_score,capital_score,sector_score,final_score,score_market_regime,score_weight_value,score_weight_growth,score_weight_capital,score_weight_sector,future_return_10,future_return_30,future_return_60
600938.SH,中国海油,油气开采Ⅱ,上交所,30.54,-0.5212,31.15,31.16,30.3,60762181.0,1855039048.0,1.6781,31.146,32.857,33.911,36.7307,35.5206,31.0105,-3.9267,-2.2566,36.57,30.54,41.95,30.54,-16.4889,-27.199,61.1111,37.1384,,,,,-2054043.9,29.1016,-0.7602,0.0,0.0,0.0,11.13682453,1.65851946,,,,84.1741,58.1602,-39.001,22.5,43.0638,50.0,16.3907,neutral,0.25,0.35,0.25,0.15,,,
301053.SZ,远信工业,专用设备,深交所,42.27,-1.169,42.82,43.42,40.47,2971922.0,123391433.0,6.1081,42.57,42.599,45.7735,51.3327,43.2581,38.021,-5.8236,1.1707,61.21,40.47,68.3,35.45,-30.9427,-38.1113,81.3492,126.2754,,,,,,46.4639,0.073,0.0,0.0,0.0,282.44800171,6.6384685,,,,99.3976,97.5904,-54.1868,26.0,53.34,50.0,16.3883,neutral,0.25,0.35,0.25,0.15,,,
000591.SZ,太阳能,电力,深交所,4.78,0.2096,4.74,4.79,4.6,84732343.0,397161295.0,1.7605,4.97,5.034,5.419,5.5098,5.4393,4.9946,-4.0885,-1.5427,6.07,4.77,6.39,4.77,-21.2521,-25.1956,53.1746,43.5088,,,,,-17374607.82,20.0,-0.1424,0.0,0.0,0.0,24.66511234,0.73635119,,,,86.7769,11.9835,-28.3678,21.5,33.5732,50.0,16.3263,neutral,0.25,0.35,0.25,0.15,,,
603158.SH,腾龙股份,汽车零部件,上交所,12.61,-6.8685,13.48,13.48,12.39,29868280.0,380729150.0,4.2834,13.384,13.737,14.5235,13.695,12.2975,11.0616,-1.3215,0.9497,16.3,12.61,16.3,11.16,-22.638,-22.638,76.1905,72.1032,,,,,,36.5508,-0.5153,0.0,0.0,0.0,102.23811697,2.68716287,,,,96.6942,82.2314,-49.4008,24.5,50.38,50.0,16.3198,neutral,0.25,0.35,0.25,0.15,,,
000628.SZ,高新发展,房屋建设Ⅱ,深交所,51.1,-4.9833,53.37,53.74,50.83,11821414.0,612403601.0,4.0568,53.076,53.277,54.83,57.0543,53.8108,50.7018,-3.4275,0.2178,60.89,50.17,66.18,48.43,-16.0782,-22.7863,55.1587,68.9542,,,,,-15976257.4,37.7237,-0.2481,0.0,0.0,0.0,168.20327453,8.2782577,,,,75.9504,74.3802,-40.1777,25.5,39.6578,50.0,16.295,neutral,0.25,0.35,0.25,0.15,,,
301220.SZ,亚香股份,化学制品,深交所,34.59,-3.1092,35.65,35.69,33.89,2171088.0,74912069.0,2.4065,35.854,35.598,36.692,39.0475,38.8322,41.1468,-3.3289,-1.6758,39.58,34.41,42.95,34.41,-12.6074,-19.4645,0.3968,34.5956,,,,,,29.5732,-0.0492,0.0,0.0,0.0,76.32191632,2.15449565,,,,90.5252,56.9516,-40.9217,21.8,45.56,50.0,16.2896,neutral,0.25,0.35,0.25,0.15,,,
003007.SZ,直真科技,软件开发,深交所,41.4,1.2225,40.9,41.61,40.5,3187250.0,130876395.0,2.8257,40.608,39.947,41.6025,44.648,43.8682,38.9653,-6.7919,-0.3686,51.1,38.59,54.34,38.59,-18.9824,-23.813,66.2698,51.5368,,,,,,45.6262,0.3333,0.0,0.0,0.0,200.81223615,5.41646934,,,,84.3972,97.0248,-48.7952,26.5,46.8,50.0,16.2762,neutral,0.25,0.35,0.25,0.15,,,
600452.SH,涪陵电力,电力,上交所,10.12,0.8973,10.04,10.12,9.79,44046456.0,439051043.0,1.7976,10.338,10.475,11.674,11.9147,11.8591,10.7823,-4.9697,-1.984,13.79,10.03,13.79,10.03,-26.6135,-26.6135,49.2063,48.7845,,,,,-31957684.34,13.2118,-0.345,0.0,0.0,0.0,34.7360072,2.61000024,,,,81.3223,10.6612,-26.1281,20.0,32.4008,50.0,16.0682,neutral,0.25,0.35,0.25,0.15,,,
603920.SH,世运电路,元件,上交所,55.93,-4.3932,58.5,58.77,54.84,37241131.0,2091231954.0,3.9217,58.264,57.067,59.886,58.0202,57.6412,47.0771,-2.6442,0.8523,68.8,52.71,68.8,49.04,-18.7064,-18.7064,71.4286,80.8493,,,,,-1832082.54,49.9259,-0.5456,0.0,0.0,0.0,69.88111554,5.8034864,,,,96.9421,91.7355,-51.8636,26.3,49.2929,50.0,16.0623,neutral,0.25,0.35,0.25,0.15,,,
002969.SZ,嘉美包装,包装印刷,深交所,15.15,-3.009,15.62,16.15,14.87,46624505.0,717588130.0,3.3322,15.608,15.499,17.276,21.2383,19.1591,11.0652,-7.2006,-4.1202,20.38,14.68,27.63,14.68,-25.6624,-45.1683,63.0952,78.7372,,,,,0.0,24.8799,-0.0308,0.0,0.0,0.0,115.01848162,4.97894241,,,,91.405,90.7438,-49.6777,21.5,53.4492,50.0,15.9679,neutral,0.25,0.35,0.25,0.15,,,
