ts_code,name,industry,market,close,pct_chg,open,high,low,volume,amount,turnover_rate,ma5,ma10,ma20,ma60,ma120,ma250,ma20_slope,ma60_slope,high_20d,low_20d,high_60d,low_60d,close_vs_20d_high,close_vs_60d_high,price_percentile_1y,volatility_20d,main_net_inflow_1d,main_net_inflow_3d,main_net_inflow_5d,main_net_inflow_10d,northbound_flow,rsi_14,macd_hist,trend_strength_score,price_above_ma20_days,price_above_ma60_days,pe_ttm,pb,roe,net_profit_yoy,debt_ratio,pe_percentile_5y,pb_percentile_5y,value_score,growth_score,capital_score,sector_score,final_score,score_market_regime,score_weight_value,score_weight_growth,score_weight_capital,score_weight_sector,future_return_10,future_return_20,future_return_30,future_return_60
300042.SZ,朗科科技,计算机设备,创业板,35.87,4.4554,35.09,37.66,34.02,27580412.0,989539613.0,18.0461,34.622,34.813,34.417,30.2213,29.4725,27.3426,0.4759,2.0181,37.07,31.6,37.07,25.13,-3.2371,-3.2371,97.2222,76.5872,374000000.0,184000000.0,171000000.0,285000000.0,19291809.99,56.5598,-0.37,100.0,1.0,30.0,125.37846248,13.44615392,7.47,744.43,34.18,85.8766,99.9174,31.0161,93.3085,83.8405,50.0,68.8721,neutral,0.25,0.35,0.25,0.15,,17.6749,,
002842.SZ,翔鹭钨业,小金属,深交所,41.82,-9.1857,47.0,47.7,41.45,67892142.0,2950219071.0,16.3199,43.766,40.485,34.557,22.0672,16.6425,12.2736,15.9748,14.0854,46.05,25.87,46.05,11.17,-9.1857,-9.1857,98.4127,99.5628,-166000000.0,-189000000.0,-630000000.0,-950000000.0,,73.5877,1.1515,100.0,57.0,60.0,40.86340309,10.80249819,18.79,2917.13,62.44,7.8156,98.843,28.3949,95.6828,74.9189,50.0,66.8174,neutral,0.25,0.35,0.25,0.15,,-25.8728,,
300821.SZ,东岳硅材,化学制品,创业板,13.61,0.8895,13.79,13.9,13.5,36169896.0,493807297.0,8.3819,13.822,13.457,12.8225,12.7095,11.6284,10.0349,0.9367,0.2788,14.89,11.46,14.89,11.4,-8.5964,-8.5964,94.4444,91.6825,59249000.0,217000000.0,-12538200.0,-257000000.0,-1191580.48,63.3694,0.226,100.0,7.0,7.0,178.90591753,4.81301085,3.86,426.99,18.23,84.9689,92.6446,29.6014,91.12,71.4243,50.0,64.6484,neutral,0.25,0.35,0.25,0.15,,-19.1771,,
000612.SZ,焦作万方,工业金属,深交所,15.11,0.7333,15.36,15.49,14.94,76860170.0,1169009798.0,3.3586,14.926,14.553,14.0265,12.3302,10.8487,9.2505,0.8339,3.734,15.14,12.82,15.14,9.67,-0.1982,-0.1982,99.2063,58.8386,-60745200.00000001,-188000000.0,-361000000.0,-510000000.0,-9920907.52,74.4076,0.0931,100.0,11.0,99.0,8.88816578,1.63834575,6.86,216.46,15.03,2.0661,74.5455,47.8874,93.6317,48.4425,50.0,64.3536,neutral,0.25,0.35,0.25,0.15,,-21.7737,,
300444.SZ,双杰电气,电网设备,创业板,17.73,5.0355,16.95,18.88,16.94,202716048.0,3618915127.0,4.7124,16.428,15.941,15.3655,12.5522,10.7222,8.8794,3.6354,4.8344,17.73,12.97,17.73,9.0,0.0,0.0,99.6032,90.8569,-7306400.0,-114000000.0,-317000000.0,-347000000.0,-723190.6,67.6755,0.1365,100.0,8.0,80.0,21.08275268,4.66989508,14.34,29615.01,73.11,0.235,88.0165,26.1777,98.7708,61.2018,50.0,63.9147,neutral,0.25,0.35,0.25,0.15,,-25.2679,,
002192.SZ,融捷股份,能源金属,深交所,54.66,0.1282,55.6,56.68,54.1,9951183.0,550207803.0,10.4674,56.488,55.704,54.347,53.7678,48.7533,39.6458,-1.3827,0.4875,59.68,50.1,61.27,47.69,-8.4115,-10.7883,88.8889,54.2387,94965000.0,-261000000.0,102000000.0,17648700.0,-19209195.33,62.9398,0.2147,75.0,7.0,8.0,43.24129767,5.99049117,7.5,1296.26,22.51,53.3884,61.157,41.8334,81.668,68.9801,50.0,63.7872,neutral,0.25,0.35,0.25,0.15,,32.3088,,
300480.SZ,光力科技,专用设备,创业板,29.33,13.0686,27.0,29.5,26.0,37377793.0,1048088859.0,15.8673,27.76,27.79,25.9575,20.5605,18.8181,16.706,5.6149,5.1007,29.33,21.53,29.33,15.64,0.0,0.0,99.6032,105.2944,182000000.0,385000000.0,713000000.0,419000000.00000006,1356517.26,70.1227,-0.2603,100.0,46.0,38.0,292.81476993,9.31999211,2.38,76.65,17.46,99.877,95.6198,17.4433,87.8323,81.6568,50.0,63.0163,neutral,0.25,0.35,0.25,0.15,,-6.103,,
002756.SZ,永兴材料,能源金属,深交所,68.7,7.934,64.64,69.85,64.4,26967557.0,1841777891.0,5.4137,65.718,60.229,54.606,52.236,46.9749,39.7693,5.2757,2.9863,68.7,46.84,68.7,45.1,0.0,0.0,99.6032,70.889,-1343400.0,-119000000.0,-58219200.0,-270000000.0,-24643930.6,88.5025,3.5767,100.0,9.0,10.0,31.8372326,2.31441044,3.78,155.48,11.45,66.4463,49.3388,36.2534,91.5158,56.8493,50.0,62.8062,neutral,0.25,0.35,0.25,0.15,,7.54,,
300139.SZ,晓程科技,贵金属,创业板,74.0,-5.0064,77.9,78.4,72.8,53331851.0,3994803576.0,6.7147,76.024,68.781,66.163,45.4815,35.5176,26.835,9.071,10.3719,84.38,54.7,84.38,23.8,-12.3015,-12.3015,98.0159,176.9873,47125500.0,6104700.0,7152800.0,78490300.0,,66.1496,1.4884,75.0,8.0,57.0,54.03947304,8.40488278,3.76,307.96,19.98,9.9274,90.9917,35.7294,82.5513,68.3313,50.0,62.4081,neutral,0.25,0.35,0.25,0.15,,-25.6486,,
002297.SZ,博云新材,航空装备Ⅱ,深交所,12.23,1.5781,12.28,12.48,12.08,35135731.0,430710617.0,11.715,12.786,13.09,12.772,11.83,10.3201,8.9444,0.4128,2.5975,14.19,11.55,14.19,9.75,-13.8125,-13.8125,89.2857,60.1697,-94068600.0,-287000000.0,-410000000.0,-1493000000.0,0.0,42.2472,-0.315,50.0,0.0,66.0,86.00525079,7.3526152,6.03,13362.43,32.32,6.9849,99.4215,37.5555,75.5199,75.0247,50.0,62.077,neutral,0.25,0.35,0.25,0.15,,-10.8749,,
