ts_code,name,industry,market,close,pct_chg,open,high,low,volume,amount,turnover_rate,ma5,ma10,ma20,ma60,ma120,ma250,ma20_slope,ma60_slope,high_20d,low_20d,high_60d,low_60d,close_vs_20d_high,close_vs_60d_high,price_percentile_1y,volatility_20d,main_net_inflow_1d,main_net_inflow_3d,main_net_inflow_5d,main_net_inflow_10d,northbound_flow,rsi_14,macd_hist,trend_strength_score,price_above_ma20_days,price_above_ma60_days,pe_ttm,pb,roe,net_profit_yoy,debt_ratio,pe_percentile_5y,pb_percentile_5y,value_score,growth_score,capital_score,sector_score,final_score,score_market_regime,score_weight_value,score_weight_growth,score_weight_capital,score_weight_sector,future_return_10,future_return_30,future_return_60
002437.SZ,誉衡药业,化学制药,深交所,3.82,7.6056,3.56,3.91,3.53,493375420.0,1875186711.0,3.3154,3.542,3.332,3.3435,3.3427,3.2857,3.1465,1.7344,1.0632,3.82,2.97,3.82,2.97,0.0,0.0,99.2063,55.6297,48622000.0,45050500.0,-38117300.0,-71304000.0,2405181.76,65.2778,0.1134,100.0,5.0,5.0,14.03219984,2.41849842,,,,0.3257,6.8595,3.1711,78.0,52.2691,78.3221,42.9706,high,0.4,0.25,0.2,0.15,,,
605116.SH,奥锐特,化学制药,上交所,30.6,-1.5761,30.01,32.1,29.13,16674371.0,507299193.0,0.8116,28.896,26.987,26.5,27.6698,25.1618,23.5511,3.4752,1.4929,31.09,24.38,34.43,24.38,-1.5761,-11.124,94.4444,54.691,7677600.0,-7088600.0,,-40692800.0,1970804.87,72.7273,1.3301,100.0,5.0,3.0,19.4776809,2.84088771,,,,0.2479,0.2479,4.8513,75.8,47.7984,78.3221,42.1985,high,0.4,0.25,0.2,0.15,,,
002166.SZ,莱茵生物,化学制品,深交所,9.4,0.6424,9.35,9.6,9.35,21635191.0,204982962.0,1.4757,9.154,8.86,9.058,9.0197,8.5718,8.2363,0.7732,0.0296,9.46,8.2,9.88,8.2,-0.6342,-4.8583,96.4286,42.78,-2713399.9999999995,-1053100.0,-8426300.0,-20292200.0,-990108.9,50.0,0.1085,100.0,3.0,3.0,34.24369021,1.66311039,1.34,38.06,36.17,4.7934,4.9587,0.4224,81.2649,56.1087,66.5199,41.6849,high,0.4,0.25,0.2,0.15,,,
001325.SZ,元创股份,橡胶,深交所,57.88,1.7581,57.0,58.0,56.6,3823212.0,220512021.0,5.7102,55.882,55.098,55.0195,52.3285,,,2.2012,0.5924,57.88,52.65,57.88,49.17,0.0,0.0,97.0588,42.547,-1792800.0,,-7094500.0,-12489400.0,,55.8603,0.5003,100.0,5.0,9.0,19.35737755,1.67682371,,,,3.3333,3.3333,3.0,78.0,62.5231,50.0,40.7046,high,0.4,0.25,0.2,0.15,,,
600867.SH,通化东宝,生物制品,上交所,9.75,1.6684,9.63,9.86,9.51,104394264.0,1011790097.0,1.2744,9.454,8.914,8.976,8.809,8.7842,8.3615,1.7976,1.0902,9.75,8.11,9.75,8.11,0.0,0.0,99.6032,46.4292,20044200.0,34740500.0,-12687800.0,-44016800.0,-854105.16,62.4573,0.2304,100.0,5.0,5.0,11.75105157,2.00729967,,,,15.3982,0.1653,-0.4307,78.0,46.6828,75.6259,40.0082,high,0.4,0.25,0.2,0.15,,,
601002.SH,晋亿实业,通用设备,上交所,5.48,-3.351,5.63,5.64,5.42,51425899.0,283777088.0,1.8594,5.63,5.438,5.472,5.4402,5.3108,5.1707,1.2115,0.6537,6.03,4.87,6.03,4.87,-9.1211,-9.1211,81.3492,67.4726,-464500.0,-1936800.0,-24533600.0,-40550400.0,0.0,49.6479,0.067,100.0,7.0,7.0,17.17999292,1.00403184,,,,18.4672,17.0248,-5.7197,73.7,62.9616,72.3771,39.586,high,0.4,0.25,0.2,0.15,,,
688805.SH,健信超导,医疗器械,科创板,49.77,9.0252,45.67,50.8,45.3,8150076.0,397096329.0,7.156,46.016,45.073,45.873,45.9797,,,0.6307,,49.77,42.41,50.65,42.14,0.0,-1.7374,90.625,66.2865,9850700.0,-6340300.0,-33211800.0,-53392600.0,,56.1638,0.5581,100.0,2.0,1.0,93.43758862,6.21105193,,,,0.8621,21.5517,-0.6897,74.4,53.2835,67.7161,39.1382,high,0.4,0.25,0.2,0.15,,,
688621.SH,阳光诺和,医疗服务,科创板,68.79,0.0145,68.48,69.66,67.07,3792244.0,259634287.0,1.8482,66.156,62.997,62.904,66.6552,64.7495,60.4261,1.793,-0.1059,68.79,55.81,78.3,55.81,0.0,-12.1456,78.9683,58.8686,7015000.0,28334500.0,15747600.0,34192000.0,2508082.76,63.5389,2.1166,100.0,5.0,2.0,29.46525124,4.5806783,,,,19.5868,14.1322,-5.3884,71.3,57.7842,75.2729,38.5174,high,0.4,0.25,0.2,0.15,,,
300142.SZ,沃森生物,生物制品,创业板,12.69,-0.8594,12.74,12.89,12.58,44743233.0,568773919.0,4.0474,12.494,12.21,12.051,12.1463,11.9693,11.6929,0.955,0.9055,12.8,11.32,14.48,10.91,-0.8594,-12.3619,85.7143,37.9793,11156099.999999998,,-36021900.0,-124000000.0,-5736032.84,60.105,0.1881,100.0,5.0,5.0,69.28570581,2.6726035,1.41,4082.41,29.79,23.1405,40.8264,-12.6108,95.8,39.6606,75.6259,38.1817,high,0.4,0.25,0.2,0.15,,,
600502.SH,安徽建工,基础建设,上交所,5.64,1.6216,5.43,5.75,5.37,227290331.0,1270018015.0,1.6652,5.318,4.988,4.9475,4.8095,4.7792,4.7649,2.8693,1.1426,5.64,4.48,5.64,4.48,0.0,0.0,99.6032,58.6965,8684800.0,3415100.0,,-44273600.0,-2558667.11,65.2381,0.1942,100.0,4.0,4.0,5.03484984,0.63873784,,,,5.6198,0.1653,2.9917,77.8,50.0451,50.0,38.1557,high,0.4,0.25,0.2,0.15,,,
