ts_code,name,industry,market,close,pct_chg,open,high,low,volume,amount,turnover_rate,ma5,ma10,ma20,ma60,ma120,ma250,ma20_slope,ma60_slope,high_20d,low_20d,high_60d,low_60d,close_vs_20d_high,close_vs_60d_high,price_percentile_1y,volatility_20d,main_net_inflow_1d,main_net_inflow_3d,main_net_inflow_5d,main_net_inflow_10d,northbound_flow,rsi_14,macd_hist,trend_strength_score,price_above_ma20_days,price_above_ma60_days,pe_ttm,pb,roe,net_profit_yoy,debt_ratio,pe_percentile_5y,pb_percentile_5y,value_score,growth_score,capital_score,sector_score,final_score,score_market_regime,score_weight_value,score_weight_growth,score_weight_capital,score_weight_sector,future_return_10,future_return_20,future_return_30,future_return_60
002297.SZ,博云新材,航空装备Ⅱ,深交所,11.86,-0.5868,11.96,12.28,11.73,60716319.0,727983257.0,18.0517,12.386,12.211,11.5735,10.0732,9.496,8.2022,5.2184,3.1646,13.0,9.78,13.0,8.64,-8.7692,-8.7692,95.2381,67.8526,,,,,0.0,64.2606,-0.0827,100.0,32.0,36.0,98.22814259,8.39755396,6.03,13362.43,32.32,11.525,99.8347,37.0869,94.1453,79.1841,50.0,69.5186,neutral,0.25,0.35,0.25,0.15,,5.9865,,
002192.SZ,融捷股份,能源金属,深交所,56.2,-4.0956,58.0,59.46,55.5,25582804.0,1467739301.0,13.9159,56.676,55.275,53.484,51.1408,43.8641,36.7867,3.7587,2.7784,58.6,47.69,65.51,39.08,-4.0956,-14.2116,96.8254,51.6724,,,,,-19209195.33,58.8088,0.7913,100.0,17.0,73.0,44.45050622,6.1580105,7.5,1296.26,22.51,55.5372,62.3967,40.854,93.5607,70.4736,50.0,68.0781,neutral,0.25,0.35,0.25,0.15,,-6.0854,,
002582.SZ,好想你,休闲食品,深交所,13.26,-0.5997,13.34,13.69,13.01,57126400.0,762242102.0,2.9069,12.82,12.042,11.3415,10.541,10.19,10.1717,6.0796,2.983,13.34,10.19,13.34,9.4,-0.5997,-0.5997,99.2063,44.0006,,,,,0.0,80.2993,0.4838,100.0,19.0,52.0,2.06588261,0.78273237,24.46,2691.43,31.98,18.0905,30.5785,46.6084,99.2352,50.9616,50.0,66.6248,neutral,0.25,0.35,0.25,0.15,,-7.2398,,
300139.SZ,晓程科技,贵金属,创业板,38.11,-0.9358,38.51,39.54,37.72,48866416.0,1877845107.0,8.1342,35.524,33.488,32.2655,27.8015,25.3912,21.631,3.5511,2.2791,38.47,28.97,38.47,23.44,-0.9358,-0.9358,99.2063,78.9382,,,,,,68.557,1.0047,100.0,8.0,27.0,56.59729215,8.80270624,3.76,307.96,19.98,9.5122,91.157,35.2463,93.111,69.8878,50.0,66.3724,neutral,0.25,0.35,0.25,0.15,,56.0483,,
000506.SZ,招金黄金,贵金属,深交所,14.32,0.7032,14.46,14.59,13.95,44693230.0,636033947.0,4.0976,13.898,13.573,13.5535,12.6942,11.6602,9.0308,2.2443,-0.1442,14.32,13.01,14.32,11.48,0.0,0.0,98.4127,34.4993,,,,,0.0,58.871,0.1028,100.0,24.0,27.0,33.2391961,13.06129966,23.6,6136.21,37.09,35.3395,78.3471,38.5927,97.0601,60.185,50.0,66.1655,neutral,0.25,0.35,0.25,0.15,,38.4777,,
300444.SZ,双杰电气,电网设备,创业板,13.65,7.9051,12.46,13.65,11.88,241788553.0,3083573940.0,6.6553,11.604,10.789,10.473,9.8163,8.8872,7.8958,4.8611,2.3654,13.65,9.63,13.65,7.66,0.0,0.0,99.6032,74.8971,,,,,-723190.6,80.1905,0.6275,100.0,7.0,50.0,22.39502885,4.96056832,14.34,29615.01,73.11,0.47,90.9091,25.8451,98.5952,68.2601,50.0,65.5346,neutral,0.25,0.35,0.25,0.15,,6.3004,,
300390.SZ,天华新能,电池,创业板,54.26,-1.0757,53.8,58.54,53.8,57441563.0,3224946229.0,10.0093,53.164,54.388,53.3795,46.6807,34.3048,27.1146,1.3692,5.3882,57.03,46.91,60.94,23.33,-4.8571,-10.9616,94.4444,82.8219,,,,,-7017425.81,48.4898,-0.7872,100.0,3.0,87.0,60.25745016,6.39352605,8.19,1471.98,34.68,82.8386,73.3884,32.8362,91.7594,69.7111,50.0,65.2526,neutral,0.25,0.35,0.25,0.15,,-14.0804,,
301219.SZ,腾远钴业,能源金属,深交所,72.3,2.1042,72.56,75.3,71.71,16228947.0,1192910161.0,4.5547,70.796,70.028,67.119,65.5832,65.3625,56.8357,3.0943,0.4177,72.3,59.61,72.3,59.43,0.0,0.0,96.8254,29.4956,,,,,-3887768.83,71.5901,0.9946,100.0,18.0,12.0,14.45227882,2.22356236,5.52,330.11,30.57,2.1834,80.1932,38.9532,95.105,58.1164,50.0,65.0541,neutral,0.25,0.35,0.25,0.15,,-2.9461,,
000975.SZ,山金国际,贵金属,深交所,27.94,3.5966,27.36,28.48,27.16,48239406.0,1344508822.0,3.3986,26.154,25.404,25.043,22.7423,21.5063,20.0406,2.9877,0.8992,27.94,23.68,27.94,20.09,0.0,0.0,99.6032,39.5707,,,,,508692.02,66.8016,0.391,100.0,33.0,24.0,13.62229279,3.08009931,8.93,100.89,22.64,0.0,26.6942,49.6397,88.8334,56.1867,50.0,65.0483,neutral,0.25,0.35,0.25,0.15,,10.8805,,
300042.SZ,朗科科技,计算机设备,创业板,28.46,0.9936,28.77,29.07,27.97,16372198.0,468844133.0,20.7172,28.66,27.742,26.7575,28.6375,27.4309,25.7538,1.7976,0.0256,29.18,25.13,34.9,25.13,-2.4674,-18.4527,80.9524,36.2272,,,,,19291809.99,68.5535,0.7201,75.0,8.0,0.0,123.27153808,13.22019781,7.47,744.43,34.18,84.4156,99.9174,30.4,83.0847,82.4174,50.0,64.784,neutral,0.25,0.35,0.25,0.15,,14.8981,,
300975.SZ,商络电子,元件,创业板,13.55,1.9564,13.4,13.82,13.31,38688057.0,524340210.0,22.1892,13.546,13.288,12.84,13.254,12.8428,12.0713,2.213,0.3584,13.91,12.14,15.63,11.98,-2.5881,-13.3077,91.2698,29.1201,,,,,-5699200.81,69.5122,0.2401,100.0,14.0,7.0,56.39530325,11.10542734,10.1,600.35,72.67,46.5289,99.5041,19.8616,93.7644,74.9839,50.0,64.0289,neutral,0.25,0.35,0.25,0.15,,11.0701,,
002517.SZ,恺英网络,游戏Ⅱ,深交所,26.08,-0.9495,26.0,27.55,25.76,89755791.0,2398854150.0,5.9423,25.684,24.429,23.2885,22.8832,22.7087,19.413,3.9248,0.7329,26.41,21.39,26.41,20.86,-1.2495,-1.2495,94.4444,40.6369,,,,,-13842784.06,73.0028,0.8662,100.0,8.0,8.0,15.85030667,3.31580771,7.62,50.65,22.44,15.5372,22.9752,47.5436,82.0974,59.9358,50.0,63.1039,neutral,0.25,0.35,0.25,0.15,,-0.4218,,
300801.SZ,泰和科技,化学制品,创业板,30.48,0.2962,30.25,31.16,29.88,12941443.0,395171087.0,9.9131,31.086,30.49,28.767,29.9433,27.7123,22.4011,3.0355,1.5545,32.58,26.02,42.08,25.6,-6.4457,-27.5665,90.873,68.2838,,,,,0.0,63.9803,0.6975,100.0,13.0,8.0,46.70484903,2.39201612,3.38,202.43,17.44,85.3719,83.1405,27.6368,85.6038,74.9314,50.0,63.1034,neutral,0.25,0.35,0.25,0.15,,-0.8202,,
