ts_code,name,industry,market,close,pct_chg,open,high,low,volume,amount,turnover_rate,ma5,ma10,ma20,ma60,ma120,ma250,ma20_slope,ma60_slope,high_20d,low_20d,high_60d,low_60d,close_vs_20d_high,close_vs_60d_high,price_percentile_1y,volatility_20d,main_net_inflow_1d,main_net_inflow_3d,main_net_inflow_5d,main_net_inflow_10d,northbound_flow,rsi_14,macd_hist,trend_strength_score,price_above_ma20_days,price_above_ma60_days,pe_ttm,pb,roe,net_profit_yoy,debt_ratio,pe_percentile_5y,pb_percentile_5y,value_score,growth_score,capital_score,sector_score,final_score,score_market_regime,score_weight_value,score_weight_growth,score_weight_capital,score_weight_sector,future_return_10,future_return_20,future_return_30,future_return_60
002297.SZ,博云新材,航空装备Ⅱ,深交所,13.16,4.4444,12.65,13.28,12.53,78089045.0,1018603218.0,16.6613,12.792,12.654,12.4715,11.2872,10.059,8.7325,1.5967,2.8069,13.16,11.55,13.16,8.64,0.0,0.0,99.6032,63.2967,,,,,0.0,59.4787,0.0049,100.0,9.0,58.0,85.3525721,7.2968175,6.03,13362.43,32.32,6.0536,99.4215,38.1358,98.9464,78.7115,50.0,71.3431,neutral,0.25,0.35,0.25,0.15,,,,
000681.SZ,视觉中国,数字媒体,深交所,29.54,1.3727,29.49,30.5,29.1,112365948.0,3343381963.0,4.9968,29.232,27.911,27.5225,25.2992,23.4423,22.2978,-2.2326,2.3553,30.49,25.81,35.11,20.96,-3.1158,-15.8644,97.2222,77.5444,,,,,-1090236.77,59.1549,0.2706,75.0,4.0,32.0,45.09314408,3.57640311,6.41,1240.47,16.86,0.0826,58.843,47.2696,84.9234,62.5895,50.0,64.688,neutral,0.25,0.35,0.25,0.15,,,,
300480.SZ,光力科技,专用设备,创业板,28.0,-0.8147,28.44,28.75,27.1,25247654.0,703597680.0,14.6657,27.692,25.212,23.534,18.9597,18.1752,16.3053,10.062,5.0572,28.23,20.06,28.23,15.16,-0.8147,-0.8147,99.2063,91.615,,,,,1356517.26,73.633,0.9087,100.0,38.0,30.0,271.68380715,8.64741536,2.38,76.65,17.46,99.262,94.2975,17.4294,87.503,79.3083,50.0,62.3105,neutral,0.25,0.35,0.25,0.15,,,,
000612.SZ,焦作万方,工业金属,深交所,13.76,-1.9943,13.92,14.24,13.72,44838236.0,625199977.0,2.7781,13.658,13.427,13.747,11.6507,10.4697,9.0095,1.3678,2.2078,15.1,12.82,15.1,9.43,-8.8742,-8.8742,96.4286,71.2652,,,,,-9920907.52,41.5869,-0.2148,100.0,3.0,91.0,9.1735271,1.69094609,6.86,216.46,15.03,3.719,78.595,47.1163,91.0167,42.3946,50.0,61.7336,neutral,0.25,0.35,0.25,0.15,,,,
301031.SZ,中熔电气,其他电子Ⅱ,深交所,145.9,-0.5114,144.81,150.5,144.56,2690900.0,397117361.0,5.0811,144.738,143.138,141.861,119.4867,113.5053,108.148,5.4835,2.8233,151.51,119.5,151.51,98.68,-3.7027,-3.7027,97.619,79.1952,,,,,-1942051.92,49.4595,-1.4002,100.0,23.0,23.0,36.5834329,10.24907799,7.31,87.43,53.77,9.8415,66.1384,32.7398,85.6258,62.256,50.0,61.218,neutral,0.25,0.35,0.25,0.15,,,,
301358.SZ,湖南裕能,电池,深交所,67.81,1.3602,66.23,69.98,66.03,25412633.0,1741916125.0,3.8224,65.08,63.859,64.529,65.8962,59.9975,46.0178,1.5134,-2.1233,68.33,61.3,76.51,60.58,-0.761,-11.3711,87.3016,44.6124,,,,,-3548210.97,55.5094,1.036,100.0,3.0,2.0,24.90900405,3.32187685,9.98,1337.77,61.23,47.0732,73.0488,26.7545,92.8498,54.9212,50.0,60.4164,neutral,0.25,0.35,0.25,0.15,,,,
301548.SZ,崇德科技,通用设备,深交所,87.31,-1.4115,89.5,91.47,86.0,2224887.0,195590937.0,15.4986,83.91,75.946,73.7745,60.7082,56.7213,52.6263,6.8066,4.1762,88.56,66.92,88.56,48.7,-1.4115,-1.4115,99.2063,100.8252,,,,,,56.9253,2.7944,100.0,5.0,39.0,51.3509009,4.73373173,2.5,40.56,14.25,94.003,95.2024,19.8777,80.7482,75.6317,50.0,59.6392,neutral,0.25,0.35,0.25,0.15,,,,
300373.SZ,扬杰科技,半导体,创业板,85.66,-2.2369,86.04,87.5,85.53,13712080.0,1184585557.0,7.4841,83.508,82.225,80.668,71.059,69.8791,58.9222,4.6088,2.176,90.0,71.5,90.0,62.38,-4.8222,-4.8222,98.0159,75.791,,,,,8973080.34,59.4545,0.0345,100.0,22.0,30.0,59.44775321,8.22192005,3.96,41.01,39.43,98.595,99.8347,20.5723,80.9394,72.9948,50.0,59.2206,neutral,0.25,0.35,0.25,0.15,,,,
600392.SH,盛和资源,小金属,上交所,29.46,-4.691,30.18,30.86,29.32,113737402.0,3414900940.0,8.89,28.956,27.039,26.407,23.149,23.1318,18.2243,5.1548,2.8966,30.91,23.86,30.91,20.1,-4.691,-4.691,98.8095,90.9223,,,,,-14934664.26,58.1288,0.6264,100.0,5.0,29.0,50.24800179,3.89681734,2.56,94.46,36.04,53.4711,85.9504,18.3993,84.807,65.4021,50.0,58.1328,neutral,0.25,0.35,0.25,0.15,,,,
300139.SZ,晓程科技,贵金属,创业板,57.08,0.0877,57.32,59.8,56.66,40100593.0,2333271579.0,7.2676,58.572,59.768,57.383,39.1772,32.0281,25.1093,9.8681,7.8211,84.38,40.71,84.38,23.48,-32.3536,-32.3536,95.2381,188.7294,,,,,,52.3745,-2.9513,50.0,0.0,49.0,53.55156535,8.32899739,3.76,307.96,19.98,9.466,90.9091,35.294,71.0288,67.3472,50.0,58.0204,neutral,0.25,0.35,0.25,0.15,,,,
001210.SZ,金房能源,电力,深交所,24.1,7.5413,22.37,24.17,22.15,6256366.0,145862573.0,10.76,23.654,23.503,23.169,19.7015,18.1524,16.2794,2.3886,2.587,24.52,21.5,24.52,16.0,-1.7129,-1.7129,98.8095,53.9719,,,,,,58.9823,-0.3606,100.0,1.0,30.0,35.94111427,3.34298371,9.42,2.09,31.73,66.6106,94.7855,36.2012,66.2992,72.8702,50.0,57.9726,neutral,0.25,0.35,0.25,0.15,,,,
002947.SZ,恒铭达,消费电子,深交所,48.82,-0.2656,48.72,50.15,48.53,6242580.0,308278810.0,8.0406,48.416,46.699,47.472,47.2435,46.3102,40.2162,-1.1505,0.4721,51.63,44.47,56.28,41.51,-5.4426,-13.2552,87.6984,38.851,,,,,7467954.15,54.6334,0.7056,75.0,4.0,4.0,33.36376279,5.93320451,4.77,39.91,25.21,69.2562,96.3636,32.2967,68.0525,73.9369,50.0,57.8768,neutral,0.25,0.35,0.25,0.15,,,,
