ts_code,name,industry,market,close,pct_chg,open,high,low,volume,amount,turnover_rate,ma5,ma10,ma20,ma60,ma120,ma250,ma20_slope,ma60_slope,high_20d,low_20d,high_60d,low_60d,close_vs_20d_high,close_vs_60d_high,price_percentile_1y,volatility_20d,main_net_inflow_1d,main_net_inflow_3d,main_net_inflow_5d,main_net_inflow_10d,northbound_flow,rsi_14,macd_hist,trend_strength_score,price_above_ma20_days,price_above_ma60_days,pe_ttm,pb,roe,net_profit_yoy,debt_ratio,pe_percentile_5y,pb_percentile_5y,value_score,growth_score,capital_score,sector_score,final_score,score_market_regime,score_weight_value,score_weight_growth,score_weight_capital,score_weight_sector,future_return_10,future_return_30,future_return_60,future_return_20
002297.SZ,博云新材,航空装备Ⅱ,深交所,26.15,8.5062,23.79,26.51,23.5,200381754.0,5143752669.0,38.3956,25.172,24.069,20.8865,14.9107,12.8823,10.5367,20.5118,7.8646,26.15,12.08,26.15,10.17,0.0,0.0,99.6032,92.7454,,,,,0.0,71.7632,0.4747,100.0,20.0,20.0,97.36779341,8.32400244,6.03,13362.43,32.32,10.943,99.9174,-10.6515,99.9362,65.9906,50.0,56.3124,neutral,0.25,0.35,0.25,0.15,,,,-20.3442
002259.SZ,升达林业,燃气Ⅱ,深交所,5.6,-2.439,5.79,5.82,5.59,36004956.0,203795557.0,2.1514,5.688,5.462,5.47,5.5177,4.8502,4.5058,1.7769,0.0363,6.03,5.06,6.31,4.99,-7.131,-11.252,88.4921,79.7203,,,,,0.0,48.2085,0.0752,100.0,4.0,4.0,15.77905991,6.79778854,18.35,576.67,38.63,1.9774,2.1488,16.7532,89.9947,51.4506,50.0,56.0491,neutral,0.25,0.35,0.25,0.15,,,,-20.8929
301246.SZ,宏源药业,化学制药,深交所,32.26,-0.1238,32.31,33.22,31.68,19369009.0,624615779.0,10.4561,31.592,29.692,26.987,23.3627,21.946,18.5229,8.8537,3.861,32.37,23.65,32.37,19.56,-0.3398,-0.3398,98.8095,70.5121,,,,,-360794.8,77.9986,1.2173,100.0,31.0,31.0,46.83498799,2.58659209,3.19,1524.43,26.67,18.3777,79.4677,-11.9171,99.1707,61.725,50.0,54.6617,neutral,0.25,0.35,0.25,0.15,,,,-16.615
002582.SZ,好想你,休闲食品,深交所,12.57,4.5757,11.99,12.8,11.99,42605496.0,535469350.0,3.5508,12.342,12.472,12.473,11.78,11.6468,10.8589,1.9161,-0.3553,12.96,11.72,12.96,10.07,-3.0093,-3.0093,88.8889,38.8726,,,,,0.0,53.0612,-0.1365,100.0,1.0,19.0,2.11903171,0.80286978,24.46,2691.43,31.98,19.598,33.719,4.703,90.9258,55.2306,50.0,54.3074,neutral,0.25,0.35,0.25,0.15,,,,-25.8552
300444.SZ,双杰电气,电网设备,创业板,17.76,1.4857,17.3,18.57,17.23,158791998.0,2849687905.0,9.1194,16.88,16.706,15.9665,15.4327,13.3163,10.3276,5.7069,1.2399,17.76,13.6,18.16,12.8,0.0,-2.2026,99.2063,64.282,,,,,-723190.6,63.6499,0.2922,100.0,18.0,18.0,24.00084048,5.31626057,14.34,29615.01,73.11,1.2926,93.0579,-13.5255,98.8,60.4648,50.0,53.8148,neutral,0.25,0.35,0.25,0.15,,,,-29.955
301219.SZ,腾远钴业,能源金属,深交所,90.74,1.7379,89.0,91.5,88.33,12360104.0,1114958711.0,7.1181,90.076,88.256,84.5955,72.4802,69.9117,63.907,9.0106,2.1051,91.0,68.35,91.0,57.52,-0.2857,-0.2857,99.2063,80.9557,,,,,-3887768.83,67.1104,0.347,100.0,23.0,19.0,14.69936942,2.26157861,5.52,330.11,30.57,2.8446,82.6718,-3.4897,96.4912,52.8281,50.0,53.6065,neutral,0.25,0.35,0.25,0.15,,,,-40.9632
301500.SZ,飞南资源,环境治理,深交所,31.62,4.9104,30.25,32.6,30.25,28040352.0,890526703.0,15.8783,31.002,30.455,27.3955,23.5402,19.8948,18.9756,7.8202,3.692,31.62,22.7,31.62,18.59,0.0,0.0,99.6032,84.9406,,,,,-5913764.64,77.9935,0.5279,100.0,24.0,24.0,22.50694228,2.98307252,8.14,7919.37,61.53,2.568,95.7704,-13.1747,99.8724,54.4398,50.0,52.7716,neutral,0.25,0.35,0.25,0.15,,,,-22.296
300773.SZ,拉卡拉,多元金融,创业板,28.36,1.1052,28.0,28.67,27.59,54872941.0,1552984758.0,5.4124,27.816,27.332,26.8095,26.3532,25.5017,25.6856,3.6196,0.2339,28.36,24.76,29.52,22.56,0.0,-3.9295,82.1429,36.6398,,,,,-10090167.26,57.8761,0.3154,100.0,21.0,8.0,11.50840527,3.93290424,13.0,490.97,60.69,1.4374,44.1322,0.8163,96.4396,45.0614,50.0,52.7233,neutral,0.25,0.35,0.25,0.15,,,,-21.0155
002842.SZ,翔鹭钨业,小金属,深交所,39.91,10.0055,36.02,39.91,36.01,39294604.0,1514623486.0,26.4034,38.118,36.561,34.896,35.0902,25.3566,17.1974,4.1361,2.716,39.91,30.36,46.05,25.87,0.0,-13.3333,96.4286,83.214,,,,,,61.8387,1.0529,100.0,8.0,8.0,41.01600501,10.84283947,18.79,2917.13,62.44,7.6152,99.1736,-15.2498,96.0172,59.86,50.0,52.2586,neutral,0.25,0.35,0.25,0.15,,,,-10.3984
300657.SZ,弘信电子,元件,创业板,39.22,3.9767,37.55,39.46,37.07,48417777.0,1880349764.0,12.5911,39.166,37.434,36.0465,32.621,30.8266,30.3043,7.518,2.1065,40.53,30.82,40.53,27.83,-3.2322,-3.2322,98.8095,62.2758,,,,,15866848.86,63.9974,0.4572,100.0,20.0,19.0,116.43183874,14.61597849,2.81,457.57,78.96,15.7895,96.8595,-27.7875,94.812,70.1447,50.0,51.2735,neutral,0.25,0.35,0.25,0.15,,,,10.5558
