industry,sector_money_flow_1d,sector_money_flow_3d,sector_money_flow_5d,sector_money_flow_10d,sector_momentum_score,sector_strength_rank,leader_stock_strength,leader_stock_return_20d,sector_high_stock_ratio,sector_new_high_ratio
半导体,-63.27,267.76,336.38,-52.16,93.48,1,15.71,-12.2007,0.5311,
自动化设备,-27.07,8.45,68.98,0.59,89.92,2,13.73,,0.4632,
通信设备,-123.89,12.55,193.39,-37.91,86.59,3,10.0,23.3766,0.3297,
通用设备,-54.73,-6.51,47.77,-10.0,82.91,4,30.0,,0.5592,
元件,-117.75,-33.24,139.53,16.85,82.9,5,10.0,25.6983,0.1452,
光学光电子,-36.05,26.0,45.5,-49.62,82.44,6,11.2,25.711,0.4953,
消费电子,-76.13,14.81,88.53,-42.32,82.34,7,5.7,-3.8388,0.3226,
生物制品,0.43,-2.92,-2.84,-5.9,81.01,8,18.44,-10.0988,0.8704,
化学制药,3.46,-9.33,-8.43,-19.01,80.1,9,27.9,,0.9172,
电子化学品,-14.34,33.51,33.81,-7.7,79.47,10,13.71,57.7218,0.2927,
医疗服务,2.05,1.55,-6.31,-8.28,78.51,11,19.95,-15.3333,0.8,
医药商业,-0.05,-1.82,-0.61,-1.66,77.91,12,9.99,-3.6226,0.9062,
专用设备,-49.16,3.83,32.64,-14.03,76.27,13,11.94,-24.9069,0.5515,
其他电子,-5.79,2.37,28.68,-15.61,74.79,14,7.32,,0.3529,
汽车零部件,-18.28,-18.06,28.59,-8.94,74.28,15,13.93,,0.5833,
化学制品,-32.18,-3.28,10.04,-28.26,73.85,16,20.0,-1.0101,0.5486,
计算机设备,-25.6,28.47,28.33,-22.21,73.4,17,14.74,-26.9977,0.4578,
医疗器械,-4.02,-1.57,-5.64,-7.79,73.08,18,11.49,7.5681,0.8561,
塑料制品,-22.56,-12.96,12.92,-15.6,72.97,19,18.0,-16.1386,0.4342,
IT服务,-43.66,-19.56,16.47,-16.49,72.61,20,19.91,-2.4209,0.368,
美容护理,-1.18,-1.21,-0.33,-2.43,70.05,21,10.04,-0.4888,0.7576,
环境治理,-8.83,-6.29,-0.44,-5.79,69.95,22,19.98,-18.3688,0.6273,
非金属材料,-9.43,-8.16,3.87,-1.33,69.07,23,16.19,,0.4,
橡胶制品,1.17,-0.39,-0.87,-2.34,68.94,24,10.0,11.8677,0.7727,
环保设备,-0.31,-1.2,2.22,-2.18,68.59,25,12.03,-4.385,0.6667,
软件开发,-35.98,-10.81,-1.92,-16.45,68.35,26,20.0,-19.125,0.3333,
造纸,-1.75,-3.89,-2.54,-3.27,67.76,27,10.03,-14.0058,0.5833,
养殖业,-3.35,-5.71,-3.1,-3.71,67.64,28,10.05,-3.9604,0.7143,
中药,1.8,-7.66,-3.93,-7.88,67.3,29,9.97,-11.0865,0.8507,
证券,-29.02,-23.24,13.7,-14.2,66.81,30,10.0,4.4957,0.6042,
综合,-15.61,-1.6,0.81,-12.18,66.7,31,9.93,8.4967,0.875,
纺织制造,0.87,0.35,0.39,-1.41,66.64,32,10.01,35.6061,0.7812,
旅游及酒店,-0.2,-6.14,-2.57,-3.86,66.51,33,7.73,-9.0625,0.8571,
石油加工贸易,-3.17,-1.7,-1.31,0.76,66.42,34,9.99,-7.1307,0.44,
港口航运,0.72,1.92,-8.99,-10.16,66.22,35,5.68,12.099,0.6571,
其他电源设备,-23.3,-4.65,10.2,-5.79,65.76,36,9.9,-8.642,0.2857,
食品加工制造,-3.04,-13.38,-1.28,-2.72,65.61,37,9.22,,0.75,
电机,-4.7,-6.68,1.21,-2.21,65.57,38,10.02,-24.2533,0.4167,
金属新材料,-14.61,-12.27,1.48,-4.33,64.5,39,20.0,37.6719,0.1562,
服装家纺,0.69,-3.94,5.43,-1.96,64.25,40,10.82,5.3333,0.6849,
家居用品,-2.79,-3.11,-0.92,-1.51,64.15,41,10.04,7.2178,0.6598,
包装印刷,-6.71,0.76,-2.77,1.6,64.02,42,10.02,-19.6285,0.5778,
贵金属,-65.34,1.17,15.13,-14.04,63.97,43,4.42,20.6268,0.0714,
互联网电商,-1.49,3.75,2.33,-2.49,63.51,44,7.03,7.7217,0.3889,
黑色家电,-0.83,-0.73,3.4,-2.57,62.97,45,4.32,-39.6189,0.4444,
白色家电,-20.9,-12.11,-4.81,-3.91,62.89,46,7.18,-33.321,0.625,
游戏,-15.15,-9.37,-5.86,-6.3,62.77,47,5.13,-10.6538,0.1739,
工程机械,-8.01,-1.79,-0.27,4.46,62.31,48,7.41,-15.4104,0.5278,
小金属,-88.31,-56.52,5.45,-27.54,61.92,49,9.99,36.3591,0.1379,
文化传媒,-36.14,-17.96,-5.16,-20.67,61.57,50,9.98,-1.6559,0.3875,
工业金属,-118.35,-17.31,16.3,-38.19,61.44,51,6.35,2.9038,0.0909,
零售,-3.51,-22.71,-4.63,-11.01,61.32,52,9.96,-2.4096,0.6769,
建筑材料,-11.12,-20.48,9.58,-13.76,60.28,53,8.51,-8.7527,0.4648,
建筑装饰,-31.61,7.29,-8.43,-31.38,60.22,54,10.03,4.9748,0.4964,
化学纤维,-5.19,-3.21,-2.2,-7.75,59.93,55,5.6,-7.0809,0.3929,
电网设备,-44.63,-37.83,1.62,-32.43,59.82,56,10.02,2.9235,0.2993,
其他社会服务,-3.19,1.82,-0.36,-3.09,59.62,57,2.93,,0.4103,
农产品加工,-1.0,-4.48,-2.22,-3.3,59.57,58,4.09,,0.775,
影视院线,-1.79,-8.71,-2.05,-3.51,59.09,59,6.19,2.7211,0.5263,
通信服务,-26.78,-10.17,10.61,-6.88,58.91,60,4.99,13.8374,0.2,
化学原料,-9.15,-12.38,-4.27,-11.75,58.73,61,10.87,,0.5345,
物流,-0.5,-3.07,-3.92,-3.44,58.67,62,4.97,-13.081,0.7551,
房地产,-4.32,-2.81,-4.68,-15.54,58.24,63,10.15,18.1452,0.6988,
机场航运,-4.77,-1.08,1.83,-10.14,58.08,64,0.57,-5.0091,0.1667,
燃气,-2.45,-1.49,-1.23,-1.49,58.02,65,9.97,20.7645,0.7917,
多元金融,-2.74,-3.03,0.68,-4.5,57.98,66,3.74,-8.2915,0.4,
农化制品,-22.51,-16.85,-3.89,-10.05,57.55,67,9.98,13.6364,0.4098,
教育,-0.73,-1.33,0.97,-0.61,57.05,68,1.82,-17.2236,0.4667,
汽车服务及其他,0.74,-1.42,-0.88,0.35,56.9,69,5.38,,0.8,
