industry,sector_money_flow_1d,sector_money_flow_3d,sector_money_flow_5d,sector_money_flow_10d,sector_momentum_score,sector_strength_rank,leader_stock_strength,leader_stock_return_20d,sector_high_stock_ratio,sector_new_high_ratio
半导体,-44.21,112.42,80.68,267.76,100.0,1,20.0,32.9291,0.0782,0.995
生物制品,-7.3,15.0,-1.49,-2.92,85.42,2,10.0,3.0818,0.3704,1.0
证券,-70.73,-3.27,57.78,-23.24,81.94,3,2.81,6.3269,0.06,1.0
电子化学品,-8.66,29.83,-13.88,33.51,80.56,4,10.0,34.5895,0.1667,1.0
医疗服务,-12.91,18.96,0.2,1.55,79.22,5,4.84,8.2942,0.2679,1.0
光学光电子,25.55,-69.01,6.88,26.0,76.12,6,10.03,-3.6554,0.1759,1.0
游戏,12.88,5.64,6.8,-9.37,75.12,7,12.19,-4.0189,0.3333,0.9878
白色家电,1.33,3.0,-11.62,-12.11,74.12,8,19.99,6.9104,0.381,0.9733
医疗器械,-5.88,7.96,-1.29,-1.57,71.88,9,18.46,14.8148,0.4394,0.9656
元件,-68.6,-47.91,112.24,-33.24,71.71,10,6.8,10.2605,0.1129,0.9606
环保设备,-1.98,-5.68,-1.53,-1.2,71.18,11,10.0,-26.5233,0.4483,0.9935
军工电子,-3.22,-2.15,-10.26,11.44,70.05,12,9.28,-2.695,0.0984,1.0
黑色家电,0.62,-0.04,0.49,-0.73,69.77,13,5.99,-3.4375,0.3333,0.9562
互联网电商,-2.84,0.32,-5.07,3.75,69.43,14,2.43,-11.1511,0.4706,0.9804
教育,-1.31,-0.1,-0.93,-1.33,67.46,15,4.83,-28.0749,0.4667,0.8954
保险,-8.24,2.48,2.72,-6.72,66.79,16,-0.41,7.2485,0.0,0.9833
自动化设备,-28.87,4.68,9.0,8.45,66.63,17,10.0,12.0031,0.3053,0.9806
专用设备,-14.04,-11.81,-7.68,3.83,64.17,18,14.78,-4.6113,0.4021,0.9653
光伏设备,-50.06,18.43,-13.83,-28.54,63.83,19,9.98,-35.8862,0.1389,0.9587
通用设备,7.46,-11.21,-17.17,-6.51,63.49,20,12.37,10.5012,0.4375,0.9813
旅游及酒店,-0.99,-0.41,-0.57,-6.14,63.35,21,4.14,-8.0952,0.5484,0.9009
厨卫电器,-0.93,0.27,-0.16,0.06,63.18,22,2.68,-13.7334,0.5556,0.9331
汽车服务及其他,-0.3,0.02,-0.95,-1.42,63.16,23,4.69,,0.4583,0.9398
美容护理,0.03,0.83,-0.35,-1.21,63.05,24,19.99,-24.7364,0.6562,
零售,-8.52,-2.14,-0.87,-22.71,63.05,24,7.0,-11.4255,0.4531,0.9026
家居用品,-0.95,0.73,-0.43,-3.11,62.97,26,20.04,-14.9842,0.6526,
白酒,-9.49,9.31,6.09,-19.21,62.53,27,0.84,-8.7369,0.2632,0.8946
机场航运,-4.19,-1.78,12.85,-1.08,62.09,28,0.95,-2.3904,0.1538,0.9431
金属新材料,6.3,-7.28,0.08,-12.27,61.08,29,10.74,-1.7518,0.4706,0.9383
橡胶制品,7.28,-5.22,-7.92,-0.39,60.96,30,5.64,76.7775,0.5,0.9736
计算机设备,-33.31,4.04,24.36,28.47,60.9,31,6.22,,0.1687,0.9684
化学制药,-14.47,49.14,-2.46,-9.33,60.78,32,16.55,-11.3772,0.6497,
建筑装饰,-17.68,-9.33,-12.2,7.29,60.56,33,9.98,2.9667,0.471,0.9209
其他社会服务,0.09,-3.75,-1.88,1.82,60.56,33,3.29,0.7667,0.3902,0.9639
环境治理,-2.91,-4.29,-2.29,-6.29,60.17,35,10.07,-14.2163,0.4811,0.9199
军工装备,-29.95,-13.27,-23.54,-5.97,59.91,36,14.24,-3.9721,0.1852,0.9707
港口航运,-1.18,-0.7,-9.06,1.92,59.85,37,10.0,7.8947,0.8333,
纺织制造,-0.87,-1.5,-1.51,0.35,59.74,38,10.09,5.4374,0.75,
小金属,5.38,-14.68,-20.76,-56.52,59.7,39,10.0,40.7282,0.3929,0.9392
塑料制品,-7.97,-3.93,-1.43,-12.96,59.58,40,20.01,-14.9763,0.4933,
通信设备,-88.54,-40.88,73.44,12.55,59.55,41,5.2,-33.3333,0.1099,0.9394
轨交设备,-1.05,-0.06,-0.65,-1.08,59.41,42,1.8,-12.2696,0.3793,0.9637
养殖业,-3.3,4.67,-2.44,-5.71,59.26,43,10.08,-11.5497,0.7353,
物流,0.97,0.04,0.16,-3.07,59.19,44,9.99,-25.7328,0.7083,
房地产,-14.51,-7.51,-4.37,-2.81,58.82,45,10.28,-26.7123,0.2892,0.8942
建筑材料,-16.26,-9.53,-5.34,-20.48,58.76,46,10.04,-19.2253,0.3478,0.9532
中药,0.24,7.31,-3.56,-7.66,58.71,47,7.67,-8.8727,0.7794,
服装家纺,0.88,0.02,0.21,-3.94,58.66,48,10.01,18.436,0.6806,
造纸,1.27,-0.46,-0.93,-3.89,58.44,49,9.98,-6.2367,0.6818,
文化传媒,-5.71,-5.04,-17.88,-17.96,58.08,50,19.89,-15.6322,0.5854,
其他电子,-10.24,-26.63,-1.71,2.37,57.91,51,7.51,11.8573,0.1515,0.98
综合,-3.15,-4.38,-4.28,-1.6,57.88,52,5.12,28.1081,0.4444,0.9337
公路铁路运输,0.82,1.55,-1.23,-2.76,57.87,53,4.23,-1.0471,0.8,
包装印刷,-5.67,1.75,-5.45,0.76,57.85,54,5.01,-13.147,0.3333,0.966
医药商业,-0.4,0.77,-1.51,-1.82,57.77,55,5.18,-27.027,0.7742,
农产品加工,-2.27,3.33,0.57,-4.48,57.28,56,10.15,-10.1877,0.6047,
多元金融,-4.83,-0.28,-1.13,-3.03,57.1,57,4.63,-17.6289,0.1923,0.9457
化学纤维,-1.76,-2.02,-5.36,-3.21,56.82,58,10.07,-15.5529,0.6429,
汽车零部件,8.0,-9.94,-28.49,-18.06,56.72,59,29.95,,0.6207,
风电设备,-17.72,-9.26,-2.23,-3.87,56.69,60,10.17,-12.1005,0.129,0.9004
化学原料,1.18,-1.56,-4.37,-12.38,56.54,61,10.0,25.8993,0.6207,
软件开发,-37.76,-8.95,-4.45,-10.81,56.35,62,12.82,9.4295,0.1799,0.9277
工程机械,4.73,1.43,-3.63,-1.79,56.29,63,10.04,-11.5074,0.6,
农化制品,-5.24,-3.52,-15.83,-16.85,56.18,64,10.02,-1.0236,0.7167,
饮料制造,-2.32,3.38,-0.5,-5.65,56.0,65,4.93,-24.6575,0.6818,
电机,0.94,-0.13,-5.8,-6.68,55.96,66,7.03,,0.68,
食品加工制造,-2.25,-0.49,-1.36,-13.38,55.58,67,7.08,-6.9056,0.6154,
贵金属,21.43,7.49,-34.68,1.17,55.23,68,10.04,-20.7469,0.8571,
种植业与林业,-1.11,-0.4,-1.09,-5.25,55.16,69,10.07,-15.7706,0.5172,
煤炭开采加工,4.64,2.11,-1.44,-11.31,54.81,70,5.49,-21.6366,0.6176,
影视院线,-0.94,-0.3,0.97,-8.71,54.68,71,10.14,-15.2334,0.4706,
贸易,-1.72,-1.62,-0.34,-2.08,54.59,72,6.96,2.375,0.3636,0.8326
燃气,-2.33,-0.85,-2.38,-1.49,54.14,73,3.08,-21.1131,0.6538,
银行,5.64,4.61,-29.45,-31.76,54.11,74,2.85,-7.4573,0.9286,
小家电,0.97,0.53,0.42,-1.98,53.88,75,5.2,-23.2558,0.56,
汽车整车,-1.3,7.36,-1.2,-22.9,53.37,76,10.08,-16.5929,0.4286,
石油加工贸易,1.59,-0.55,-9.33,-1.7,52.23,77,5.11,-11.0795,0.5769,
化学制品,-4.53,-20.31,-17.91,-3.28,51.95,78,10.01,19.0016,0.5266,
钢铁,-1.98,-0.65,-5.48,-12.56,51.68,79,5.07,-14.4479,0.5122,
电力,0.98,7.88,-53.17,-35.89,49.78,80,136.89,,0.3365,0.8139
电网设备,-21.58,-7.34,-22.37,-37.83,49.27,81,18.02,-32.8974,0.3116,0.8823
油气开采及服务,-2.32,0.17,-3.47,-1.37,48.38,82,5.21,-37.0492,0.3684,0.8453
消费电子,-62.98,-47.21,-9.18,14.81,46.16,83,3.46,-7.8752,0.0938,0.9633
电池,-6.84,22.28,-55.89,-41.74,45.51,84,616.55,,0.2885,0.9361
通信服务,-5.4,-4.97,-23.35,-10.17,45.38,85,10.01,-13.4249,0.1591,0.9239
其他电源设备,-16.44,2.49,-5.85,-4.65,44.25,86,7.51,-24.8284,0.1176,0.933
IT服务,-23.77,-3.35,-59.41,-19.56,42.61,87,13.26,-4.4077,0.2016,0.9268
能源金属,-11.5,4.51,-29.76,-11.28,41.53,88,6.04,-2.9659,0.25,0.9402
非金属材料,-4.19,-5.87,-1.19,-8.16,41.32,89,9.65,,0.25,0.891
工业金属,-7.83,3.87,-46.23,-17.31,38.35,90,10.09,-21.8959,0.3889,0.8911
