industry,sector_money_flow_1d,sector_money_flow_3d,sector_money_flow_5d,sector_money_flow_10d,sector_momentum_score,sector_strength_rank,leader_stock_strength,leader_stock_return_20d,sector_high_stock_ratio,sector_new_high_ratio
半导体,-3.61,-63.27,119.66,14.41,74.59,1,17.39,8.8301,0.5449,
消费电子,-10.98,-76.13,52.59,-14.02,59.91,2,11.05,-30.6195,0.1935,
风电设备,1.15,-12.34,-5.17,-2.8,57.73,3,10.44,-37.5996,0.6774,
电子化学品,-2.05,-14.34,-13.66,27.4,57.73,3,11.41,,0.7381,
通信设备,-26.88,-123.89,50.77,-65.98,55.12,5,6.42,-9.0443,0.0879,
小金属,-2.4,-88.31,-8.75,31.83,54.96,6,9.98,-16.4792,0.5862,
通用设备,-0.07,-54.73,3.57,-6.81,54.09,7,17.48,-24.5639,0.2317,
元件,-12.62,-117.75,13.04,-29.29,53.42,8,10.01,59.1021,0.2903,
IT服务,-2.04,-43.66,14.65,-23.71,53.39,9,15.97,,0.124,
包装印刷,0.66,-6.71,0.04,1.47,52.18,10,20.0,,0.1087,
光伏设备,5.66,-60.05,-38.39,9.08,51.78,11,10.03,2.4169,0.7222,
专用设备,-1.7,-49.16,2.87,-9.62,51.08,12,11.21,,0.2449,
自动化设备,-27.33,-27.07,17.6,-30.37,50.78,13,5.68,11.8494,0.2211,
其他电子,-2.98,-5.79,1.37,-1.51,50.63,14,5.41,,0.3824,
医疗服务,1.9,2.05,15.02,-1.18,50.52,15,5.74,-7.9113,0.2321,
橡胶制品,0.06,1.17,-0.07,6.94,49.53,16,10.0,,0.2273,
金属新材料,-0.25,-14.61,9.11,-5.15,49.27,17,6.66,,0.2059,
贸易,0.01,-1.36,-1.22,-0.81,49.08,18,7.22,,0.2857,
互联网电商,-0.15,-1.49,-1.33,2.17,48.75,19,5.4,24.6052,0.3158,
化学纤维,-5.02,-5.19,-7.59,-4.87,48.72,20,5.3,39.6814,0.3793,
其他电源设备,-1.0,-23.3,2.38,-17.18,48.63,21,4.88,,0.2857,
环保设备,-0.14,-0.31,-1.28,-0.64,48.4,22,5.32,,0.3,
建筑材料,-1.01,-11.12,-9.36,7.34,48.16,23,10.06,19.4564,0.25,
汽车服务及其他,0.06,0.74,-1.84,-1.44,47.8,24,3.53,,0.32,
纺织制造,-0.61,0.87,0.09,-0.47,47.38,25,11.08,-10.0316,0.0909,
环境治理,0.44,-8.83,-3.87,-1.97,47.33,26,8.65,2.4583,0.1887,
房地产,2.02,-4.32,-4.01,-4.19,47.26,27,10.01,-15.3261,0.1529,
文化传媒,-1.57,-36.14,3.08,-14.73,47.06,28,9.99,,0.0723,
医疗器械,0.49,-4.02,-0.9,0.14,46.97,29,11.72,51.0032,0.0647,
黑色家电,-0.33,-0.83,-2.22,-2.32,46.95,30,1.45,-6.2659,0.3333,
非金属材料,-0.57,-9.43,-8.65,-2.51,46.92,31,3.97,,0.3333,
其他社会服务,-0.16,-3.19,-1.03,-3.06,46.5,32,7.57,,0.1463,
综合,-0.46,-15.61,-1.45,-1.1,46.49,33,5.56,1.8898,0.2,
教育,0.04,-0.73,-0.51,-1.01,46.4,34,5.01,-19.7466,0.2,
钢铁,-0.19,-19.92,-3.19,-0.15,46.3,35,9.12,-10.9244,0.119,
化学原料,-0.34,-9.15,-12.22,0.18,46.06,36,10.0,75.4305,0.1754,
饮料制造,-0.19,-3.89,-3.65,-2.84,46.02,37,10.02,,0.087,
软件开发,0.7,-35.98,-3.24,-28.6,45.81,38,10.02,-17.1141,0.0725,
白色家电,-0.55,-20.9,-6.61,4.81,45.74,39,7.91,,0.1556,
农产品加工,0.08,-1.0,-1.12,-0.73,45.67,40,6.79,,0.125,
工程机械,-0.08,-8.01,-5.29,-5.05,45.64,41,3.12,,0.2571,
计算机设备,-6.11,-25.6,3.51,-16.89,45.49,42,4.75,38.788,0.1205,
港口航运,-1.39,0.72,,-6.3,45.41,43,3.04,,0.1944,
汽车零部件,-2.92,-18.28,-11.64,-24.77,45.4,44,10.13,-15.1684,0.1333,
塑料制品,-0.45,-22.56,-12.65,-7.33,45.29,45,7.84,,0.1948,
家居用品,0.51,-2.79,-0.87,0.1,45.25,46,6.36,7.216,0.1122,
军工电子,-0.34,-16.86,-3.22,4.37,44.98,47,8.03,,0.0806,
服装家纺,-0.25,0.69,0.01,0.42,44.94,48,4.39,49.9013,0.137,
电网设备,-2.59,-44.63,-25.97,-11.68,44.61,49,10.04,-14.8026,0.2391,
电力,1.69,-31.52,-117.63,-0.88,44.47,50,10.06,-27.2358,0.7222,
