industry,sector_money_flow_1d,sector_money_flow_3d,sector_money_flow_5d,sector_money_flow_10d,sector_momentum_score,sector_strength_rank,leader_stock_strength,leader_stock_return_20d,sector_high_stock_ratio,sector_new_high_ratio
半导体,-7.19,-63.27,119.66,,70.8,1,14.17,8.8301,0.4358,
消费电子,,-76.13,52.59,,65.07,2,19.98,-30.6195,0.2283,
电子化学品,6.89,-14.34,-13.66,,57.24,3,12.32,,0.6905,
风电设备,1.35,-12.34,-5.17,,55.6,4,12.02,-37.5996,0.5312,
元件,-45.31,-117.75,13.04,,55.23,5,11.69,26.8361,0.3387,
通用设备,-1.03,-54.73,3.57,,54.52,6,18.59,-24.5639,0.2258,
通信设备,-139.14,-123.89,50.77,,54.15,7,4.04,10.7562,0.0989,
医疗服务,4.38,2.05,15.02,,54.01,8,10.59,-7.9113,0.2857,
专用设备,0.37,-49.16,2.87,,52.61,9,13.98,,0.2525,
IT服务,-13.34,-43.66,14.65,,52.25,10,13.69,,0.124,
包装印刷,-5.07,-6.71,0.04,,52.18,11,20.0,,0.1087,
光伏设备,23.03,-60.05,-38.39,,50.35,12,11.05,4.7953,0.625,
自动化设备,-41.46,-27.07,17.6,,50.05,13,5.97,11.8494,0.1771,
贸易,0.62,-1.36,-1.22,,49.95,14,4.39,,0.4,
环保设备,-0.4,-0.31,-1.28,,49.47,15,8.79,,0.2667,
汽车服务及其他,0.41,0.74,-1.84,,49.42,16,6.78,,0.32,
房地产,2.71,-4.32,-4.01,,49.14,17,10.01,-15.3261,0.2469,
其他电子,-0.74,-5.79,1.37,,49.12,18,5.93,,0.2941,
家居用品,0.59,-2.79,-0.87,,49.07,19,12.71,7.216,0.1443,
金属新材料,-3.26,-14.61,9.11,,48.78,20,5.68,,0.2059,
建筑材料,-6.09,-11.12,-9.36,,48.71,21,10.06,19.4564,0.2778,
光学光电子,48.97,-36.05,-72.11,,48.41,22,389.43,,0.6415,
医疗器械,-1.42,-4.02,-0.9,,48.3,23,14.37,51.0032,0.0647,
化学原料,-0.79,-9.15,-12.22,,48.05,24,15.47,17.8991,0.1379,
橡胶制品,0.09,1.17,-0.07,,47.84,25,10.0,,0.1429,
纺织制造,-1.41,0.87,0.09,,47.83,26,11.99,-10.0316,0.0909,
教育,-0.11,-0.73,-0.51,,47.74,27,5.01,-19.7466,0.2667,
农产品加工,-0.42,-1.0,-1.12,,47.59,28,8.62,,0.175,
军工电子,1.77,-16.86,-3.22,,47.55,29,10.57,,0.1452,
其他社会服务,-0.56,-3.19,-1.03,,47.53,30,7.67,,0.1951,
白色家电,-2.42,-20.9,-6.61,,47.52,31,9.5,,0.2045,
环境治理,-1.11,-8.83,-3.87,,47.33,32,10.03,2.4583,0.1545,
互联网电商,-0.7,-1.49,-1.33,,46.93,33,8.07,24.6052,0.1579,
文化传媒,-7.05,-36.14,3.08,,46.8,34,9.99,,0.0595,
塑料制品,,-22.56,-12.65,,46.56,35,9.98,,0.2051,
饮料制造,-1.87,-3.89,-3.65,,46.5,36,10.02,,0.1111,
工程机械,0.34,-8.01,-5.29,,46.27,37,4.38,-14.1962,0.2571,
综合,-1.45,-15.61,-1.45,,46.09,38,5.25,1.8898,0.1875,
其他电源设备,-5.81,-23.3,2.38,,46.05,39,3.14,,0.2,
软件开发,-12.3,-35.98,-3.24,,45.82,40,10.02,-17.1141,0.073,
小金属,-19.76,-88.31,-8.75,,45.65,41,5.15,-16.4792,0.2414,
生物制品,-3.14,0.43,5.36,,45.45,42,3.58,-6.6907,0.1296,
零售,-3.53,-3.51,-7.83,,45.39,43,10.02,,0.0972,
种植业与林业,-1.41,-2.14,-1.95,,45.34,44,3.45,,0.2,
计算机设备,-20.36,-25.6,3.51,,45.28,45,4.82,38.788,0.1084,
汽车零部件,-9.64,-18.28,-11.64,,45.14,46,10.01,38.3803,0.1231,
物流,-0.86,-0.5,-1.29,,44.91,47,4.63,-15.625,0.1429,
建筑装饰,-9.72,-31.61,-25.65,,44.67,48,10.03,,0.2394,
化学纤维,-7.43,-5.19,-7.59,,44.59,49,3.65,-0.2141,0.2143,
养殖业,-0.82,-3.35,-7.79,,44.02,50,3.15,,0.2,
化学制品,-6.21,-32.18,-33.71,,43.86,51,12.4,17.953,0.2203,
服装家纺,-0.76,0.69,0.01,,43.79,52,2.64,23.9529,0.1233,
军工装备,-7.52,-57.85,-17.01,,43.79,52,10.0,,0.1098,
非金属材料,-0.29,-9.43,-8.65,,43.78,54,3.01,,0.2,
公路铁路运输,-0.45,0.94,-6.13,,43.74,55,3.04,,0.1724,
多元金融,-3.4,-2.74,-2.97,,43.73,56,5.58,-22.4159,0.0769,
轨交设备,-0.08,-4.23,-4.23,,43.67,57,3.7,,0.1333,
化学制药,-13.32,3.46,13.12,,43.59,58,0.68,,0.0314,
造纸,-0.25,-1.75,-3.63,,43.49,59,1.76,-14.3151,0.1667,
影视院线,-3.67,-1.79,-0.99,,43.46,60,3.31,-14.6893,0.1,
