industry,sector_money_flow_1d,sector_money_flow_3d,sector_money_flow_5d,sector_money_flow_10d,sector_momentum_score,sector_strength_rank,leader_stock_strength,leader_stock_return_20d,sector_high_stock_ratio,sector_new_high_ratio
煤炭开采加工,-10.2,-12.07,-8.99,-9.61,75.47,1,2.18,-18.2288,0.0588,1.0
电池,6.13,-81.73,64.87,32.17,74.92,2,17.5,-0.7456,0.3883,0.9079
电力,-45.4,-117.63,-31.01,0.67,73.96,3,10.03,69.5394,0.0734,1.0
元件,13.31,13.04,-7.39,65.09,71.05,4,19.99,30.726,0.7097,0.9509
零售,-10.58,-7.83,-2.32,-9.6,67.39,5,7.36,-10.8369,0.1127,0.9548
食品加工制造,-3.24,-3.7,-7.46,0.8,63.03,6,9.99,-1.8629,0.1667,0.9518
互联网电商,2.18,-1.33,-2.67,-0.09,62.81,7,10.02,17.862,0.3684,0.9269
影视院线,-6.72,-0.99,-3.26,-1.89,62.4,8,0.24,-11.2903,0.0526,0.9733
建筑材料,-4.53,-9.36,-3.1,14.2,61.29,9,17.59,97.2807,0.2603,0.9501
非金属材料,0.48,-8.65,-0.73,3.72,61.03,10,10.0,21.8414,0.4,0.9682
证券,-62.53,-50.23,10.2,6.71,58.95,11,10.04,52.0476,0.08,0.9397
文化传媒,-14.21,3.08,-11.67,-6.81,58.39,12,9.99,24.7552,0.0976,0.9311
汽车服务及其他,0.83,-1.84,-0.72,-0.75,58.3,13,11.84,22.8087,0.32,0.9393
美容护理,-1.2,-1.26,-1.2,-1.19,58.27,14,4.42,11.4565,0.0909,0.915
机场航运,2.64,-10.57,-7.5,0.79,58.18,15,3.31,-8.7675,0.3846,0.9444
港口航运,-10.59,-13.07,-12.01,-4.58,57.86,16,10.02,7.5365,0.2647,0.9442
燃气,-2.87,-0.24,-1.53,-0.92,57.73,17,1.03,-3.6855,0.04,0.9622
半导体,313.48,119.66,-2.69,123.65,57.64,18,1212.84,,0.8324,0.8844
医药商业,-1.69,-0.7,-2.24,-0.9,57.47,19,7.25,9.9617,0.0938,0.9093
旅游及酒店,-4.16,-1.69,-3.91,-2.49,57.42,20,-1.17,-2.9885,0.0,0.9313
