industry,sector_money_flow_1d,sector_money_flow_3d,sector_money_flow_5d,sector_money_flow_10d,sector_momentum_score,sector_strength_rank,leader_stock_strength,leader_stock_return_20d,sector_high_stock_ratio,sector_new_high_ratio
小家电,-1.69,-1.98,-0.78,0.81,48.69,69,2.67,-18.2216,0.5,
游戏,-15.19,-9.37,-5.86,-6.3,48.48,70,5.13,-13.1188,0.1739,
油气开采及服务,-5.45,-1.37,-3.52,0.81,48.25,71,9.98,-13.2509,0.3889,
汽车整车,-15.99,-22.9,-12.01,-10.74,47.89,72,2.23,,0.3182,
教育,-0.82,-1.33,0.97,-0.61,47.65,73,1.82,-18.4801,0.4667,
机场航运,-4.34,-1.08,1.83,-10.14,47.28,74,0.57,-5.0091,0.1667,
电网设备,-42.91,-37.83,1.62,-32.43,46.98,75,10.02,-7.8287,0.2971,
化学纤维,-5.27,-3.21,-2.2,-7.75,46.44,76,5.6,-7.0809,0.3929,
军工装备,-55.35,-5.97,-4.71,-29.97,45.1,77,7.26,32.3038,0.1585,
军工电子,-15.66,11.44,3.53,-30.89,44.85,78,3.84,-16.0822,0.1935,
能源金属,-38.81,-11.28,-16.47,-7.0,44.41,79,-0.14,-27.9419,0.0,
钢铁,-19.84,-12.56,-5.87,-12.8,44.3,80,2.61,-10.9062,0.2045,
其他电子,-6.67,2.37,28.68,-15.61,44.09,81,7.32,,0.3824,
通信服务,-25.76,-10.17,10.61,-6.88,43.93,82,4.99,6.1955,0.2,
多元金融,-2.71,-3.03,0.68,-4.5,43.67,83,3.74,-8.2915,0.36,
其他电源设备,-22.72,-4.65,10.2,-5.79,42.51,84,9.9,-15.4812,0.2857,
电池,-97.74,-41.74,-12.68,-8.81,39.43,85,10.01,-19.1718,0.2095,
保险,-7.4,-6.72,-0.87,-1.04,34.3,86,-0.71,7.7469,0.0,
风电设备,-11.75,-3.87,-6.12,-8.72,30.42,87,2.54,-20.6456,0.1935,
电力,-33.49,-35.89,-0.96,-61.36,30.05,88,10.01,1.3529,0.2617,
煤炭开采加工,-5.9,-11.31,-23.03,-0.59,28.9,89,10.04,-4.6099,0.4242,
光伏设备,-57.62,-28.54,-12.02,-23.8,25.51,90,5.36,38.8158,0.1781,
