industry,sector_money_flow_1d,sector_money_flow_3d,sector_money_flow_5d,sector_money_flow_10d,sector_momentum_score,sector_strength_rank,leader_stock_strength,leader_stock_return_20d,sector_high_stock_ratio,sector_new_high_ratio
半导体,67.74,267.76,336.38,-52.16,78.11,1,20.0,-12.2007,0.6554,
通用设备,-21.74,-6.51,47.77,-10.0,72.43,2,30.0,,0.6437,
自动化设备,6.5,8.45,68.98,0.59,71.04,3,10.91,-18.3427,0.5895,
通信设备,1.58,12.55,193.39,-37.91,68.79,4,10.0,23.3766,0.4396,
化学制药,13.19,-9.33,-8.43,-19.01,67.93,5,25.71,,0.981,
生物制品,3.24,-2.92,-2.84,-5.9,67.36,6,18.07,-10.0988,0.9444,
消费电子,-15.32,14.81,88.53,-42.32,67.09,7,5.66,-31.8454,0.4632,
医疗服务,5.69,1.55,-6.31,-8.28,66.93,8,19.95,-15.3333,0.9107,
专用设备,-30.36,3.83,32.64,-14.03,66.9,9,14.28,-33.4302,0.6616,
光学光电子,-3.71,26.0,45.5,-49.62,66.62,10,12.74,18.5819,0.5577,
计算机设备,-3.13,28.47,28.33,-22.21,65.97,11,15.55,-26.9977,0.6265,
证券,16.4,-23.24,13.7,-14.2,65.7,12,10.0,4.4957,0.898,
化学制品,-11.67,-3.28,10.04,-28.26,65.57,13,20.02,-4.2052,0.6782,
汽车零部件,1.13,-18.06,28.59,-8.94,64.55,14,10.03,-10.3048,0.6906,
医药商业,0.77,-1.82,-0.61,-1.66,64.23,15,9.99,-14.8827,0.9677,
IT服务,-21.25,-19.56,16.47,-16.49,63.57,16,19.91,-21.2613,0.5161,
美容护理,-0.02,-1.21,-0.33,-2.43,63.14,17,10.04,-11.1187,0.9091,
中药,4.05,-7.66,-3.93,-7.88,62.64,18,10.43,-11.2181,0.9104,
养殖业,0.12,-5.71,-3.1,-3.71,62.64,18,10.05,-12.4823,0.9118,
综合,-6.81,-1.6,0.81,-12.18,62.63,20,9.93,1.3423,0.875,
元件,-66.78,-33.24,139.53,16.85,62.58,21,10.0,25.6983,0.129,
纺织制造,0.34,0.35,0.39,-1.41,62.58,21,10.01,35.6061,0.875,
医疗器械,1.34,-1.57,-5.64,-7.79,62.11,23,10.83,19.3701,0.8913,
环境治理,-4.84,-6.29,-0.44,-5.79,61.68,24,14.49,-18.3688,0.7264,
塑料制品,-18.97,-12.96,12.92,-15.6,61.62,25,17.02,25.7945,0.5263,
电子化学品,-1.04,33.51,33.81,-7.7,61.32,26,13.5,33.671,0.3902,
厨卫电器,0.09,0.06,-0.58,-0.48,61.3,27,7.83,-30.6843,0.875,
服装家纺,1.22,-3.94,5.43,-1.96,61.29,28,10.13,-6.3291,0.7568,
公路铁路运输,1.95,-2.76,-5.42,-6.05,61.01,29,5.48,-10.5882,0.9677,
化学原料,-2.91,-12.38,-4.27,-11.75,60.94,30,15.52,,0.7018,
食品加工制造,1.29,-13.38,-1.28,-2.72,60.94,30,6.63,,0.8939,
汽车服务及其他,0.47,-1.42,-0.88,0.35,60.61,32,5.05,-6.8908,0.913,
其他电子,1.86,2.37,28.68,-15.61,60.56,33,9.64,,0.5,
家居用品,0.62,-3.11,-0.92,-1.51,60.55,34,10.04,7.2178,0.7857,
房地产,2.15,-2.81,-4.68,-15.54,60.28,35,10.15,7.6923,0.8072,
农产品加工,0.36,-4.48,-2.22,-3.3,60.27,36,4.29,-16.293,0.9286,
软件开发,-10.43,-10.81,-1.92,-16.45,60.06,37,20.0,-19.125,0.5221,
电机,-0.61,-6.68,1.21,-2.21,59.87,38,10.02,-24.2533,0.7308,
零售,0.62,-22.71,-4.63,-11.01,59.77,39,9.96,-10.1626,0.7857,
石油加工贸易,0.89,-1.7,-1.31,0.76,59.55,40,9.99,-18.4699,0.7407,
旅游及酒店,0.25,-6.14,-2.57,-3.86,59.23,41,5.21,-15.625,0.8571,
轨交设备,-0.59,-1.08,0.06,-6.27,59.2,42,7.71,20.3129,0.7667,
港口航运,4.53,1.92,-8.99,-10.16,59.02,43,7.36,-5.6893,0.8571,
物流,1.17,-3.07,-3.92,-3.44,58.86,44,5.96,-13.081,0.8333,
橡胶制品,2.63,-0.39,-0.87,-2.34,58.84,45,7.13,11.8677,0.7727,
环保设备,1.06,-1.2,2.22,-2.18,58.77,46,9.99,-11.707,0.6667,
非金属材料,-5.3,-8.16,3.87,-1.33,58.36,47,19.18,,0.4,
燃气,-1.69,-1.49,-1.23,-1.49,58.16,48,3.47,-11.1667,0.8333,
白色家电,-9.78,-12.11,-4.81,-3.91,58.05,49,9.85,-33.321,0.7045,
造纸,-0.55,-3.89,-2.54,-3.27,57.84,50,10.03,-21.3001,0.6667,
种植业与林业,-0.69,-5.25,-2.87,-1.98,57.39,51,7.36,-10.0662,0.7143,
建筑材料,-5.03,-20.48,9.58,-13.76,57.17,52,7.41,0.6438,0.5775,
包装印刷,-2.8,0.76,-2.77,1.6,57.04,53,9.98,-6.4632,0.6304,
影视院线,-0.06,-8.71,-2.05,-3.51,56.69,54,7.53,-3.9189,0.6667,
贸易,-0.16,-2.08,-0.92,-3.1,56.49,55,4.77,10.4581,0.7143,
建筑装饰,-13.02,7.29,-8.43,-31.38,56.32,56,11.04,-17.6916,0.6241,
金属新材料,-4.86,-12.27,1.48,-4.33,56.18,57,20.0,37.6719,0.2941,
煤炭开采加工,-1.65,-11.31,-23.03,-0.59,56.04,58,10.04,-4.6099,0.7812,
银行,23.59,-31.76,-31.52,20.49,55.34,59,3.28,-5.6774,1.0,
文化传媒,-21.31,-17.96,-5.16,-20.67,55.32,60,9.98,-13.059,0.5679,
工程机械,-3.76,-1.79,-0.27,4.46,55.23,61,6.57,-15.4104,0.6,
饮料制造,-1.59,-5.65,-7.6,-4.24,55.17,62,4.68,-11.0583,0.7174,
化学纤维,-2.33,-3.21,-2.2,-7.75,55.13,63,9.72,-17.974,0.5357,
农化制品,-11.3,-16.85,-3.89,-10.05,54.72,64,9.98,1.0256,0.5254,
电力,-12.35,-35.89,-0.96,-61.36,54.14,65,9.99,19.5928,0.4667,
黑色家电,0.63,-0.73,3.4,-2.57,54.02,66,4.46,-39.6189,0.5556,
油气开采及服务,-1.8,-1.37,-3.52,0.81,53.76,67,9.98,,0.4737,
电网设备,-17.15,-37.83,1.62,-32.43,53.74,68,10.02,-7.8287,0.4203,
