industry,sector_money_flow_1d,sector_money_flow_3d,sector_money_flow_5d,sector_money_flow_10d,sector_momentum_score,sector_strength_rank,leader_stock_strength,leader_stock_return_20d,sector_high_stock_ratio,sector_new_high_ratio
通信设备,,,,,69.56,1,20.0,,0.978,
电池,,,,,68.1,2,20.0,,0.9048,
光学光电子,,,,,67.78,3,20.04,,0.8889,
半导体,,,,,67.65,4,20.02,,0.8827,
计算机设备,,,,,67.35,5,20.02,,0.8675,
IT服务,,,,,67.19,6,20.09,,0.8594,
互联网电商,,,,,66.84,7,20.01,,0.8421,
军工电子,,,,,66.68,8,14.01,,0.9839,
光伏设备,,,,,66.6,9,19.87,,0.8333,
其他电子,,,,,66.34,10,16.32,,0.9091,
通用设备,,,,,65.97,11,20.01,,0.7984,
消费电子,,,,,65.72,12,15.26,,0.9043,
自动化设备,,,,,65.46,13,15.55,,0.8842,
黑色家电,,,,,65.02,14,10.03,,1.0,
军工装备,,,,,65.02,14,12.49,,0.939,
元件,,,,,64.81,16,15.42,,0.8548,
电网设备,,,,,64.68,17,258.47,,0.7338,
软件开发,,,,,64.61,18,13.93,,0.8824,
塑料制品,,,,,64.59,19,20.0,,0.7297,
汽车零部件,,,,,64.35,20,20.0,,0.7175,
专用设备,,,,,63.51,21,20.01,,0.6753,
电机,,,,,62.69,22,10.0,,0.8846,
金属新材料,,,,,62.49,23,9.99,,0.875,
风电设备,,,,,62.41,24,9.99,,0.871,
通信服务,,,,,62.33,25,10.0,,0.8667,
其他电源设备,,,,,61.47,26,10.0,,0.8235,
电子化学品,,,,,61.45,27,12.43,,0.7619,
其他社会服务,,,,,59.65,28,12.3,,0.675,
能源金属,,,,,59.32,29,5.31,,0.8333,
文化传媒,,,,,57.67,30,14.36,,0.5244,
白色家电,,,,,57.45,31,10.02,,0.6222,
工程机械,,,,,57.07,32,14.14,,0.5,
环境治理,,,,,56.95,33,15.38,,0.463,
物流,,,,,56.67,34,20.01,,0.3333,
环保设备,,,,,56.05,35,10.03,,0.5517,
小金属,,,,,56.05,35,10.04,,0.5517,
轨交设备,,,,,55.92,37,11.85,,0.5,
建筑装饰,,,,,55.82,38,15.93,,0.3926,
化学制品,,,,,55.51,39,10.67,,0.5086,
建筑材料,,,,,54.31,40,10.02,,0.4648,
游戏,,,,,54.07,41,3.79,,0.6087,
影视院线,,,,,54.07,41,4.99,,0.5789,
包装印刷,,,,,53.9,43,10.02,,0.4444,
厨卫电器,,,,,53.88,44,9.98,,0.4444,
石油加工贸易,,,,,53.7,45,4.32,,0.5769,
橡胶制品,,,,,53.56,46,9.97,,0.4286,
美容护理,,,,,53.49,47,10.01,,0.4242,
化学纤维,,,,,53.08,48,7.59,,0.4643,
燃气,,,,,53.01,49,10.01,,0.4,
多元金融,,,,,52.99,50,9.99,,0.4,
非金属材料,,,,,52.63,51,6.6,,0.4667,
电力,,,,,52.55,52,10.14,,0.3738,
化学原料,,,,,52.37,53,10.01,,0.3684,
小家电,,,,,52.23,54,6.86,,0.44,
零售,,,,,52.05,55,10.01,,0.3521,
生物制品,,,,,51.87,56,14.86,,0.2222,
服装家纺,,,,,51.79,57,10.07,,0.338,
医疗服务,,,,,51.79,57,15.0,,0.2143,
综合,,,,,51.73,59,4.79,,0.4667,
工业金属,,,,,51.18,60,10.0,,0.3091,
房地产,,,,,50.91,61,10.06,,0.2941,
家居用品,,,,,50.89,62,10.05,,0.2935,
农产品加工,,,,,50.64,63,9.99,,0.2821,
纺织制造,,,,,50.63,64,10.01,,0.2812,
钢铁,,,,,50.36,65,5.83,,0.3721,
医疗器械,,,,,50.28,66,10.71,,0.2464,
造纸,,,,,50.08,67,6.83,,0.3333,
证券,,,,,49.98,68,3.17,,0.42,
贸易,,,,,49.77,69,2.39,,0.4286,
化学制药,,,,,49.37,70,10.02,,0.2179,
汽车服务及其他,,,,,47.84,71,3.5,,0.3043,
旅游及酒店,,,,,46.81,72,3.93,,0.2424,
油气开采及服务,,,,,46.67,73,4.92,,0.2105,
教育,,,,,46.08,74,1.49,,0.2667,
农化制品,,,,,45.8,75,3.46,,0.2034,
饮料制造,,,,,45.62,76,3.96,,0.1818,
汽车整车,,,,,45.45,77,1.37,,0.2381,
中药,,,,,45.04,78,5.38,,0.1176,
食品加工制造,,,,,44.98,79,5.11,,0.1212,
贵金属,,,,,44.91,80,1.24,,0.2143,
白酒,,,,,44.19,81,1.72,,0.1667,
养殖业,,,,,43.79,82,4.15,,0.0857,
机场航运,,,,,43.35,83,0.55,,0.1538,
港口航运,,,,,43.32,84,2.19,,0.1111,
种植业与林业,,,,,43.01,85,2.01,,0.1,
煤炭开采加工,,,,,42.32,86,2.28,,0.0588,
公路铁路运输,,,,,40.83,87,0.36,,0.0323,
银行,,,,,39.7,88,-0.6,,0.0,
医药商业,,,,,39.51,89,-0.99,,0.0,
保险,,,,,39.45,90,-1.09,,0.0,
