industry,sector_money_flow_1d,sector_money_flow_3d,sector_money_flow_5d,sector_money_flow_10d,sector_momentum_score,sector_strength_rank,leader_stock_strength,leader_stock_return_20d,sector_high_stock_ratio,sector_new_high_ratio
半导体,313.48,119.66,-2.69,123.65,100.0,1,1212.84,,0.8324,1.0
电子化学品,26.51,-13.66,4.72,48.8,98.87,2,15.64,36.2391,0.7561,0.9995
元件,13.31,13.04,-7.39,65.09,97.71,3,19.99,30.726,0.7097,1.0
通信设备,-50.56,50.77,48.31,102.78,96.9,4,10.01,70.3448,0.3626,0.9994
光学光电子,19.5,-72.11,17.82,41.43,96.64,5,25.16,,0.4095,0.9962
自动化设备,-0.19,17.6,21.73,5.24,95.1,6,16.05,61.3116,0.3958,0.9936
消费电子,115.21,52.59,-1.45,23.28,88.37,7,10.03,11.6308,0.4632,0.9856
其他电源设备,-9.93,2.38,-6.82,18.08,87.98,8,19.99,,0.3143,0.9948
通用设备,14.08,3.57,-2.81,8.5,87.53,9,18.12,15.192,0.2846,0.9933
非金属材料,0.48,-8.65,-0.73,3.72,87.49,10,10.0,21.8414,0.4,1.0
互联网电商,2.18,-1.33,-2.67,-0.09,86.38,11,10.02,17.862,0.3684,0.9846
电池,6.13,-81.73,64.87,32.17,85.82,12,17.5,-0.7456,0.3883,0.9727
其他电子,-0.9,1.37,-7.12,10.24,85.51,13,9.14,13.9733,0.3824,0.9906
通信服务,-0.08,-3.2,-11.03,-4.03,85.2,14,11.42,-4.4251,0.3488,0.9908
军工电子,5.29,-3.22,-19.94,0.12,84.69,15,16.1,5.9787,0.5484,0.9844
塑料制品,-3.56,-12.65,-2.7,-5.09,84.22,16,11.19,-2.7597,0.3026,0.9928
金属新材料,-12.81,9.11,6.65,3.46,83.72,17,5.98,52.0791,0.2353,0.9897
光伏设备,-13.71,-38.39,7.64,1.96,83.5,18,13.05,18.2692,0.2361,0.9922
电网设备,-10.82,-25.97,-1.43,-2.93,83.08,19,10.01,37.548,0.1679,1.0
计算机设备,29.3,3.51,-9.2,-1.58,81.95,20,10.99,31.8515,0.2892,0.9894
贵金属,-7.42,-21.53,-9.13,-2.01,81.88,21,7.88,26.4071,0.4286,0.9664
军工装备,7.2,-17.01,-23.4,-8.3,81.64,22,15.47,-0.4598,0.3049,0.991
IT服务,-0.18,14.65,-19.7,0.76,81.39,23,20.0,9.6941,0.2031,0.9845
电机,-2.52,0.53,-0.77,-5.45,80.94,24,4.95,30.7544,0.1923,1.0
小金属,-18.97,-8.75,-8.78,29.21,80.65,25,10.0,48.1227,0.3448,0.9855
黑色家电,-2.41,-2.22,1.16,0.38,79.03,26,3.9,-15.1533,0.125,0.9961
建筑材料,-4.53,-9.36,-3.1,14.2,78.39,27,17.59,97.2807,0.2603,0.992
专用设备,12.81,2.87,0.36,17.02,77.45,28,16.21,57.5386,0.2222,0.989
其他社会服务,1.35,-1.03,-1.36,0.17,76.91,29,8.63,-12.9894,0.2439,0.9888
汽车零部件,-11.43,-11.64,-28.38,-13.61,76.82,30,20.01,90.1836,0.1828,0.9902
电力,-45.4,-117.63,-31.01,0.67,75.28,31,10.03,69.5394,0.0734,1.0
厨卫电器,-0.31,-0.04,-0.27,-0.26,75.22,32,5.01,-4.6712,0.3333,0.9884
包装印刷,1.18,0.04,-4.54,4.34,73.68,33,10.01,16.251,0.1957,0.9987
建筑装饰,-21.64,-25.65,-23.19,-14.23,73.37,34,20.09,10.2913,0.1875,0.9911
白色家电,-2.59,-6.61,-25.46,-8.07,72.85,35,4.47,,0.3111,0.9887
环保设备,2.39,-1.28,-1.76,-2.37,72.02,36,10.01,52.0134,0.2667,0.9859
医疗服务,12.79,15.02,-4.29,0.29,71.67,37,10.0,14.6409,0.4643,0.9836
房地产,-3.73,-4.01,-15.69,-7.3,71.46,38,10.01,27.1941,0.1047,0.9987
证券,-62.53,-50.23,10.2,6.71,71.31,39,10.04,52.0476,0.08,1.0
家居用品,0.19,-0.87,-0.37,-1.91,71.24,40,10.01,30.303,0.1979,0.9902
软件开发,-11.09,-3.24,-17.7,12.47,71.1,41,16.18,44.0625,0.1295,0.9842
工程机械,-7.59,-5.29,-6.29,0.81,70.97,42,5.55,-14.8502,0.0833,0.9835
医疗器械,-7.67,-0.9,0.7,-2.05,70.86,43,7.44,-4.1601,0.2302,0.9824
小家电,-0.3,-0.19,-0.94,-1.97,70.5,44,11.75,,0.08,0.9868
环境治理,-7.25,-3.87,-3.34,-0.44,70.27,45,11.68,19.2893,0.1518,0.9896
纺织制造,-2.73,0.09,-1.24,0.59,69.92,46,10.02,50.7274,0.1212,0.9901
游戏,1.3,7.02,-11.06,-4.13,69.83,47,3.67,-12.9143,0.4167,0.9697
生物制品,0.67,5.36,-4.42,-1.16,69.29,48,7.63,7.1394,0.283,0.9534
服装家纺,-3.23,0.01,-3.53,-1.73,68.79,49,13.97,49.1168,0.1644,0.9946
港口航运,-10.59,-13.07,-12.01,-4.58,68.63,50,10.02,7.5365,0.2647,0.9758
橡胶制品,0.84,-0.07,0.93,2.17,68.46,51,10.0,29.5638,0.2273,0.9817
化学纤维,0.18,-7.59,-4.55,4.28,68.45,52,13.13,6.686,0.5172,0.9815
