ts_code,name,industry,market,close,pct_chg,open,high,low,volume,amount,turnover_rate,ma5,ma10,ma20,ma60,ma120,ma250,ma20_slope,ma60_slope,high_20d,low_20d,high_60d,low_60d,close_vs_20d_high,close_vs_60d_high,price_percentile_1y,volatility_20d,main_net_inflow_1d,main_net_inflow_3d,main_net_inflow_5d,main_net_inflow_10d,northbound_flow,rsi_14,macd_hist,trend_strength_score,price_above_ma20_days,price_above_ma60_days,pe_ttm,pb,roe,net_profit_yoy,debt_ratio,pe_percentile_5y,pb_percentile_5y,value_score,growth_score,capital_score,sector_score,final_score,score_market_regime,score_weight_value,score_weight_growth,score_weight_capital,score_weight_sector,future_return_10,future_return_20,future_return_30,future_return_60
002297.SZ,博云新材,航空装备Ⅱ,深交所,12.52,-0.7924,12.66,12.88,12.28,97248301.0,1225978728.0,18.0517,12.326,12.243,11.2455,9.8907,9.3851,8.1376,5.0736,3.1908,12.62,9.78,12.62,8.42,-0.7924,-0.7924,99.2063,59.2745,,,,,0.0,76.0626,0.1545,100.0,29.0,33.0,98.22814259,8.39755396,,,,11.525,99.8347,8.242,74.225,79.1265,50.0,55.3209,neutral,0.25,0.35,0.25,0.15,,,,
600338.SH,西藏珠峰,工业金属,上交所,16.9,5.8234,15.86,17.12,15.86,101347307.0,1689573904.0,10.3712,16.044,15.492,14.607,14.4348,13.4522,11.7597,3.6472,1.3314,16.9,13.0,16.9,12.95,0.0,0.0,99.6032,41.3668,,,,,-309580.04,87.5546,0.5197,100.0,13.0,13.0,26.31800831,3.29700376,,,,4.9587,41.8182,12.7787,73.8738,74.5255,50.0,55.1819,neutral,0.25,0.35,0.25,0.15,,,,
300505.SZ,川金诺,农化制品,创业板,25.35,-2.8736,25.82,26.06,25.27,43519615.0,1112260515.0,22.1972,24.398,23.541,22.687,22.615,21.6762,19.1218,2.2513,0.9718,26.1,20.8,26.1,20.76,-2.8736,-2.8736,98.4127,49.7795,,,,,0.0,73.4097,0.7361,100.0,12.0,5.0,16.24061091,2.32571955,,,,26.6798,51.0744,10.1012,71.5085,79.8997,50.0,55.0282,neutral,0.25,0.35,0.25,0.15,,,,
002842.SZ,翔鹭钨业,小金属,深交所,16.55,4.7468,15.8,17.12,15.68,53651955.0,886538768.0,19.7653,15.644,15.039,13.8575,12.1392,11.3302,9.2769,7.9118,3.3047,16.55,11.52,16.55,10.14,0.0,0.0,99.6032,75.7513,,,,,,72.1619,0.4484,100.0,24.0,27.0,43.584804,11.52191768,,,,8.2164,99.5041,8.577,74.225,76.6811,50.0,54.7933,neutral,0.25,0.35,0.25,0.15,,,,
002201.SZ,九鼎新材,玻璃玻纤,深交所,11.63,-1.2733,12.51,12.95,11.53,151414823.0,1853032741.0,11.3113,11.246,11.457,10.0565,8.8187,8.4371,7.1814,8.8543,3.1162,12.45,8.22,12.45,7.72,-6.5863,-6.5863,98.4127,93.727,,,,,-152422.08,68.6813,0.2015,100.0,21.0,21.0,89.20157153,6.7585448,,,,17.8512,61.9008,10.2048,72.0353,75.389,50.0,54.1108,neutral,0.25,0.35,0.25,0.15,,,,
300221.SZ,银禧科技,塑料,创业板,10.77,3.2598,10.45,11.06,10.31,61373000.0,654594165.0,13.0003,10.41,10.316,9.903,9.2192,9.1409,8.4472,2.2245,1.9293,10.77,9.12,10.77,8.03,0.0,0.0,99.6032,41.8664,,,,,0.0,72.3684,0.1054,100.0,15.0,37.0,59.60273329,5.19416405,,,,46.6077,99.1736,4.9714,74.225,77.4696,50.0,54.089,neutral,0.25,0.35,0.25,0.15,,,,
300446.SZ,航天智造,汽车零部件,创业板,28.66,4.37,27.56,30.99,26.92,96712664.0,2765174047.0,7.868,26.598,26.004,24.5365,21.4957,19.5516,18.557,5.2481,3.8028,28.66,21.37,28.66,17.07,0.0,0.0,99.6032,80.7384,,,,,-4688386.16,68.5332,0.5065,100.0,25.0,56.0,16.80592152,2.31263732,,,,3.4513,7.7686,15.2195,74.225,67.0523,50.0,54.0467,neutral,0.25,0.35,0.25,0.15,,,,
300136.SZ,信维通信,消费电子,创业板,75.15,-1.378,77.96,81.6,73.0,212160397.0,16370164871.0,18.896,69.618,61.644,49.6825,37.7395,31.6301,27.1056,22.4431,9.8484,76.2,35.29,76.2,27.68,-1.378,-1.378,99.2063,103.097,,,,,7849624.93,92.2174,5.827,100.0,25.0,32.0,153.43955882,14.07732742,,,,99.7521,99.7521,-0.0898,74.225,81.5674,50.0,53.8482,neutral,0.25,0.35,0.25,0.15,,,,
000751.SZ,锌业股份,工业金属,深交所,4.4,4.0189,4.25,4.43,4.22,101908390.0,442228064.0,15.6863,4.268,4.17,4.039,4.0098,3.7864,3.3416,1.6484,0.5097,4.4,3.69,4.4,3.69,0.0,0.0,99.6032,35.5224,,,,,-1615170.81,76.087,0.0762,100.0,15.0,15.0,85.21203474,2.6147009,,,,55.3719,96.6942,4.3105,74.225,76.6652,50.0,53.7227,neutral,0.25,0.35,0.25,0.15,,,,
002957.SZ,科瑞技术,自动化设备,深交所,23.04,0.4797,22.91,23.16,22.71,13861947.0,318133754.0,12.9107,22.848,22.468,21.1945,20.8217,19.4147,17.6326,3.6279,1.085,23.29,18.85,23.35,18.85,-1.0734,-1.3276,98.4127,47.0382,,,,,7019539.08,77.0468,0.4084,100.0,13.0,12.0,85.13682192,7.67100774,,,,79.6694,99.4215,1.8303,73.8738,79.4838,50.0,53.6844,neutral,0.25,0.35,0.25,0.15,,,,
