ts_code,name,industry,market,close,pct_chg,open,high,low,volume,amount,turnover_rate,ma5,ma10,ma20,ma60,ma120,ma250,ma20_slope,ma60_slope,high_20d,low_20d,high_60d,low_60d,close_vs_20d_high,close_vs_60d_high,price_percentile_1y,volatility_20d,main_net_inflow_1d,main_net_inflow_3d,main_net_inflow_5d,main_net_inflow_10d,northbound_flow,rsi_14,macd_hist,trend_strength_score,price_above_ma20_days,price_above_ma60_days,pe_ttm,pb,roe,net_profit_yoy,debt_ratio,pe_percentile_5y,pb_percentile_5y,value_score,growth_score,capital_score,sector_score,final_score,score_market_regime,score_weight_value,score_weight_growth,score_weight_capital,score_weight_sector,future_return_10,future_return_30,future_return_60
300726.SZ,宏达电子,军工电子Ⅱ,创业板,48.36,-0.3092,48.2,49.28,48.11,8514755.0,412564335.0,9.4374,47.708,46.281,44.2615,47.4072,46.3438,41.0492,3.014,-0.71,48.51,40.95,55.26,40.95,-0.3092,-12.4864,80.1587,35.6494,,,,,-12527148.9,81.0256,1.5915,100.0,11.0,2.0,76.24714898,6.44796491,,,,99.6694,83.719,-50.814,74.0,48.4959,50.0,32.8205,neutral,0.25,0.35,0.25,0.15,,,
002353.SZ,杰瑞股份,专用设备,深交所,129.3,-1.2977,129.97,135.0,127.8,14345915.0,1859171403.0,1.8856,126.0,120.573,113.3635,105.5392,85.6029,62.3523,6.6028,3.1912,131.0,93.79,131.0,85.44,-1.2977,-1.2977,98.8095,69.2766,,,,,-2992009.18,75.0999,3.7733,100.0,14.0,19.0,60.15913338,7.17813632,,,,99.8347,99.8347,-54.9008,79.8,44.4158,50.0,32.8087,neutral,0.25,0.35,0.25,0.15,,,
600744.SH,华银电力,电力,上交所,7.88,-1.623,7.68,8.0,7.56,115308950.0,901391635.0,3.4294,8.142,7.87,7.639,7.5967,6.9463,6.5094,-1.2666,1.449,8.47,7.11,9.39,6.29,-6.9658,-16.0809,85.3175,57.6958,,,,,-2303022.15,62.8788,0.1273,75.0,6.0,9.0,99.63563028,11.15592495,,,,62.8176,68.4298,-34.0936,61.0,49.7441,50.0,32.7626,neutral,0.25,0.35,0.25,0.15,,,
601808.SH,中海油服,油服工程,上交所,14.96,-0.0668,14.94,15.1,14.85,18125847.0,271537825.0,0.7247,15.052,15.208,15.5455,16.5522,15.4608,14.597,-2.2296,-0.0151,16.19,14.93,20.68,14.93,-7.5973,-27.6596,74.6032,28.9684,,,,,9068749.01,28.0303,-0.0491,25.0,0.0,0.0,14.52675562,1.16501808,,,,0.0,0.0,5.0,31.5,51.9275,50.0,32.7569,neutral,0.25,0.35,0.25,0.15,,,
301529.SZ,福赛科技,汽车零部件,深交所,122.49,3.4107,119.68,127.13,118.45,3595967.0,440536980.0,3.5739,118.988,116.299,114.0445,120.2607,104.6808,78.251,3.2675,-2.6475,122.49,106.11,156.5,94.7,0.0,-21.7316,87.3016,54.6503,,,,,,67.9629,2.8133,100.0,10.0,1.0,84.60603819,8.14287185,,,,94.0299,91.4925,-50.7836,73.0,49.52,50.0,32.7341,neutral,0.25,0.35,0.25,0.15,,,
300623.SZ,捷捷微电,半导体,创业板,29.31,4.0838,28.3,29.4,27.93,30313640.0,876519227.0,11.4281,28.522,28.648,28.0255,30.6235,29.2656,29.805,1.011,-0.4837,29.38,26.41,35.99,26.41,-0.2383,-18.5607,45.2381,36.8462,,,,,1912354.02,70.3148,0.4003,75.0,2.0,0.0,75.57687921,5.73211545,,,,96.0331,78.1818,-48.157,58.7,66.911,50.0,32.7335,neutral,0.25,0.35,0.25,0.15,,,
600982.SH,宁波能源,电力,上交所,5.99,-0.4983,5.94,6.11,5.85,58203798.0,349546040.0,2.4077,6.146,5.944,5.781,5.3273,4.9529,4.8103,-1.8423,2.3798,6.62,5.19,7.35,4.6,-9.5166,-18.5034,96.0317,86.9983,,,,,-1069323.89,62.5551,0.0374,75.0,6.0,64.0,15.36841271,1.27370132,,,,60.7438,70.0826,-33.781,61.0,49.2452,50.0,32.716,neutral,0.25,0.35,0.25,0.15,,,
605287.SH,德才股份,装修装饰Ⅱ,上交所,49.28,10.0,46.07,49.28,45.51,11244153.0,544038442.0,2.2445,47.154,46.083,43.9925,47.025,38.2095,26.9848,3.7229,0.9348,49.28,38.66,67.36,38.64,0.0,-26.8409,93.254,86.9712,,,,,,71.9967,1.2599,100.0,13.0,1.0,100.25827061,3.80079418,,,,97.2917,93.5108,-52.4298,76.6,45.96,50.0,32.6926,neutral,0.25,0.35,0.25,0.15,,,
601126.SH,四方股份,电网设备,上交所,51.4,2.9029,49.95,52.8,49.91,28081445.0,1448352248.0,5.4768,51.386,48.954,46.0335,44.4947,37.4142,27.2635,3.9248,2.5372,53.4,39.9,53.4,35.62,-3.7453,-3.7453,97.619,62.3418,,,,,-6857475.17,79.9791,1.4749,100.0,9.0,14.0,68.73448883,11.40807317,,,,97.9339,97.9339,-53.7603,76.1,47.943,50.0,32.6807,neutral,0.25,0.35,0.25,0.15,,,
601330.SH,绿色动力,环境治理,上交所,8.7,1.1628,8.6,8.86,8.58,37002150.0,323917847.0,1.4503,8.682,8.328,8.252,8.1078,7.59,7.4036,-4.6948,1.655,9.19,7.83,11.18,6.99,-5.3319,-22.1825,94.0476,59.4255,,,,,-81873.4,61.5658,0.1265,75.0,4.0,6.0,17.12498544,1.32267761,,,,76.8595,47.3554,-33.7397,61.8,47.9353,50.0,32.6789,neutral,0.25,0.35,0.25,0.15,,,
600583.SH,海油工程,油服工程,上交所,6.75,-1.7467,6.75,6.86,6.59,51268235.0,346544072.0,0.7234,6.89,6.994,6.8975,6.96,6.3047,5.8521,1.1364,0.7673,7.26,6.51,8.72,6.43,-7.0248,-22.5917,84.9206,38.9486,,,,,-5657575.12,44.5026,-0.0262,50.0,0.0,0.0,11.93434463,0.81522167,,,,16.7769,5.2066,-2.1736,47.5,36.3602,50.0,32.6716,neutral,0.25,0.35,0.25,0.15,,,
