industry,sector_money_flow_1d,sector_money_flow_3d,sector_money_flow_5d,sector_money_flow_10d,sector_momentum_score,sector_strength_rank,leader_stock_strength,leader_stock_return_20d,sector_high_stock_ratio,sector_new_high_ratio
元件,13.31,13.04,-7.39,65.09,86.43,1,19.99,30.726,0.7097,0.9929
通信设备,-50.56,50.77,48.31,102.78,82.12,2,10.01,70.3448,0.3626,0.9533
非金属材料,0.48,-8.65,-0.73,3.72,77.86,3,10.0,21.8414,0.4,0.9942
煤炭开采加工,-10.2,-12.07,-8.99,-9.61,75.47,4,2.18,-18.2288,0.0588,1.0
油气开采及服务,-5.23,-5.39,-6.01,-10.97,74.11,5,1.11,-2.6738,0.1579,0.9128
电池,6.13,-81.73,64.87,32.17,72.91,6,17.5,-0.7456,0.3883,0.8956
小金属,-18.97,-8.75,-8.78,29.21,72.9,7,10.0,48.1227,0.3448,0.9432
电力,-45.4,-117.63,-31.01,0.67,71.09,8,10.03,69.5394,0.0734,0.9963
化学纤维,0.18,-7.59,-4.55,4.28,69.28,9,13.13,6.686,0.5172,0.8677
消费电子,115.21,52.59,-1.45,23.28,69.26,10,10.03,11.6308,0.4632,0.9689
电子化学品,26.51,-13.66,4.72,48.8,68.2,11,15.64,36.2391,0.7561,0.927
自动化设备,-0.19,17.6,21.73,5.24,67.94,12,16.05,61.3116,0.3958,0.9432
光学光电子,19.5,-72.11,17.82,41.43,67.29,13,25.16,,0.4095,0.9591
建筑材料,-4.53,-9.36,-3.1,14.2,64.43,14,17.59,97.2807,0.2603,0.93
能源金属,33.25,-17.3,-11.14,15.46,64.36,15,10.02,29.9253,0.8333,0.8201
工业金属,-14.38,-35.25,-50.93,-4.82,63.72,16,10.0,19.4472,0.4615,0.9445
汽车服务及其他,0.83,-1.84,-0.72,-0.75,63.43,17,11.84,22.8087,0.32,0.9254
半导体,313.48,119.66,-2.69,123.65,62.85,18,1212.84,,0.8324,0.9102
港口航运,-10.59,-13.07,-12.01,-4.58,62.39,19,10.02,7.5365,0.2647,0.9288
其他电源设备,-9.93,2.38,-6.82,18.08,62.38,20,19.99,,0.3143,0.9219
通用设备,14.08,3.57,-2.81,8.5,60.87,21,18.12,15.192,0.2846,0.9138
零售,-10.58,-7.83,-2.32,-9.6,60.65,22,7.36,-10.8369,0.1127,0.9286
环境治理,-7.25,-3.87,-3.34,-0.44,60.04,23,11.68,19.2893,0.1518,0.9173
化学原料,1.7,-12.22,-5.1,-1.06,60.04,23,10.0,63.3151,0.2712,0.9019
专用设备,12.81,2.87,0.36,17.02,60.03,25,16.21,57.5386,0.2222,0.9106
服装家纺,-3.23,0.01,-3.53,-1.73,59.69,26,13.97,49.1168,0.1644,0.9094
橡胶制品,0.84,-0.07,0.93,2.17,59.43,27,10.0,29.5638,0.2273,0.9084
综合,2.07,-1.45,-5.33,1.55,59.01,28,7.51,-1.25,0.1875,0.8742
建筑装饰,-21.64,-25.65,-23.19,-14.23,59.0,29,20.09,10.2913,0.1875,0.9003
农化制品,11.87,-16.88,-12.95,0.77,58.81,30,9.99,27.2406,0.4576,0.8723
金属新材料,-12.81,9.11,6.65,3.46,58.71,31,5.98,52.0791,0.2353,0.9506
互联网电商,2.18,-1.33,-2.67,-0.09,58.66,32,10.02,17.862,0.3684,0.8908
其他社会服务,1.35,-1.03,-1.36,0.17,58.42,33,8.63,-12.9894,0.2439,0.9044
贸易,-1.47,-1.22,-0.01,-1.08,58.42,33,2.15,-2.2091,0.1333,0.9258
其他电子,-0.9,1.37,-7.12,10.24,58.05,35,9.14,13.9733,0.3824,0.9453
食品加工制造,-3.24,-3.7,-7.46,0.8,57.33,36,9.99,-1.8629,0.1667,0.9268
IT服务,-0.18,14.65,-19.7,0.76,57.03,37,20.0,9.6941,0.2031,0.8803
塑料制品,-3.56,-12.65,-2.7,-5.09,56.76,38,11.19,-2.7597,0.3026,0.9434
包装印刷,1.18,0.04,-4.54,4.34,56.71,39,10.01,16.251,0.1957,0.8992
环保设备,2.39,-1.28,-1.76,-2.37,56.26,40,10.01,52.0134,0.2667,0.9011
钢铁,-5.05,-3.19,-1.75,0.07,56.05,41,8.4,-17.5399,0.1395,0.8797
军工电子,5.29,-3.22,-19.94,0.12,55.91,42,16.1,5.9787,0.5484,0.8692
石油加工贸易,-2.29,-4.15,-4.63,-8.95,55.77,43,4.76,6.8826,0.2308,0.8884
证券,-62.53,-50.23,10.2,6.71,55.62,44,10.04,52.0476,0.08,0.9296
燃气,-2.87,-0.24,-1.53,-0.92,55.57,45,1.03,-3.6855,0.04,0.9461
医药商业,-1.69,-0.7,-2.24,-0.9,55.39,46,7.25,9.9617,0.0938,0.8819
房地产,-3.73,-4.01,-15.69,-7.3,55.29,47,10.01,27.1941,0.1047,0.89
计算机设备,29.3,3.51,-9.2,-1.58,54.27,48,10.99,31.8515,0.2892,0.8823
中药,-5.81,-1.19,-5.5,-2.08,53.95,49,2.83,-5.8885,0.1324,0.9156
银行,-66.54,-64.54,-25.82,20.28,53.85,50,-1.12,-0.2586,0.0,0.9862
通信服务,-0.08,-3.2,-11.03,-4.03,53.74,51,11.42,-4.4251,0.3488,0.8572
种植业与林业,-1.97,-1.95,-3.39,-2.33,53.39,52,0.21,,0.0667,0.8653
电网设备,-10.82,-25.97,-1.43,-2.93,53.25,53,10.01,37.548,0.1679,0.8934
物流,-2.26,-1.29,-3.05,-3.19,52.73,54,10.0,27.2576,0.102,0.8843
化学制品,2.9,-33.71,-24.39,-11.73,52.44,55,10.02,-6.5717,0.339,0.9224
贵金属,-7.42,-21.53,-9.13,-2.01,52.29,56,7.88,26.4071,0.4286,0.8057
文化传媒,-14.21,3.08,-11.67,-6.81,52.2,57,9.99,24.7552,0.0976,0.8882
养殖业,-5.07,-7.79,-2.61,-0.26,52.09,58,4.08,11.2761,0.0833,0.8889
小家电,-0.3,-0.19,-0.94,-1.97,52.04,59,11.75,,0.08,0.8912
