ts_code,name,industry,market,close,pct_chg,open,high,low,volume,amount,turnover_rate,ma5,ma10,ma20,ma60,ma120,ma250,ma20_slope,ma60_slope,high_20d,low_20d,high_60d,low_60d,close_vs_20d_high,close_vs_60d_high,price_percentile_1y,volatility_20d,main_net_inflow_1d,main_net_inflow_3d,main_net_inflow_5d,main_net_inflow_10d,northbound_flow,rsi_14,macd_hist,trend_strength_score,price_above_ma20_days,price_above_ma60_days,pe_ttm,pb,roe,net_profit_yoy,debt_ratio,pe_percentile_5y,pb_percentile_5y,value_score,growth_score,capital_score,sector_score,final_score,score_market_regime,score_weight_value,score_weight_growth,score_weight_capital,score_weight_sector,future_return_10,future_return_20,future_return_30,future_return_60
002842.SZ,翔鹭钨业,小金属,深交所,15.03,5.0314,14.61,15.52,14.42,42183842.0,631364643.0,19.7653,14.674,14.438,13.166,11.8753,11.1408,9.158,6.7932,2.8331,15.08,11.52,15.08,10.14,-0.3316,-0.3316,99.2063,66.1922,,,,,,70.4095,0.2815,100.0,21.0,24.0,43.584804,11.52191768,,,,8.2164,99.5041,8.577,74.225,76.6811,50.0,54.7933,neutral,0.25,0.35,0.25,0.15,,,,
600338.SH,西藏珠峰,工业金属,上交所,15.93,3.8462,15.6,16.09,15.52,79032886.0,1252908135.0,10.3712,15.352,14.865,14.2685,14.3012,13.3254,11.697,2.1952,1.1589,15.93,13.0,16.64,12.95,0.0,-4.2668,97.2222,41.3028,,,,,-309580.04,79.5045,0.4307,100.0,10.0,10.0,26.31800831,3.29700376,,,,4.9587,41.8182,12.7787,72.3738,74.4802,50.0,54.6456,neutral,0.25,0.35,0.25,0.15,,,,
002297.SZ,博云新材,航空装备Ⅱ,深交所,12.06,-0.9852,11.99,12.18,11.9,67610839.0,813424583.0,18.0517,12.052,11.688,10.902,9.7043,9.2698,8.0714,5.191,3.2229,12.39,9.78,12.39,8.42,-2.6634,-2.6634,98.0159,60.4418,,,,,0.0,70.0431,0.2187,100.0,26.0,30.0,98.22814259,8.39755396,,,,11.525,99.8347,8.242,72.0353,79.2168,50.0,54.5771,neutral,0.25,0.35,0.25,0.15,,,,
000751.SZ,锌业股份,工业金属,深交所,4.31,4.6117,4.16,4.35,4.16,102895296.0,439009907.0,15.6863,4.134,4.092,3.9915,3.997,3.7617,3.325,0.8209,0.6716,4.31,3.69,4.31,3.69,0.0,0.0,99.6032,36.631,,,,,-1615170.81,73.7864,0.0633,100.0,12.0,12.0,85.21203474,2.6147009,,,,55.3719,96.6942,4.3105,73.6982,76.871,50.0,53.5897,neutral,0.25,0.35,0.25,0.15,,,,
300446.SZ,航天智造,汽车零部件,创业板,25.56,3.4399,24.59,25.79,24.41,64763505.0,1627576133.0,7.868,25.082,25.025,23.706,20.9782,19.2877,18.4312,4.7501,3.3874,26.36,21.37,26.36,16.83,-3.0349,-3.0349,98.8095,79.1488,,,,,-4688386.16,62.1826,0.0717,100.0,22.0,53.0,16.80592152,2.31263732,,,,3.4513,7.7686,15.2195,72.0353,67.1977,50.0,53.3167,neutral,0.25,0.35,0.25,0.15,,,,
002897.SZ,意华股份,通信设备,深交所,53.25,1.3899,52.72,53.95,51.9,15105079.0,798048019.0,11.016,52.86,50.881,48.813,47.1702,45.2338,43.2043,3.8784,0.8858,54.07,45.0,54.07,42.12,-1.5166,-1.5166,99.2063,39.2372,,,,,3658832.77,72.0543,1.283,100.0,10.0,10.0,60.45164762,6.25093833,,,,74.0496,93.4711,2.763,73.347,77.4055,50.0,53.2136,neutral,0.25,0.35,0.25,0.15,,,,
002957.SZ,科瑞技术,自动化设备,深交所,22.69,1.7945,22.95,23.24,22.43,31062208.0,709579249.0,12.9107,22.008,21.918,20.7465,20.6977,19.2541,17.5506,2.9705,1.1114,22.75,18.85,23.35,18.85,-0.2637,-2.8266,98.0159,46.306,,,,,7019539.08,74.4838,0.46,100.0,10.0,9.0,85.13682192,7.67100774,,,,79.6694,99.4215,1.8303,72.3738,79.5139,50.0,53.1669,neutral,0.25,0.35,0.25,0.15,,,,
002083.SZ,孚日股份,纺织制造,深交所,14.06,7.4102,13.91,14.4,13.37,174419878.0,2454853481.0,12.6656,12.482,11.924,11.302,9.098,7.0147,5.8465,5.8785,7.4123,14.06,9.69,14.06,5.0,0.0,0.0,99.6032,87.0747,,,,,0.0,69.7143,0.3536,100.0,15.0,62.0,23.48139264,2.3139688,,,,86.8595,95.2066,1.4353,74.225,77.2838,50.0,53.1585,neutral,0.25,0.35,0.25,0.15,,,,
300136.SZ,信维通信,消费电子,创业板,64.12,-2.271,63.5,64.98,60.47,186857647.0,11736206844.0,18.896,59.216,51.969,43.863,35.5455,30.3622,26.5473,18.5246,8.1424,65.61,33.82,65.61,27.4,-2.271,-2.271,99.2063,96.2711,,,,,7849624.93,86.7453,5.1467,100.0,22.0,29.0,153.43955882,14.07732742,,,,99.7521,99.7521,-0.0898,72.0353,81.5824,50.0,53.0855,neutral,0.25,0.35,0.25,0.15,,,,
301421.SZ,波长光电,光学光电子,深交所,109.9,2.5282,106.0,111.2,105.89,7713420.0,844254345.0,15.6763,105.808,106.603,104.591,101.5888,93.6113,73.322,2.4423,-1.0885,112.29,96.6,132.3,88.0,-2.1284,-16.9312,94.0476,56.1117,,,,,12414250.64,56.7949,0.1887,100.0,21.0,9.0,285.92869061,8.40384624,,,,69.635,69.781,4.7793,68.5903,80.9696,50.0,52.9438,neutral,0.25,0.35,0.25,0.15,,,,
