ts_code,name,industry,market,close,pct_chg,open,high,low,volume,amount,turnover_rate,ma5,ma10,ma20,ma60,ma120,ma250,ma20_slope,ma60_slope,high_20d,low_20d,high_60d,low_60d,close_vs_20d_high,close_vs_60d_high,price_percentile_1y,volatility_20d,main_net_inflow_1d,main_net_inflow_3d,main_net_inflow_5d,main_net_inflow_10d,northbound_flow,rsi_14,macd_hist,trend_strength_score,price_above_ma20_days,price_above_ma60_days,pe_ttm,pb,roe,net_profit_yoy,debt_ratio,pe_percentile_5y,pb_percentile_5y,value_score,growth_score,capital_score,sector_score,final_score,score_market_regime,score_weight_value,score_weight_growth,score_weight_capital,score_weight_sector,future_return_10,future_return_30,future_return_60
300708.SZ,聚灿光电,光学光电子,创业板,10.03,-0.0996,9.94,10.03,9.73,61701523.0,610968659.0,3.2479,9.798,9.612,9.389,9.8482,9.6522,10.0996,1.1038,-0.48,10.04,8.71,12.52,8.71,-0.0996,-19.8882,60.3175,27.8039,,,,,17261555.47,70.7447,0.1918,100.0,8.0,2.0,44.51359747,2.65966579,,,,55.2846,17.686,-18.7711,71.9,66.8966,90.0967,50.7109,neutral,0.25,0.35,0.25,0.15,,,
300566.SZ,激智科技,光学光电子,创业板,25.09,12.1591,22.16,25.69,22.08,47260394.0,1160646945.0,11.1937,23.358,22.064,20.9625,19.5812,19.3787,19.0928,5.8204,1.1154,25.09,18.53,25.09,17.3,0.0,0.0,99.6032,57.47,,,,,0.0,77.7778,0.7275,100.0,30.0,17.0,40.70621583,3.68864194,,,,61.8182,79.1736,-36.4298,80.0,71.4146,90.0967,50.2607,neutral,0.25,0.35,0.25,0.15,,,
600563.SH,法拉电子,元件,上交所,176.77,3.7565,173.0,179.99,172.0,12909375.0,2273572978.0,4.4768,171.256,159.275,141.427,128.7628,118.0083,116.0351,9.7363,3.7809,176.77,114.49,176.77,114.06,0.0,0.0,99.6032,71.4029,,,,,30184452.98,78.5555,7.8557,100.0,17.0,17.0,30.58212266,5.80616411,,,,61.2397,52.6446,-29.595,80.0,60.5409,96.7142,50.2436,neutral,0.25,0.35,0.25,0.15,,,
301487.SZ,盟固利,电池,深交所,26.68,2.4184,25.78,26.74,25.31,23476871.0,614826395.0,5.0164,26.16,25.724,25.3255,23.2175,23.0046,23.0888,3.0833,0.5406,26.68,22.78,26.68,19.55,0.0,0.0,91.6667,47.162,,,,,-5774493.51,60.9231,0.0682,100.0,31.0,26.0,143.01258061,5.19207773,,,,2.4123,23.088,-1.6163,80.0,56.0753,55.7344,49.9749,neutral,0.25,0.35,0.25,0.15,,,
300241.SZ,瑞丰光电,光学光电子,创业板,7.67,1.054,7.46,7.67,7.35,86600157.0,651629094.0,6.2301,7.408,7.21,7.128,6.9515,6.4608,6.0866,2.0107,1.2477,7.67,6.55,7.77,6.16,0.0,-1.287,99.2063,37.4501,,,,,,65.0307,0.1086,100.0,5.0,19.0,69.71829,2.06407853,,,,28.8317,79.3388,-24.9258,78.0,61.32,90.0967,49.9131,neutral,0.25,0.35,0.25,0.15,,,
688536.SH,思瑞浦,半导体,科创板,330.22,4.1934,314.2,335.58,310.02,5964737.0,1933428112.0,3.4359,314.488,307.074,288.0925,217.9293,193.6287,170.7762,9.798,5.4806,330.22,232.0,330.22,156.55,0.0,0.0,99.6032,82.0652,,,,,3230125.05,71.5204,0.8302,100.0,34.0,34.0,182.2571249,7.53029205,,,,57.9602,62.9752,-31.0299,80.0,59.4661,90.1674,48.6342,neutral,0.25,0.35,0.25,0.15,,,
688508.SH,芯朋微,半导体,科创板,95.76,6.1994,89.18,99.0,89.01,12612793.0,1195519721.0,5.341,92.718,91.788,88.414,71.417,67.6049,63.6195,5.8172,2.7731,95.76,77.79,95.76,56.05,0.0,0.0,99.6032,62.838,,,,,-1029250.04,65.3889,-0.7415,100.0,34.0,28.0,73.6197536,4.26280655,,,,56.1983,54.6281,-28.3264,80.0,56.5195,90.1674,48.5734,neutral,0.25,0.35,0.25,0.15,,,
300763.SZ,锦浪科技,光伏设备,创业板,120.4,0.417,119.92,121.8,116.6,18991473.0,2267468678.0,4.8584,114.23,110.056,103.726,99.7297,87.9215,77.7664,5.0981,3.0109,120.4,86.37,120.4,83.6,0.0,0.0,99.6032,71.6252,,,,,25656090.85,68.7152,3.4564,100.0,19.0,19.0,59.04250926,3.98055285,,,,59.5868,48.5124,-27.9835,80.0,70.256,66.3888,48.5264,neutral,0.25,0.35,0.25,0.15,,,
688059.SH,华锐精密,通用设备,科创板,153.3,3.1073,149.16,155.56,145.53,4274246.0,645924723.0,4.8549,152.852,149.207,146.275,128.0727,108.999,88.054,5.9461,2.495,155.9,120.26,155.9,104.25,-1.6677,-1.6677,98.4127,73.5445,,,,,175.56,59.589,-0.6629,100.0,20.0,88.0,62.67166105,9.59912292,9.58,499.47,32.89,94.876,97.8512,-37.8581,97.7358,59.0409,57.9697,48.1987,neutral,0.25,0.35,0.25,0.15,,,
300219.SZ,鸿利智汇,光学光电子,创业板,8.61,-2.2701,8.5,8.77,8.38,66892685.0,573730014.0,6.0382,8.852,8.521,8.1835,7.8685,7.6751,7.2965,3.7857,0.9321,9.43,7.3,9.43,7.07,-8.6957,-8.6957,98.0159,47.4004,,,,,3771849.6,60.2837,0.1493,100.0,19.0,17.0,62.67232828,2.43772639,,,,76.9421,75.7025,-40.8554,75.3,70.9714,90.0967,47.3985,neutral,0.25,0.35,0.25,0.15,,,
