index_code,index_name,index_close,index_change_pct,index_ma20_position,index_ma60_position,index_ma120_position,market_risk_index,market_breadth_up,market_breadth_down,market_money_flow,northbound_total_flow,vix_proxy,market_volatility_20d,sector_rotation_state
000001,上证指数,4162.185,-0.1764,0.5236,2.3744,3.221,40.0,2764,2643,,0.0,,10.7787,强轮动
399006,创业板指,3921.789,0.3416,3.1345,12.7164,17.1944,40.0,2764,2643,,0.0,,25.0556,强轮动
000688,科创50,1832.022,3.2047,13.7845,26.28,28.4354,40.0,2764,2643,,0.0,,40.3585,强轮动
899050,北证50,1349.372,-1.1328,-2.4337,-1.7299,-5.3114,40.0,2764,2643,,0.0,,29.1071,强轮动
000300,沪深300,4850.7,-0.045,0.1315,3.4092,3.9654,40.0,2764,2643,,0.0,,13.0884,强轮动
