ts_code,name,industry,market,close,pct_chg,open,high,low,volume,amount,turnover_rate,ma5,ma10,ma20,ma60,ma120,ma250,ma20_slope,ma60_slope,high_20d,low_20d,high_60d,low_60d,close_vs_20d_high,close_vs_60d_high,price_percentile_1y,volatility_20d,main_net_inflow_1d,main_net_inflow_3d,main_net_inflow_5d,main_net_inflow_10d,northbound_flow,rsi_14,macd_hist,trend_strength_score,price_above_ma20_days,price_above_ma60_days,pe_ttm,pb,roe,net_profit_yoy,debt_ratio,pe_percentile_5y,pb_percentile_5y,value_score,growth_score,capital_score,sector_score,final_score,score_market_regime,score_weight_value,score_weight_growth,score_weight_capital,score_weight_sector,future_return_10,future_return_20,future_return_30,future_return_60
002297.SZ,博云新材,航空装备Ⅱ,深交所,12.33,-0.4843,12.45,13.0,12.22,151650308.0,1900017207.0,18.0517,11.722,10.936,10.4935,9.469,9.1289,7.9922,6.4142,3.1631,12.39,9.75,12.39,8.32,-0.4843,-0.4843,98.8095,56.3111,,,,,0.0,74.3529,0.4594,100.0,22.0,26.0,98.22814259,8.39755396,,,,11.525,99.8347,8.242,74.225,79.1522,50.0,55.3273,neutral,0.25,0.35,0.25,0.15,,,,
002842.SZ,翔鹭钨业,小金属,深交所,14.87,1.9191,14.92,15.34,14.6,61176932.0,914833884.0,19.7653,14.434,13.478,12.5115,11.6225,10.9301,9.0318,7.2016,3.0074,15.08,11.17,15.08,10.14,-1.3926,-1.3926,99.2063,64.584,,,,,,73.538,0.5527,100.0,17.0,20.0,43.584804,11.52191768,,,,8.2164,99.5041,8.577,74.225,76.7363,50.0,54.8071,neutral,0.25,0.35,0.25,0.15,,,,
600338.SH,西藏珠峰,工业金属,上交所,15.33,1.8605,15.48,15.99,15.2,105849878.0,1648281486.0,10.3712,14.626,14.106,13.998,14.1862,13.1848,11.633,0.4485,1.2442,15.33,13.0,16.64,12.95,0.0,-7.8726,97.2222,41.4082,,,,,-309580.04,68.5644,0.3641,100.0,6.0,6.0,26.31800831,3.29700376,,,,4.9587,41.8182,12.7787,71.6714,74.646,50.0,54.4412,neutral,0.25,0.35,0.25,0.15,,,,
002201.SZ,九鼎新材,玻璃玻纤,深交所,11.21,-9.9598,12.56,12.66,11.21,154485798.0,1787261273.0,11.3113,10.924,9.629,8.8555,8.4265,8.2713,7.0188,8.9505,3.2765,12.45,7.79,12.45,7.72,-9.9598,-9.9598,98.8095,81.2357,,,,,-152422.08,74.4083,0.8014,100.0,14.0,14.0,89.20157153,6.7585448,,,,17.8512,61.9008,10.2048,71.8597,75.735,50.0,54.1358,neutral,0.25,0.35,0.25,0.15,,,,
300136.SZ,信维通信,消费电子,创业板,51.35,0.0975,50.54,53.6,49.88,160315921.0,8262186202.0,18.896,47.2,42.137,37.9835,33.299,29.0588,25.987,12.0986,5.5687,51.35,31.02,51.35,25.78,0.0,0.0,99.6032,83.4644,,,,,7849624.93,86.5361,3.3953,100.0,18.0,25.0,153.43955882,14.07732742,,,,99.7521,99.7521,-0.0898,74.225,81.6551,50.0,53.8701,neutral,0.25,0.35,0.25,0.15,,,,
300505.SZ,川金诺,农化制品,创业板,22.6,-1.6536,23.0,23.05,22.46,11398880.0,258320902.0,22.1972,22.62,22.163,22.237,22.3377,21.4324,18.8696,0.1779,1.1677,23.22,20.8,25.41,20.51,-2.6701,-11.0586,92.4603,29.6322,,,,,0.0,53.0992,0.2217,100.0,5.0,7.0,16.24061091,2.32571955,,,,26.6798,51.0744,10.1012,67.7123,79.8702,50.0,53.6922,neutral,0.25,0.35,0.25,0.15,,,,
300446.SZ,航天智造,汽车零部件,创业板,25.24,-1.2133,24.86,26.14,24.49,64733985.0,1641905324.0,7.868,25.138,24.252,22.8545,20.4353,19.0149,18.305,6.3223,3.5522,26.36,20.29,26.36,16.72,-4.2489,-4.2489,98.4127,77.5563,,,,,-4688386.16,61.4061,0.5441,100.0,18.0,49.0,16.80592152,2.31263732,,,,3.4513,7.7686,15.2195,72.0353,67.5323,50.0,53.4003,neutral,0.25,0.35,0.25,0.15,,,,
002669.SZ,康达新材,化学制品,深交所,15.21,1.6032,14.91,15.41,14.77,19197450.0,291399477.0,12.0675,14.854,14.355,13.869,13.7662,13.6886,11.8142,2.7981,0.4488,15.21,12.98,15.21,12.86,0.0,0.0,99.2063,35.2505,,,,,,74.4253,0.3687,100.0,11.0,8.0,41.34237348,1.87656831,,,,42.314,96.4463,5.5612,73.5226,74.0853,50.0,53.1445,neutral,0.25,0.35,0.25,0.15,,,,
002897.SZ,意华股份,通信设备,深交所,51.77,5.245,50.49,54.01,49.41,21293126.0,1096548880.0,11.016,49.7,48.043,47.2645,46.8352,44.7273,43.0359,2.0666,0.0452,51.77,44.8,52.6,42.12,0.0,-1.5779,98.8095,38.957,,,,,3658832.77,64.4663,0.9947,100.0,6.0,6.0,60.45164762,6.25093833,,,,74.0496,93.4711,2.763,72.6446,77.7612,50.0,53.0567,neutral,0.25,0.35,0.25,0.15,,,,
000751.SZ,锌业股份,工业金属,深交所,4.08,-1.2107,4.18,4.19,4.08,65537849.0,270355936.0,15.6863,4.052,3.971,3.9625,3.9795,3.7299,3.3064,0.7885,1.1866,4.13,3.69,4.3,3.67,-1.2107,-5.1163,94.8413,37.8534,,,,,-1615170.81,58.5106,0.0464,100.0,8.0,8.0,85.21203474,2.6147009,,,,55.3719,96.6942,4.3105,72.0226,76.9636,50.0,53.0264,neutral,0.25,0.35,0.25,0.15,,,,
