industry,sector_money_flow_1d,sector_money_flow_3d,sector_money_flow_5d,sector_money_flow_10d,sector_momentum_score,sector_strength_rank,leader_stock_strength,leader_stock_return_20d,sector_high_stock_ratio,sector_new_high_ratio
通用设备,,,,,81.18,1,30.0,,0.5592,
纺织制造,,,,,80.63,2,10.01,,0.7812,
化学制品,,,,,78.72,3,20.0,,0.5486,
半导体,,,,,78.48,4,15.71,,0.5311,
环境治理,,,,,78.45,5,19.98,,0.6273,
橡胶制品,,,,,78.21,6,10.0,,0.7727,
汽车零部件,,,,,76.97,7,13.93,,0.5833,
计算机设备,,,,,76.53,8,14.74,,0.4578,
自动化设备,,,,,76.13,9,13.73,,0.4632,
环保设备,,,,,75.88,10,12.03,,0.6667,
非金属材料,,,,,75.58,11,16.19,,0.4,
光学光电子,,,,,75.51,12,11.2,,0.4953,
专用设备,,,,,75.04,13,11.94,,0.5515,
房地产,,,,,74.76,14,10.15,,0.6988,
塑料制品,,,,,74.49,15,18.0,,0.4342,
综合,,,,,73.79,16,9.93,,0.875,
生物制品,,,,,73.37,17,18.44,,0.8704,
IT服务,,,,,73.32,18,19.91,,0.368,
金属新材料,,,,,73.12,19,20.0,,0.1562,
化学原料,,,,,73.11,20,10.87,,0.5345,
电子化学品,,,,,72.71,21,13.71,,0.2927,
影视院线,,,,,72.67,22,6.19,,0.5263,
包装印刷,,,,,72.6,23,10.02,,0.5778,
造纸,,,,,72.23,24,10.03,,0.5833,
软件开发,,,,,72.19,25,20.0,,0.3333,
证券,,,,,71.73,26,10.0,,0.6042,
零售,,,,,71.72,27,9.96,,0.6769,
电机,,,,,71.61,28,10.02,,0.4167,
通信设备,,,,,71.59,29,10.0,,0.3297,
养殖业,,,,,71.56,30,10.05,,0.7143,
建筑装饰,,,,,71.27,31,10.03,,0.4964,
服装家纺,,,,,71.24,32,10.82,,0.6849,
石油加工贸易,,,,,71.14,33,9.99,,0.44,
文化传媒,,,,,70.79,34,9.98,,0.3875,
白色家电,,,,,70.78,35,7.18,,0.625,
家居用品,,,,,70.74,36,10.04,,0.6598,
其他电子,,,,,70.72,37,7.32,,0.3529,
化学纤维,,,,,70.66,38,5.6,,0.3929,
其他电源设备,,,,,70.66,38,9.9,,0.2857,
互联网电商,,,,,70.53,40,7.03,,0.3889,
建筑材料,,,,,70.18,41,8.51,,0.4648,
食品加工制造,,,,,69.44,42,9.22,,0.75,
电池,,,,,69.43,43,10.01,,0.2212,
消费电子,,,,,69.3,44,5.7,,0.3226,
燃气,,,,,69.12,45,9.97,,0.7917,
医疗器械,,,,,68.92,46,11.49,,0.8561,
旅游及酒店,,,,,68.36,47,7.73,,0.8571,
工程机械,,,,,68.35,48,7.41,,0.5278,
农化制品,,,,,68.32,49,9.98,,0.4098,
医疗服务,,,,,68.17,50,19.95,,0.8,
元件,,,,,67.9,51,10.0,,0.1452,
小金属,,,,,67.75,52,9.99,,0.1379,
物流,,,,,66.85,53,4.97,,0.7551,
黑色家电,,,,,66.32,54,4.32,,0.4444,
汽车服务及其他,,,,,66.01,55,5.38,,0.8,
军工电子,,,,,65.79,56,3.84,,0.1935,
光伏设备,,,,,65.69,57,5.36,,0.1644,
农产品加工,,,,,65.39,58,4.09,,0.775,
化学制药,,,,,65.27,59,27.9,,0.9172,
其他社会服务,,,,,65.13,60,2.93,,0.4103,
工业金属,,,,,64.99,61,6.35,,0.0909,
饮料制造,,,,,64.82,62,5.08,,0.6304,
轨交设备,,,,,64.46,63,6.86,,0.6552,
电网设备,,,,,64.16,64,10.02,,0.2993,
通信服务,,,,,63.7,65,4.99,,0.2,
军工装备,,,,,62.74,66,7.26,,0.1707,
美容护理,,,,,62.63,67,10.04,,0.7576,
种植业与林业,,,,,62.56,68,5.89,,0.5,
贸易,,,,,62.22,69,3.91,,0.5385,
多元金融,,,,,62.12,70,3.74,,0.4,
风电设备,,,,,62.1,71,2.54,,0.1935,
电力,,,,,61.21,72,10.01,,0.2617,
教育,,,,,60.8,73,1.82,,0.4667,
能源金属,,,,,59.93,74,-0.14,,0.0,
汽车整车,,,,,59.89,75,2.23,,0.3182,
公路铁路运输,,,,,59.88,76,5.26,,0.9032,
银行,,,,,59.23,77,4.09,,0.95,
煤炭开采加工,,,,,59.2,78,10.04,,0.4118,
钢铁,,,,,58.43,79,2.61,,0.2045,
小家电,,,,,57.6,80,2.67,,0.48,
厨卫电器,,,,,57.32,81,5.1,,0.6667,
中药,,,,,56.38,82,9.97,,0.8507,
贵金属,,,,,54.13,83,4.42,,0.0714,
游戏,,,,,53.2,84,5.13,,0.1739,
油气开采及服务,,,,,52.55,85,9.98,,0.3684,
港口航运,,,,,52.33,86,5.68,,0.6571,
医药商业,,,,,51.77,87,9.99,,0.9062,
机场航运,,,,,49.51,88,0.57,,0.1667,
白酒,,,,,44.11,89,2.51,,0.2105,
保险,,,,,43.67,90,-0.71,,0.0,
