industry,sector_money_flow_1d,sector_money_flow_3d,sector_money_flow_5d,sector_money_flow_10d,sector_momentum_score,sector_strength_rank,leader_stock_strength,leader_stock_return_20d,sector_high_stock_ratio,sector_new_high_ratio
电子化学品,-19.84,9.82,26.51,4.72,100.0,1,20.01,95.5224,0.5122,1.0
半导体,-90.58,-71.23,313.48,-2.69,100.0,1,20.01,85.5253,0.3855,0.995
光学光电子,-39.48,45.2,19.5,17.82,89.17,3,21.21,,0.4528,1.0
军工电子,-5.86,9.56,5.29,-19.94,85.74,4,9.99,15.1571,0.7097,1.0
环保设备,-1.98,0.77,2.39,-1.76,84.55,5,20.04,-18.2432,0.8276,0.9935
白色家电,-0.78,-11.27,-2.59,-25.46,83.87,6,29.99,,0.7778,0.9733
计算机设备,-47.66,-36.01,29.3,-9.2,79.87,7,29.82,-13.9535,0.7229,0.9684
游戏,0.37,-5.78,1.3,-11.06,79.75,8,5.32,-6.3232,0.7917,0.9878
光伏设备,-8.35,7.45,-13.71,7.64,79.24,9,20.03,19.2177,0.6575,0.9587
机场航运,7.13,-7.39,2.64,-7.5,78.74,10,4.47,-6.1135,1.0,0.9431
军工装备,1.64,21.45,7.2,-23.4,77.7,11,11.27,-11.2877,0.8415,0.9707
通用设备,6.96,-34.16,14.08,-2.81,76.97,12,14.66,64.6269,0.7419,0.9813
自动化设备,-56.42,-80.4,-0.19,21.73,76.81,13,20.01,62.9239,0.6562,0.9806
橡胶制品,-3.97,-4.9,0.84,0.93,76.26,14,20.0,31.5927,0.8182,0.9736
消费电子,-92.56,-85.43,115.21,-1.45,74.82,15,10.02,29.1619,0.5213,0.9633
造纸,0.49,0.09,-2.19,-2.1,74.09,16,9.97,-6.2367,0.875,0.9176
专用设备,-15.04,-15.11,12.81,0.36,74.06,17,14.01,69.7839,0.7107,0.9653
旅游及酒店,1.26,-2.83,-4.16,-3.91,72.57,18,7.12,5.1581,0.9706,0.9009
轨交设备,1.94,-2.82,-4.12,-0.8,71.87,19,9.96,31.6667,0.8333,0.9637
黑色家电,-1.08,-2.83,-2.41,1.16,71.71,20,2.14,-11.9541,0.5556,0.9562
饮料制造,2.39,-4.83,-3.29,-13.23,71.59,21,10.11,-31.3084,0.8913,0.8907
塑料制品,-12.87,-24.9,-3.56,-2.7,71.34,22,20.0,24.1998,0.6667,0.9643
IT服务,10.39,-32.22,-0.18,-19.7,71.11,23,19.94,-2.7778,0.8672,0.9268
家居用品,-1.04,0.76,0.19,-0.37,70.82,24,10.03,-7.9751,0.898,0.9085
元件,-126.73,-136.03,13.31,-7.39,70.49,25,20.0,62.6983,0.3387,0.9606
化学制药,49.28,-39.04,4.53,-19.37,70.27,26,20.04,-25.5977,0.9684,
风电设备,1.44,11.76,2.05,-0.32,69.75,27,4.9,26.2705,0.871,0.9004
物流,1.74,-2.19,-2.26,-3.05,69.14,28,20.02,33.8304,0.9796,
钢铁,7.54,-12.64,-5.05,-1.75,68.86,29,7.46,-4.4248,0.9302,0.9173
农产品加工,3.72,0.4,-2.78,-2.44,68.49,30,20.09,-13.2605,0.9524,
工程机械,-1.83,-0.49,-7.59,-6.29,68.44,31,20.02,17.6364,0.7778,0.9292
互联网电商,-0.69,-1.82,2.18,-2.67,68.33,32,20.0,36.5702,0.8947,
医疗服务,13.44,-11.84,12.79,-4.29,68.27,33,12.85,22.6881,0.9643,
环境治理,6.94,-6.92,-7.25,-3.34,68.11,34,11.86,-1.995,0.8829,0.9199
建筑材料,-4.33,-12.65,-4.53,-3.1,67.79,35,11.54,-24.6924,0.7534,0.9532
纺织制造,-0.0,-4.68,-2.73,-1.24,67.57,36,10.04,-7.9806,0.8125,0.9563
厨卫电器,-0.16,-0.32,-0.31,-0.27,67.5,37,2.49,-12.9148,0.7778,0.9331
化学制品,16.14,-36.56,2.9,-24.39,67.38,38,26.83,,0.84,
建筑装饰,1.52,-31.54,-21.64,-23.19,66.23,39,10.13,-1.8068,0.8451,0.9209
软件开发,37.66,-37.21,-11.09,-17.7,66.04,40,19.97,-23.1049,0.9137,
通信服务,17.83,-13.7,-0.08,-11.03,65.99,41,14.65,17.1674,0.8409,0.9239
公路铁路运输,0.0,-1.96,-3.76,-6.92,65.77,42,4.92,-18.2109,0.9032,0.9091
化学原料,-2.44,-9.8,1.7,-5.1,65.58,43,12.52,0.7261,0.9492,
美容护理,0.89,-1.33,-1.2,-1.2,65.42,44,12.53,-11.3006,0.9697,
农化制品,1.47,-19.85,11.87,-12.95,65.41,45,10.01,-7.4897,0.9016,
医疗器械,11.26,-11.32,-7.67,0.7,65.02,46,16.55,11.833,0.9137,
