ts_code,name,industry,market,close,pct_chg,open,high,low,volume,amount,turnover_rate,ma5,ma10,ma20,ma60,ma120,ma250,ma20_slope,ma60_slope,high_20d,low_20d,high_60d,low_60d,close_vs_20d_high,close_vs_60d_high,price_percentile_1y,volatility_20d,main_net_inflow_1d,main_net_inflow_3d,main_net_inflow_5d,main_net_inflow_10d,northbound_flow,rsi_14,macd_hist,trend_strength_score,price_above_ma20_days,price_above_ma60_days,pe_ttm,pb,roe,net_profit_yoy,debt_ratio,pe_percentile_5y,pb_percentile_5y,value_score,growth_score,capital_score,sector_score,final_score,score_market_regime,score_weight_value,score_weight_growth,score_weight_capital,score_weight_sector,future_return_10,future_return_20,future_return_30,future_return_60
603045.SH,福达合金,金属新材料,上交所,33.84,0.6843,33.59,34.29,32.1,8294183.0,278743465.0,8.027,31.948,31.212,29.0995,24.1957,22.2686,19.3705,3.5385,4.2348,33.84,25.65,33.84,18.52,0.0,0.0,99.6032,58.8906,,,,,,75.3319,0.5801,100.0,40.0,36.0,32.8617647,7.71782551,15.58,3635.07,66.21,18.0992,98.0992,26.9968,100.0,69.8326,50.0,66.7074,neutral,0.25,0.35,0.25,0.15,,,,
688328.SH,深科达,专用设备,科创板,39.75,11.0335,35.39,40.76,34.5,12580742.0,476918913.0,9.0862,34.56,34.255,33.4475,30.578,28.8102,24.3764,0.9187,2.3931,39.75,31.31,39.75,24.26,0.0,0.0,99.6032,76.7001,,,,,,73.2895,0.6262,100.0,2.0,45.0,243.11781362,10.56116635,3.21,89.22,41.85,99.7934,99.9174,17.355,87.5345,71.8761,50.0,60.4448,neutral,0.25,0.35,0.25,0.15,,,,
002170.SZ,芭田股份,农化制品,深交所,14.51,3.2006,13.96,14.64,13.95,55448210.0,799223262.0,2.8015,14.352,14.235,13.691,12.8227,12.0558,11.091,1.1003,1.6314,14.88,12.83,14.88,11.43,-2.4866,-2.4866,98.4127,55.01,,,,,-1350261.45,66.1734,0.0696,100.0,9.0,50.0,10.38862764,2.60257567,7.02,60.26,34.72,0.0826,53.8017,42.8579,82.119,50.6347,50.0,59.6148,neutral,0.25,0.35,0.25,0.15,,,,
600176.SH,中国巨石,玻璃玻纤,上交所,26.35,-3.797,27.1,27.25,26.0,85802388.0,2269213613.0,5.5425,26.992,27.215,24.9465,19.8928,17.8321,14.8843,6.3862,5.1594,28.5,20.15,28.5,15.02,-7.5439,-7.5439,96.0317,81.284,,,,,12889835.49,62.0575,-0.2854,100.0,47.0,46.0,76.33012563,9.0360129,4.0,73.48,38.93,99.8347,99.8347,24.6765,81.5699,69.0978,50.0,59.493,neutral,0.25,0.35,0.25,0.15,,,,
301662.SZ,宏工科技,电池,深交所,181.58,-1.997,183.0,183.84,175.3,1087725.0,194988821.0,5.3151,185.404,182.074,180.3995,151.702,141.8375,,1.5651,3.2201,197.5,164.73,197.5,110.07,-8.0608,-8.0608,95.7944,89.8504,,,,,,46.837,-2.2909,100.0,8.0,39.0,99.11272206,7.58707299,5.03,338.62,67.0,76.9759,61.512,18.2551,90.5234,62.7079,50.0,59.4239,neutral,0.25,0.35,0.25,0.15,,,,
002246.SZ,北化股份,化学制品,深交所,24.81,4.1562,23.83,25.38,23.43,56656478.0,1396763605.0,3.4903,23.518,22.212,21.107,19.6452,19.2652,16.2181,0.9904,2.6483,24.81,19.29,24.81,16.39,0.0,0.0,99.6032,56.2345,,,,,-7470888.33,81.2652,0.8251,100.0,7.0,39.0,33.74967318,3.29942241,2.34,145.09,34.65,0.7366,85.2066,21.6718,92.231,51.7636,50.0,58.1397,neutral,0.25,0.35,0.25,0.15,,,,
600988.SH,赤峰黄金,贵金属,上交所,39.94,-0.9916,39.5,41.1,39.05,48654270.0,1946648667.0,3.1116,41.694,40.299,39.38,35.504,32.6199,28.4432,-1.3156,2.4454,43.91,36.78,48.0,29.81,-9.0412,-16.7917,96.0317,73.5833,,,,,-36489665.34,60.0411,-0.0979,75.0,6.0,35.0,13.9437171,3.5005025,7.13,104.43,29.36,0.0826,1.9835,50.0192,73.1536,45.7505,50.0,57.0462,neutral,0.25,0.35,0.25,0.15,,,,
301031.SZ,中熔电气,其他电子Ⅱ,深交所,145.01,2.6474,141.3,148.8,140.14,3016278.0,438549753.0,3.9692,142.876,145.108,143.9775,126.0523,117.3455,109.1504,-0.469,2.7944,150.18,138.11,151.51,100.68,-3.4425,-4.2901,94.8413,31.2515,,,,,-1942051.92,57.7734,-2.8701,75.0,1.0,32.0,38.10176179,10.67444734,7.31,87.43,53.77,13.9167,69.3333,33.4014,72.9333,57.769,50.0,55.8193,neutral,0.25,0.35,0.25,0.15,,,,
002008.SZ,大族激光,自动化设备,深交所,69.54,-2.714,71.31,71.9,68.25,32810834.0,2291702155.0,10.9899,71.228,67.487,58.57,47.9625,43.2728,34.5905,9.3132,6.3741,74.62,47.12,74.62,36.1,-6.8078,-6.8078,97.2222,68.7323,,,,,-16856642.36,80.3103,2.2546,100.0,14.0,45.0,111.97264633,7.47781654,1.87,116.59,43.69,99.6694,99.6694,0.6818,87.6052,68.6588,50.0,55.497,neutral,0.25,0.35,0.25,0.15,,,,
603057.SH,紫燕食品,休闲食品,上交所,34.13,-0.9864,34.03,35.99,34.01,5771300.0,200756845.0,0.6968,33.574,32.446,30.209,25.1822,22.4776,21.8438,4.1726,5.2187,34.47,27.3,34.47,17.13,-0.9864,-0.9864,99.2063,51.399,,,,,-827100.44,74.5401,0.5591,100.0,9.0,50.0,30.42944801,4.34085869,3.98,447.29,47.71,48.6784,43.8326,28.1108,97.0371,27.1376,50.0,55.2751,neutral,0.25,0.35,0.25,0.15,,,,
601600.SH,中国铝业,工业金属,上交所,13.97,-5.5443,14.39,14.39,13.71,375445882.0,5257528565.0,2.233,14.29,13.781,13.475,12.6928,10.9627,8.9814,0.466,2.5366,14.79,12.64,15.7,10.28,-5.5443,-11.0191,95.2381,69.7403,,,,,-47258220.28,61.4407,0.1703,100.0,8.0,104.0,9.61507836,1.74857127,7.11,56.35,43.27,7.1901,34.2149,41.354,77.4672,38.3638,50.0,54.543,neutral,0.25,0.35,0.25,0.15,,,,
603031.SH,安孚科技,电池,上交所,53.69,1.5318,52.44,55.3,51.91,7270385.0,392140763.0,7.2757,54.24,55.497,55.676,49.5712,44.5628,36.5137,1.3756,2.64,59.9,50.59,59.9,38.27,-10.3673,-10.3673,93.254,85.5293,,,,,-1343886.01,49.494,-1.602,50.0,0.0,48.0,69.00955757,6.99014944,4.75,87.78,46.16,80.9685,54.6281,27.4344,64.7937,69.8143,50.0,54.49,neutral,0.25,0.35,0.25,0.15,,,,
301499.SZ,维科精密,汽车零部件,深交所,33.9,3.2907,32.8,34.65,32.64,6275660.0,214011749.0,13.3017,32.452,32.41,31.5215,30.8097,29.2248,27.8181,0.019,1.1314,33.9,29.9,34.46,28.38,0.0,-1.6251,99.2063,30.884,,,,,0.0,73.758,0.3084,100.0,9.0,62.0,73.52820735,3.08813424,,,,53.4459,56.2588,7.2219,73.1714,77.9197,50.0,54.3954,neutral,0.25,0.35,0.25,0.15,,,,
301607.SZ,富特科技,汽车零部件,深交所,45.85,-3.2904,47.87,47.96,44.88,5037053.0,233312165.0,16.7157,46.924,48.186,48.952,45.5202,43.1622,41.9176,-1.149,1.2167,51.68,45.85,51.68,39.6,-11.281,-11.281,72.2222,41.3426,,,,,,29.7258,-1.2849,25.0,0.0,38.0,44.9269566,9.3224627,6.06,291.32,65.15,21.0526,99.5423,23.6797,62.0072,76.2945,50.0,54.1961,neutral,0.25,0.35,0.25,0.15,,,,
