ts_code,name,industry,market,close,pct_chg,open,high,low,volume,amount,turnover_rate,ma5,ma10,ma20,ma60,ma120,ma250,ma20_slope,ma60_slope,high_20d,low_20d,high_60d,low_60d,close_vs_20d_high,close_vs_60d_high,price_percentile_1y,volatility_20d,main_net_inflow_1d,main_net_inflow_3d,main_net_inflow_5d,main_net_inflow_10d,northbound_flow,rsi_14,macd_hist,trend_strength_score,price_above_ma20_days,price_above_ma60_days,pe_ttm,pb,roe,net_profit_yoy,debt_ratio,pe_percentile_5y,pb_percentile_5y,value_score,growth_score,capital_score,sector_score,final_score,score_market_regime,score_weight_value,score_weight_growth,score_weight_capital,score_weight_sector,future_return_10,future_return_20,future_return_30,future_return_60
300613.SZ,富瀚微,半导体,创业板,80.1,9.3366,74.58,85.8,74.0,23702774.0,1900305365.0,10.7936,71.946,67.248,63.207,56.32,51.1653,49.6687,3.5756,4.8113,80.1,56.3,80.1,39.5,0.0,0.0,99.6032,60.5568,-50311000.0,-4360800.0,-21716100.0,244000000.0,22673675.52,86.2491,3.205,100.0,8.0,43.0,86.57743732,6.39495126,2.87,481.14,23.98,93.4711,68.9256,20.3366,95.3952,90.1911,96.8372,75.5458,neutral,0.25,0.35,0.25,0.15,,,,
300223.SZ,北京君正,半导体,创业板,237.36,20.0,207.0,237.36,206.0,56436716.0,12658486394.0,13.3833,201.592,179.707,164.7365,138.6323,130.9879,104.0039,9.5534,5.6048,237.36,139.36,237.36,104.3,0.0,0.0,99.6032,109.2818,-1382000000.0,-824000000.0,723000000.0,3146000000.0,-11637405.5,80.5281,13.5576,100.0,8.0,40.0,184.77790084,9.02856287,2.54,331.61,7.74,93.3058,99.3388,20.1838,94.022,83.5844,96.8372,73.3753,neutral,0.25,0.35,0.25,0.15,,,,
300042.SZ,朗科科技,计算机设备,创业板,74.89,3.0266,74.0,76.3,70.0,41513400.0,3076536399.0,20.7172,72.512,67.896,65.21,58.6817,46.8639,36.4165,2.2814,3.5729,74.89,57.17,74.89,41.45,0.0,0.0,99.6032,73.8959,-103000000.0,-44797000.0,19912000.0,45914799.99999999,19291809.99,61.0946,1.7678,100.0,7.0,105.0,123.27153808,13.22019781,7.47,744.43,34.18,84.4156,99.9174,30.4886,96.4783,95.3186,53.1917,73.198,neutral,0.25,0.35,0.25,0.15,,,,
002975.SZ,博杰股份,自动化设备,深交所,156.18,3.2117,150.0,156.66,145.6,19479547.0,2930562446.0,14.182,147.876,139.632,137.458,113.8873,96.3009,74.9261,4.7475,6.0846,156.18,119.09,156.18,69.26,0.0,0.0,99.6032,102.0427,-128000000.0,-190000000.0,-121000000.0,165000000.0,6738516.96,56.2925,3.0427,100.0,8.0,53.0,139.58339962,13.81214531,2.84,419.12,27.36,89.0147,99.9174,16.7995,94.6514,88.3167,75.653,70.755,neutral,0.25,0.35,0.25,0.15,,,,
002297.SZ,博云新材,航空装备Ⅱ,深交所,33.11,-1.634,33.19,35.9,32.35,103454902.0,3464264967.0,18.0517,31.83,27.576,24.1135,21.0598,16.624,12.587,6.3065,9.1834,33.66,19.66,33.66,10.66,-1.634,-1.634,99.2063,80.3112,-112999999.99999999,-146000000.0,-1389000000.0,-702000000.0,0.0,90.1106,2.5149,100.0,8.0,50.0,98.22814259,8.39755396,6.03,13362.43,32.32,11.525,99.8347,36.28,98.7136,76.202,50.0,70.1703,neutral,0.25,0.35,0.25,0.15,,,,
002192.SZ,融捷股份,能源金属,深交所,91.9,-1.5955,96.11,98.04,91.51,36058475.0,3387441989.0,13.9159,89.432,88.865,83.8775,85.0763,70.4112,54.6846,1.5472,2.9618,93.39,74.1,111.18,70.63,-1.5955,-17.3412,95.6349,64.6992,37303000.0,104000000.0,249000000.00000003,155000000.0,-19209195.33,68.0283,2.188,100.0,10.0,10.0,44.45050622,6.1580105,7.5,1296.26,22.51,55.5372,62.3967,40.6308,96.0219,65.6064,54.968,68.4122,neutral,0.25,0.35,0.25,0.15,,,,
300975.SZ,商络电子,元件,创业板,42.92,5.7143,41.14,43.98,38.8,109187150.0,4581450277.0,22.1892,41.904,40.632,40.976,27.9802,21.5628,16.9124,10.4266,7.6623,45.47,35.88,45.47,17.03,-5.6081,-5.6081,97.619,126.2987,233000000.0,200000000.0,-664000000.0,75896000.0,-5699200.81,49.083,-1.1285,100.0,24.0,112.0,56.39530325,11.10542734,10.1,600.35,72.67,46.5289,99.5041,20.5774,95.2929,66.701,83.3757,67.6785,neutral,0.25,0.35,0.25,0.15,,,,
688378.SH,奥来德,光学光电子,科创板,58.23,1.0587,58.5,60.8,57.05,11798630.0,698003290.0,4.8965,57.936,52.903,49.873,44.7483,39.8126,30.9043,4.0929,4.6284,59.2,40.55,59.2,33.42,-1.6385,-1.6385,99.2063,114.5183,-16998700.0,6755800.0,172000000.0,407000000.0,3846436.83,60.5107,1.9188,100.0,7.0,16.0,119.91393662,7.40204528,4.36,214.86,25.45,79.6694,99.8347,28.4782,92.0156,68.6509,73.0863,67.4507,neutral,0.25,0.35,0.25,0.15,,,,
688209.SH,英集芯,半导体,科创板,25.95,-1.1052,26.33,26.62,25.58,18511926.0,482264579.0,4.2675,25.902,24.405,23.3565,23.2045,22.8499,21.4559,0.3847,2.239,26.24,20.06,26.99,19.44,-1.1052,-3.8533,96.0317,64.7036,-22911300.0,6118500.0,19350800.0,59122900.0,1526428.99,71.7457,0.924,100.0,7.0,7.0,55.32484538,5.03434172,2.04,129.8,9.64,23.1755,77.6134,21.0737,87.8956,66.3931,96.8372,67.1557,neutral,0.25,0.35,0.25,0.15,,,,
688536.SH,思瑞浦,半导体,科创板,352.89,-0.8736,355.0,357.92,344.0,4803034.0,1688173989.0,3.5408,348.164,333.612,314.5115,261.7853,219.5008,183.3026,3.4351,5.5925,356.0,277.5,356.0,162.58,-0.8736,-0.8736,99.2063,71.983,-139000000.0,-85924000.0,-89396900.0,369000000.0,3230125.05,69.6985,6.2243,100.0,9.0,53.0,185.38816708,7.65965688,1.68,577.25,10.34,58.3333,63.3884,12.023,96.2573,63.3409,96.8372,67.0566,neutral,0.25,0.35,0.25,0.15,,,,
