index_code,index_name,index_close,index_change_pct,index_ma20_position,index_ma60_position,index_ma120_position,market_risk_index,market_breadth_up,market_breadth_down,market_money_flow,northbound_total_flow,vix_proxy,market_volatility_20d,sector_rotation_state
000001,上证指数,3994.998,2.6948,0.6338,-1.7858,-0.0666,68.0,2764,2643,954.47,0.0,20.86,21.8556,强轮动
399006,创业板指,3347.61,5.9097,2.1694,1.5915,4.2251,68.0,2764,2643,954.47,0.0,20.86,34.1816,强轮动
000688,科创50,1352.689,6.1753,2.5773,-4.8451,-3.0668,68.0,2764,2643,954.47,0.0,20.86,39.5779,强轮动
899050,北证50,1307.428,4.5602,-0.3197,-9.8131,-10.1487,68.0,2764,2643,954.47,0.0,20.86,33.9692,强轮动
000300,沪深300,4595.556,3.4892,0.9868,-1.2873,-0.7241,68.0,2764,2643,954.47,0.0,20.86,22.5039,强轮动
