ts_code,name,industry,market,close,pct_chg,open,high,low,volume,amount,turnover_rate,ma5,ma10,ma20,ma60,ma120,ma250,ma20_slope,ma60_slope,high_20d,low_20d,high_60d,low_60d,close_vs_20d_high,close_vs_60d_high,price_percentile_1y,volatility_20d,main_net_inflow_1d,main_net_inflow_3d,main_net_inflow_5d,main_net_inflow_10d,northbound_flow,rsi_14,macd_hist,trend_strength_score,price_above_ma20_days,price_above_ma60_days,pe_ttm,pb,roe,net_profit_yoy,debt_ratio,pe_percentile_5y,pb_percentile_5y,value_score,growth_score,capital_score,sector_score,final_score,score_market_regime,score_weight_value,score_weight_growth,score_weight_capital,score_weight_sector,future_return_10,future_return_20,future_return_30,future_return_60
002297.SZ,博云新材,航空装备Ⅱ,深交所,12.18,1.7544,12.25,12.58,11.84,94452126.0,1152496907.0,18.0517,12.118,11.524,10.811,9.6468,9.2339,8.0506,5.9538,3.3737,12.39,9.78,12.39,8.42,-1.6949,-1.6949,98.4127,60.2155,,,,,0.0,71.9027,0.2797,100.0,25.0,29.0,98.22814259,8.39755396,,,,11.525,99.8347,8.242,74.225,79.005,50.0,55.2905,neutral,0.25,0.35,0.25,0.15,,,,
600338.SH,西藏珠峰,工业金属,上交所,15.34,1.9947,15.5,15.57,15.05,59940727.0,916978630.0,10.3712,15.176,14.65,14.171,14.2645,13.2857,11.6777,1.7009,1.187,15.34,13.0,16.64,12.95,0.0,-7.8125,97.2222,39.7176,,,,,-309580.04,71.0145,0.3711,100.0,9.0,9.0,26.31800831,3.29700376,,,,4.9587,41.8182,12.7787,72.1982,74.6158,50.0,54.618,neutral,0.25,0.35,0.25,0.15,,,,
300136.SZ,信维通信,消费电子,创业板,65.61,5.8226,62.0,67.68,61.0,211456801.0,13644512454.0,18.896,56.652,49.36,42.2955,34.9562,30.012,26.3954,17.4239,7.6938,65.61,32.77,65.61,27.4,0.0,0.0,99.6032,93.8392,,,,,7849624.93,91.0576,5.2106,100.0,21.0,28.0,153.43955882,14.07732742,,,,99.7521,99.7521,-0.0898,74.225,81.4833,50.0,53.8271,neutral,0.25,0.35,0.25,0.15,,,,
002452.SZ,长高电气,电网设备,深交所,8.42,2.3086,8.31,8.47,8.29,23244557.0,195254518.0,18.47,8.274,8.242,8.1285,8.1113,7.7846,7.5371,1.1448,0.6286,8.42,7.91,8.96,7.51,0.0,-6.0268,95.2381,18.8184,,,,,,69.0476,0.0612,100.0,15.0,10.0,21.92683239,2.89161015,,,,36.6942,96.9421,6.0588,73.2518,76.2945,50.0,53.7265,neutral,0.25,0.35,0.25,0.15,,,,
002842.SZ,翔鹭钨业,小金属,深交所,14.31,-1.0373,14.51,14.8,14.05,26757510.0,384453960.0,19.7653,14.586,14.2,12.9985,11.8037,11.0848,9.124,6.878,2.8045,15.08,11.52,15.08,10.14,-5.1061,-5.1061,97.619,65.8686,,,,,,69.146,0.2892,100.0,20.0,23.0,43.584804,11.52191768,,,,8.2164,99.5041,8.577,70.2793,76.6259,50.0,53.3985,neutral,0.25,0.35,0.25,0.15,,,,
002975.SZ,博杰股份,自动化设备,深交所,82.25,6.8182,77.45,83.25,77.45,7690994.0,626556733.0,14.182,79.25,78.787,76.1935,70.951,60.1701,45.9129,1.1826,2.253,82.25,69.1,83.0,53.48,0.0,-0.9036,99.2063,51.1162,,,,,6738516.96,66.959,0.5786,100.0,9.0,133.0,139.58339962,13.81214531,,,,89.0147,99.9174,0.9137,73.1714,80.0627,50.0,53.3541,neutral,0.25,0.35,0.25,0.15,,,,
000751.SZ,锌业股份,工业金属,深交所,4.12,0.7335,4.11,4.16,4.08,51138175.0,210488869.0,15.6863,4.098,4.062,3.9825,3.991,3.7526,3.3196,0.8611,0.7828,4.13,3.69,4.3,3.69,-0.2421,-4.186,95.6349,36.9706,,,,,-1615170.81,64.0449,0.0413,100.0,11.0,11.0,85.21203474,2.6147009,,,,55.3719,96.6942,4.3105,72.5494,76.6614,50.0,53.1353,neutral,0.25,0.35,0.25,0.15,,,,
002083.SZ,孚日股份,纺织制造,深交所,13.09,10.0,12.4,13.09,12.4,152420361.0,1969514038.0,12.6656,12.082,11.596,11.111,8.9498,6.9388,5.8099,5.0189,7.2008,13.09,9.69,13.09,5.0,0.0,0.0,99.6032,89.7431,,,,,0.0,69.9717,0.164,100.0,14.0,61.0,23.48139264,2.3139688,,,,86.8595,95.2066,1.4353,74.0494,77.2377,50.0,53.0855,neutral,0.25,0.35,0.25,0.15,,,,
000960.SZ,锡业股份,小金属,深交所,28.28,1.4347,28.28,28.56,27.6,39670964.0,1118355983.0,9.4858,27.786,27.771,26.9635,24.7887,22.1533,18.1961,2.3205,1.9683,28.4,25.18,28.4,22.01,-0.4225,-0.4225,99.2063,45.6131,,,,,13773629.94,61.7048,-0.0011,100.0,26.0,29.0,31.31105102,3.52757559,,,,86.4463,99.0909,1.2122,74.225,76.8482,50.0,52.9938,neutral,0.25,0.35,0.25,0.15,,,,
301421.SZ,波长光电,光学光电子,深交所,107.19,2.9189,104.88,107.86,103.15,5558003.0,590674942.0,15.6763,105.392,105.713,103.8385,101.7238,93.2801,73.0916,2.3528,-1.2318,112.29,94.85,132.3,88.0,-4.5418,-18.9796,92.0635,56.3804,,,,,12414250.64,56.0575,-0.2033,100.0,20.0,8.0,285.92869061,8.40384624,,,,69.635,69.781,4.7793,68.5903,80.86,50.0,52.9164,neutral,0.25,0.35,0.25,0.15,,,,
301566.SZ,达利凯普,元件,深交所,20.16,3.7571,19.49,20.16,19.23,18310003.0,363663322.0,23.8573,19.874,19.701,19.429,18.3755,18.0188,17.1357,1.6932,0.9467,20.56,18.72,20.56,15.96,-1.9455,-1.9455,97.619,39.6847,,,,,-765948.67,57.2464,0.004,100.0,7.0,20.0,99.86279087,10.59575302,,,,99.3322,99.6661,-0.0444,72.8202,79.0349,50.0,52.7347,neutral,0.25,0.35,0.25,0.15,,,,
002957.SZ,科瑞技术,自动化设备,深交所,22.29,2.9561,21.75,22.58,21.5,19236896.0,425111867.0,12.9107,22.02,21.587,20.594,20.64,19.2015,17.5249,2.9674,1.1203,22.75,18.85,23.35,18.85,-2.022,-4.5396,96.8254,46.1519,,,,,7019539.08,68.9911,0.4527,100.0,9.0,8.0,85.13682192,7.67100774,,,,79.6694,99.4215,1.8303,70.9817,79.5254,50.0,52.6825,neutral,0.25,0.35,0.25,0.15,,,,
002669.SZ,康达新材,化学制品,深交所,15.02,-1.1842,15.2,15.24,14.93,12952800.0,195189688.0,12.0675,15.032,14.71,14.138,13.8202,13.7448,11.8757,3.2913,0.6311,15.21,13.13,15.21,12.86,-1.2492,-1.2492,98.0159,37.4251,,,,,,71.9902,0.2451,100.0,14.0,11.0,41.34237348,1.87656831,,,,42.314,96.4463,5.5612,72.2934,73.9196,50.0,52.6729,neutral,0.25,0.35,0.25,0.15,,,,
002522.SZ,浙江众成,塑料,深交所,5.7,1.0638,5.63,5.72,5.52,48825852.0,275278464.0,15.4961,5.606,5.591,5.301,5.1838,5.1472,4.8796,2.1584,1.4118,5.7,4.81,6.08,4.6,0.0,-6.25,96.8254,41.0331,,,,,0.0,82.9268,0.0917,100.0,11.0,11.0,123.05552574,3.11324215,,,,99.9174,90.9091,0.4914,72.5494,78.287,50.0,52.5869,neutral,0.25,0.35,0.25,0.15,,,,
002759.SZ,天际股份,电池,深交所,51.07,9.9935,47.85,51.07,44.6,179575796.0,8676759879.0,10.0257,48.546,43.628,38.866,35.5235,23.7722,15.6591,5.3779,7.6937,51.07,31.57,51.07,20.83,0.0,0.0,99.6032,92.2065,,,,,-2924805.0,80.9822,2.8604,100.0,8.0,142.0,43.76431357,3.78244139,,,,55.4953,77.0248,5.6265,72.9958,72.245,50.0,52.5164,neutral,0.25,0.35,0.25,0.15,,,,
002367.SZ,康力电梯,专用设备,深交所,7.97,-1.1166,8.0,8.1,7.82,26605952.0,211738711.0,7.4869,7.73,7.61,7.4145,7.2422,7.2262,7.0805,1.5129,1.2914,8.06,7.09,8.06,6.61,-1.1166,-1.1166,99.2063,24.4699,,,,,-1645301.04,81.8841,0.136,100.0,11.0,28.0,18.10533339,1.47607695,,,,72.7273,15.3719,8.1597,73.5226,68.9543,50.0,52.5114,neutral,0.25,0.35,0.25,0.15,,,,
002897.SZ,意华股份,通信设备,深交所,52.52,-2.8667,54.76,55.0,52.01,16852612.0,886144659.0,11.016,52.048,50.136,48.4625,47.0793,45.1098,43.1692,3.4827,0.684,54.07,45.0,54.07,42.12,-2.8667,-2.8667,98.4127,40.1633,,,,,3658832.77,66.4442,1.3582,100.0,9.0,9.0,60.45164762,6.25093833,,,,74.0496,93.4711,2.763,70.9817,77.6084,50.0,52.4364,neutral,0.25,0.35,0.25,0.15,,,,
001285.SZ,瑞立科密,汽车零部件,深交所,62.35,6.9285,59.49,64.14,59.49,13243154.0,824825689.0,5.8022,57.312,56.493,53.993,53.3167,,,3.327,,62.35,49.83,62.35,48.55,0.0,0.0,96.7742,44.6965,,,,,,75.7091,1.5973,100.0,17.0,3.0,21.56029319,1.95061947,,,,0.0,0.0,16.07,71.591,63.4259,50.0,52.4308,neutral,0.25,0.35,0.25,0.15,,,,
300285.SZ,国瓷材料,电子化学品Ⅱ,创业板,29.0,5.8008,28.12,29.41,28.12,44679618.0,1284617020.0,18.0,27.9,27.678,26.4235,24.1185,22.4535,19.8436,5.3275,1.7694,29.0,22.68,29.0,21.17,0.0,0.0,99.6032,80.9555,,,,,-3501689.55,55.9102,0.1728,100.0,18.0,18.0,159.05488732,13.60785525,,,,99.8347,99.8347,-0.1032,74.225,75.8308,50.0,52.4106,neutral,0.25,0.35,0.25,0.15,,,,
300322.SZ,硕贝德,消费电子,创业板,28.18,3.2613,27.12,28.49,26.82,81011320.0,2261577300.0,8.5933,26.522,25.689,24.145,23.2288,22.9675,18.3188,5.393,1.0682,28.18,21.89,28.18,20.09,0.0,0.0,98.4127,49.1425,,,,,0.0,80.292,0.9322,100.0,19.0,10.0,196.35416306,11.68495131,,,,77.0235,89.6694,2.7386,74.225,72.9297,50.0,52.3958,neutral,0.25,0.35,0.25,0.15,,,,
301293.SZ,三博脑科,医疗服务,深交所,70.78,20.0068,70.78,70.78,70.78,10669422.0,755181689.0,7.0411,61.272,58.601,56.2525,57.8887,57.3937,51.802,2.9672,0.3737,70.78,52.0,70.78,52.0,0.0,0.0,99.6032,77.8595,,,,,6038399.94,80.8519,2.8924,100.0,11.0,4.0,173.57352406,4.48406647,,,,85.0197,48.7516,4.7449,73.5226,71.7834,50.0,52.365,neutral,0.25,0.35,0.25,0.15,,,,
000636.SZ,风华高科,元件,深交所,16.9,3.8084,16.35,16.98,16.33,41302331.0,690239346.0,12.5367,16.45,16.214,16.218,16.3805,15.5607,14.7944,0.4273,0.421,16.9,15.44,18.19,14.88,0.0,-7.0918,94.0476,33.3529,,,,,2740610.88,53.1328,0.1773,100.0,7.0,1.0,299.77532971,7.3797697,,,,97.1901,99.9174,0.1411,71.847,78.4173,50.0,52.286,neutral,0.25,0.35,0.25,0.15,,,,
600237.SH,铜峰电子,元件,上交所,9.17,2.3438,9.14,9.23,8.96,41554192.0,379459090.0,17.623,9.074,9.157,8.9015,8.296,7.9957,7.4332,1.7082,1.702,9.58,8.17,9.58,7.03,-4.2797,-4.2797,98.0159,46.405,,,,,,54.3689,-0.041,100.0,15.0,50.0,69.85154626,4.09058428,,,,78.7603,97.6033,2.0389,72.0353,76.0183,50.0,52.2267,neutral,0.25,0.35,0.25,0.15,,,,
300446.SZ,航天智造,汽车零部件,创业板,24.71,-2.4862,25.33,25.33,24.01,54728581.0,1348277055.0,7.868,25.08,25.094,23.5045,20.8357,19.2158,18.3973,5.2739,3.4422,26.36,21.37,26.36,16.83,-6.2595,-6.2595,97.2222,79.0221,,,,,-4688386.16,60.0435,0.091,100.0,21.0,52.0,16.80592152,2.31263732,,,,3.4513,7.7686,15.2195,68.5233,67.4428,50.0,52.1487,neutral,0.25,0.35,0.25,0.15,,,,
301538.SZ,骏鼎达,塑料,深交所,83.43,4.0534,79.68,86.0,78.2,3908186.0,322153249.0,12.1748,79.052,76.81,75.6705,77.511,76.0374,71.5269,2.2029,-1.6892,83.43,70.72,91.16,69.55,0.0,-8.4796,87.6984,48.1369,,,,,,66.0143,2.1497,100.0,9.0,3.0,30.98954024,3.8712554,,,,64.4161,41.9708,7.1496,69.5642,74.03,50.0,52.1424,neutral,0.25,0.35,0.25,0.15,,,,
600961.SH,株冶集团,工业金属,上交所,16.48,2.3602,16.34,16.7,16.2,19834221.0,325846097.0,13.244,16.316,16.313,15.8525,15.4577,14.3687,11.8259,2.1654,0.3213,16.6,14.43,17.25,14.43,-0.7229,-4.4638,97.2222,48.0681,,,,,-8135132.49,58.6517,0.0483,100.0,16.0,12.0,18.85077621,7.43075118,,,,70.5785,85.8333,3.6066,73.2518,71.8346,50.0,51.9984,neutral,0.25,0.35,0.25,0.15,,,,
300505.SZ,川金诺,农化制品,创业板,22.94,2.4565,22.55,23.12,22.55,15132078.0,345736993.0,22.1972,22.748,22.556,22.211,22.4198,21.5116,18.961,-0.5307,0.8139,22.98,20.8,25.41,20.76,-0.1741,-9.7206,93.254,30.5281,,,,,0.0,62.2677,0.2029,75.0,8.0,1.0,16.24061091,2.32571955,,,,26.6798,51.0744,10.1012,62.8156,79.8887,50.0,51.9829,neutral,0.25,0.35,0.25,0.15,,,,
301246.SZ,宏源药业,化学制药,深交所,25.23,0.92,25.62,26.3,23.62,46517378.0,1159713665.0,7.0003,25.108,22.386,19.756,18.9583,17.1004,15.4179,9.7525,4.9112,26.88,16.6,26.88,14.74,-6.1384,-6.1384,99.2063,101.9686,,,,,-360794.8,77.4257,1.6322,100.0,9.0,9.0,44.52467147,2.45899845,,,,16.8142,75.0948,9.4122,70.9817,68.9523,50.0,51.9347,neutral,0.25,0.35,0.25,0.15,,,,
