industry,sector_money_flow_1d,sector_money_flow_3d,sector_money_flow_5d,sector_money_flow_10d,sector_momentum_score,sector_strength_rank,leader_stock_strength,leader_stock_return_20d,sector_high_stock_ratio,sector_new_high_ratio
电子化学品,6.88,-14.34,,,58.44,1,10.22,,0.6667,
光学光电子,35.28,-36.05,,,58.38,2,393.87,,0.419,
半导体,16.73,-63.27,,,57.43,3,16.88,8.8301,0.4494,
电力,6.81,-31.52,,,53.63,4,10.06,-27.2358,0.4299,
光伏设备,27.01,-60.05,,,52.95,5,10.0,-28.4553,0.3973,
通用设备,5.46,-54.73,,,52.45,6,18.13,-24.5639,0.1694,
医疗服务,0.7,2.05,,,52.32,7,11.07,-7.9113,0.3393,
电池,-16.1,-103.44,,,52.1,8,20.0,6.2395,0.1048,
包装印刷,-2.12,-6.71,,,51.74,9,20.0,,0.087,
消费电子,-15.74,-76.13,,,51.52,10,16.66,-30.6195,0.1596,
专用设备,2.07,-49.16,,,51.27,11,13.85,,0.2172,
元件,-25.81,-117.75,,,50.43,12,11.19,26.8361,0.2419,
其他电子,0.37,-5.79,,,50.18,13,7.03,,0.3333,
建筑材料,-2.87,-11.12,,,49.47,14,10.06,19.4564,0.2222,
化学制品,0.16,-32.18,,,49.42,15,10.02,13.8502,0.2203,
化学原料,0.67,-9.15,,,49.22,16,13.01,17.8991,0.1356,
汽车服务及其他,0.43,0.74,,,49.14,17,4.95,,0.3333,
IT服务,-5.06,-43.66,,,48.7,18,13.98,,0.0853,
橡胶制品,1.2,1.17,,,48.64,19,10.0,,0.1818,
塑料制品,,-22.56,,,48.61,20,10.47,,0.1688,
建筑装饰,-0.39,-31.61,,,48.51,21,10.03,-16.812,0.1748,
风电设备,3.02,-12.34,,,48.42,22,6.84,-37.5996,0.25,
互联网电商,-0.12,-1.49,,,48.13,23,9.94,24.6052,0.1579,
房地产,2.15,,,,48.03,24,10.01,-15.3261,0.1512,
环保设备,-0.25,-0.31,,,48.01,25,6.69,,0.2333,
医疗器械,-1.23,-4.02,,,48.0,26,13.41,51.0032,0.0647,
家居用品,0.3,-2.79,,,47.81,27,10.72,7.216,0.1224,
小金属,-5.69,-88.31,,,47.8,28,5.94,-16.4792,0.2414,
电网设备,-8.15,-44.63,,,47.77,29,10.04,-14.8026,0.1377,
环境治理,0.76,-8.83,,,47.74,30,10.03,2.4583,0.1364,
贸易,0.68,-1.36,,,47.46,31,4.25,,0.2667,
综合,-0.91,-15.61,,,47.15,32,6.8,1.8898,0.1875,
军工电子,0.56,-16.86,,,47.14,33,8.48,,0.1452,
白色家电,-1.79,-20.9,,,47.05,34,7.87,,0.1556,
化学纤维,-5.93,-5.19,,,46.97,35,4.29,-0.2141,0.2414,
教育,0.15,-0.73,,,46.79,36,5.01,-19.7466,0.2143,
饮料制造,-1.85,-3.89,,,46.79,36,10.02,,0.0889,
军工装备,-4.78,-57.85,,,46.71,38,10.0,,0.0854,
汽车零部件,,-18.28,,,46.64,39,10.01,38.3803,0.0815,
纺织制造,-1.03,0.87,,,46.59,40,10.76,-10.0316,0.0606,
软件开发,-5.25,-35.98,,,46.31,41,10.02,-17.1141,0.0652,
自动化设备,-32.3,-27.07,,,46.25,42,6.96,11.8494,0.1383,
其他社会服务,-0.26,-3.19,,,46.11,43,7.34,,0.122,
文化传媒,-4.27,-36.14,,,45.94,44,9.99,,0.0471,
工程机械,0.7,-8.01,,,45.83,45,3.65,-14.1962,0.2,
零售,-3.08,-3.51,,,45.73,46,8.64,,0.0704,
非金属材料,-0.01,-9.43,,,45.69,47,3.38,,0.2,
