industry,sector_money_flow_1d,sector_money_flow_3d,sector_money_flow_5d,sector_money_flow_10d,sector_momentum_score,sector_strength_rank,leader_stock_strength,leader_stock_return_20d,sector_high_stock_ratio,sector_new_high_ratio
证券,-3.27,-62.53,156.05,69.68,71.39,1,4.2,17.8804,0.7143,
医疗服务,18.96,12.79,9.64,3.86,70.86,2,20.0,0.8759,0.9464,
工业金属,3.87,-14.38,69.2,-2.35,70.81,3,10.09,20.0772,0.5962,
生物制品,15.0,0.67,-1.28,5.64,69.37,4,20.0,-0.2129,0.9815,
化学制药,49.14,4.53,-0.01,17.01,68.49,5,30.0,26.9623,0.9245,
电池,22.28,6.13,84.59,54.67,66.86,6,10.0,7.6782,0.3431,
医疗器械,7.96,-7.67,-11.11,2.02,66.06,7,211.65,,0.9143,
保险,2.48,-16.65,18.91,15.95,65.4,8,3.24,-8.7943,1.0,
贵金属,7.49,-7.42,21.13,12.93,63.52,9,10.01,7.8009,0.7143,
游戏,5.64,1.3,6.13,2.77,63.41,10,12.7,0.0,0.7917,
半导体,112.42,313.48,2.01,-80.89,63.36,11,20.0,127.3663,0.648,
中药,7.31,-5.81,-2.5,3.66,63.05,12,10.03,-8.9323,0.9265,
能源金属,4.51,33.25,23.56,8.92,62.65,13,5.87,56.7319,0.75,
光伏设备,18.43,-13.71,28.55,-19.31,62.48,14,16.55,20.5882,0.4247,
白酒,9.31,-17.54,6.35,3.59,62.44,15,6.56,-2.9952,0.8947,
电子化学品,29.83,26.51,8.51,-41.98,61.7,16,20.0,67.8339,0.5,
煤炭开采加工,2.11,-10.2,1.44,-5.05,61.67,17,5.26,0.2179,0.9375,
养殖业,4.67,-5.07,-3.35,3.8,61.46,18,9.98,-8.2598,0.8571,
医药商业,0.77,-1.69,-0.98,0.85,60.92,19,4.73,-16.2528,0.9375,
教育,-0.1,-1.08,0.36,-1.19,60.79,20,10.01,3.5027,0.7857,
钢铁,-0.65,-5.05,7.09,7.87,60.51,21,9.9,-4.7091,0.7073,
种植业与林业,-0.4,-1.97,0.31,2.25,59.91,22,10.07,-16.2411,0.7407,
饮料制造,3.38,-3.29,0.41,0.93,59.86,23,10.0,-14.3569,0.7391,
软件开发,-8.95,-11.09,34.38,4.78,59.53,24,10.71,-92.0716,0.365,
农产品加工,3.33,-2.78,-0.24,-0.51,59.45,25,8.51,-12.8778,0.7619,
旅游及酒店,-0.41,-4.16,-0.75,2.19,59.42,26,10.04,0.339,0.7273,
小家电,0.53,-0.3,-0.56,-2.08,59.06,27,4.74,-14.6959,0.84,
美容护理,0.83,-1.2,-0.42,2.31,58.87,28,10.02,8.0236,0.697,
厨卫电器,0.27,-0.31,-0.2,0.11,58.73,29,10.88,29.0749,0.6667,
零售,-2.14,-10.58,3.63,10.42,58.72,30,10.07,-9.4477,0.6479,
化学制品,-20.31,2.9,27.37,-10.8,58.64,31,11.71,17.9714,0.3657,
小金属,-14.68,-18.97,11.93,38.22,57.88,32,8.92,22.259,0.5517,
环保设备,-5.68,2.39,-1.35,-1.73,57.29,33,19.95,-24.4012,0.3793,
