ts_code,name,industry,market,close,pct_chg,open,high,low,volume,amount,turnover_rate,ma5,ma10,ma20,ma60,ma120,ma250,ma20_slope,ma60_slope,high_20d,low_20d,high_60d,low_60d,close_vs_20d_high,close_vs_60d_high,price_percentile_1y,volatility_20d,main_net_inflow_1d,main_net_inflow_3d,main_net_inflow_5d,main_net_inflow_10d,northbound_flow,rsi_14,macd_hist,trend_strength_score,price_above_ma20_days,price_above_ma60_days,pe_ttm,pb,roe,net_profit_yoy,debt_ratio,pe_percentile_5y,pb_percentile_5y,value_score,growth_score,capital_score,sector_score,final_score,score_market_regime,score_weight_value,score_weight_growth,score_weight_capital,score_weight_sector,future_return_10,future_return_30,future_return_60
300970.SZ,华绿生物,种植业,创业板,35.0,5.517,33.17,37.59,33.0,26614120.0,914975766.0,3.7826,33.004,31.24,28.7805,25.3243,21.7847,17.9761,8.9407,3.6297,35.0,23.08,35.0,21.66,0.0,0.0,99.6032,73.0496,-13527400.0,,,,,80.4331,1.0616,100.0,15.0,21.0,14.96758975,1.8753112,6.49,7014.32,29.72,13.0024,81.6529,-6.5025,100.0,49.86,50.0,53.3394,neutral,0.25,0.35,0.25,0.15,,,
688805.SH,健信超导,医疗器械,科创板,55.33,-2.6395,56.27,56.65,54.38,4605127.0,253933576.0,4.5673,54.714,52.112,49.223,47.1008,,,4.7599,1.2145,56.92,43.16,56.92,42.41,-2.7934,-2.7934,94.8052,92.7422,9490200.0,,,,,67.1146,1.6914,100.0,15.0,14.0,94.12582043,6.25680058,1.88,50.31,11.75,1.7094,24.7863,4.4744,84.9923,51.66,50.0,51.2809,neutral,0.25,0.35,0.25,0.15,,,
002437.SZ,誉衡药业,化学制药,深交所,3.75,0.5362,3.7,3.78,3.65,96200370.0,356502500.0,5.4585,3.784,3.74,3.63,3.4623,3.3444,3.2118,4.2504,1.3465,3.91,3.15,3.91,2.97,-4.0921,-4.0921,95.6349,51.6758,59123100.00000001,,,,2405181.76,57.6923,0.0099,100.0,18.0,18.0,14.73651875,2.53989023,,,,1.4634,8.7603,2.2977,75.3,62.4311,50.0,50.0372,neutral,0.25,0.35,0.25,0.15,,,
300113.SZ,顺网科技,游戏Ⅱ,创业板,29.68,4.5807,28.4,29.8,28.1,73680821.0,2138033909.0,6.2844,29.298,28.956,28.251,26.9293,23.8613,22.4185,0.6018,1.915,30.09,25.25,30.09,21.69,-1.3626,-1.3626,98.4127,73.1935,-153000000.0,,,,10373918.49,54.4735,0.1393,100.0,11.0,11.0,30.95715891,4.99189803,,,,0.2353,57.438,-9.4419,79.2,65.8731,50.0,49.3278,neutral,0.25,0.35,0.25,0.15,,,
002192.SZ,融捷股份,能源金属,深交所,81.55,1.0909,80.15,82.0,79.18,24143227.0,1955421121.0,8.447,81.824,78.844,75.8635,62.3508,57.1206,44.5246,9.8579,3.5588,84.55,64.46,84.55,50.1,-3.5482,-3.5482,98.4127,84.6433,-278000000.0,,,,-19209195.33,68.6986,0.5181,100.0,21.0,21.0,41.06472228,5.68895638,7.5,1296.26,22.51,51.4876,59.0083,-11.465,94.0692,46.522,50.0,49.1885,neutral,0.25,0.35,0.25,0.15,,,
600233.SH,圆通速递,物流,上交所,21.75,1.8735,21.36,22.12,21.36,24061866.0,524642307.0,0.656,21.28,20.817,20.5125,19.1582,18.0172,16.4874,2.0929,1.9386,21.75,19.83,21.75,16.71,0.0,0.0,99.6032,40.2385,6563200.000000001,,,,-8130109.04,63.3517,0.163,100.0,6.0,50.0,11.34385766,1.51757186,3.88,60.76,32.77,8.0992,14.9587,8.4256,87.1231,34.0739,50.0,48.618,neutral,0.25,0.35,0.25,0.15,,,
002259.SZ,升达林业,燃气Ⅱ,深交所,6.03,4.5061,5.79,6.17,5.73,47115504.0,282676948.0,2.1514,5.652,5.486,5.3665,5.4547,4.7229,4.368,1.5805,2.602,6.03,5.09,6.31,4.26,0.0,-4.4374,99.2063,48.5067,-4606900.0,,,,0.0,70.8333,0.1614,100.0,4.0,4.0,15.77905991,6.79778854,,,,1.9774,2.1488,3.7707,76.6,51.5518,50.0,48.1406,neutral,0.25,0.35,0.25,0.15,,,
301479.SZ,弘景光电,光学光电子,深交所,111.63,4.3661,107.33,111.95,107.33,4737047.0,521903670.0,4.8118,107.564,102.395,97.059,92.6588,90.2533,95.6575,3.1577,1.3854,111.63,83.89,111.63,83.89,0.0,0.0,90.0794,71.6364,-9979500.0,,,,,71.0769,3.4291,100.0,11.0,11.0,41.79629231,5.8695528,,,,12.0521,5.5375,-0.6026,79.2,52.12,50.0,48.0994,neutral,0.25,0.35,0.25,0.15,,,
600338.SH,西藏珠峰,工业金属,上交所,22.8,7.0925,21.0,22.94,20.7,107613264.0,2349209897.0,8.3443,21.532,19.952,18.4255,18.3297,16.6522,13.8871,8.5769,1.3062,22.8,15.81,22.8,14.71,0.0,0.0,99.6032,60.1708,-318000000.0,,,,-309580.04,84.6975,1.126,100.0,11.0,8.0,28.0951605,3.51963753,,,,10.6257,44.2975,-9.7934,79.2,61.0617,50.0,48.0371,neutral,0.25,0.35,0.25,0.15,,,
002588.SZ,史丹利,农化制品,深交所,11.68,9.9812,11.45,11.68,11.29,41328783.0,480213884.0,1.5463,10.766,10.644,10.5505,10.7813,10.2681,9.6496,0.7063,0.677,11.68,10.03,11.82,10.03,0.0,-1.1844,99.2063,48.8568,-21431500.0,,,,1212238.44,68.6154,0.1849,100.0,5.0,1.0,9.08504573,1.2493649,,,,0.2479,28.7603,-2.2768,78.0,51.4859,50.0,47.1023,neutral,0.25,0.35,0.25,0.15,,,
600502.SH,安徽建工,基础建设,上交所,5.94,-1.4925,5.97,6.03,5.84,40386896.0,240297656.0,1.3793,5.928,5.805,5.516,5.0288,4.891,4.8179,5.9038,2.0876,6.03,4.65,6.03,4.48,-1.4925,-1.4925,98.8095,60.51,11296600.0,,,,-2558667.11,62.7451,0.0662,100.0,17.0,17.0,5.07920975,0.64436549,,,,5.8678,0.2479,2.8843,80.0,43.0005,50.0,46.9712,neutral,0.25,0.35,0.25,0.15,,,
002209.SZ,达 意 隆,专用设备,深交所,17.33,3.1548,16.81,17.51,16.62,12650102.0,217817923.0,6.3147,16.816,16.08,15.795,15.7612,15.5163,14.6949,3.6043,0.0783,17.33,14.52,17.33,13.73,0.0,0.0,98.0159,59.3126,13622100.0,,,,,64.4681,0.4274,100.0,5.0,5.0,21.47146523,2.75868595,,,,2.5822,44.2975,-6.9781,78.0,54.7,50.0,46.7305,neutral,0.25,0.35,0.25,0.15,,,
300657.SZ,弘信电子,元件,创业板,36.87,5.9178,34.59,37.28,34.59,51688698.0,1888517726.0,12.5911,35.37,33.312,31.195,31.3422,30.1782,29.7936,4.1535,1.2824,36.87,27.83,36.87,27.83,0.0,0.0,99.2063,59.6327,-169000000.0,,,,15866848.86,80.0967,1.5247,100.0,8.0,7.0,116.43183874,14.61597849,,,,15.7895,96.8595,-24.7412,78.6,70.4672,50.0,46.4415,neutral,0.25,0.35,0.25,0.15,,,
002797.SZ,第一创业,证券Ⅱ,深交所,7.96,2.7097,7.73,8.04,7.66,219113591.0,1732418449.0,3.9186,7.912,7.858,7.5945,7.3632,7.2283,7.2893,1.2938,0.9413,8.0,6.97,8.0,6.81,-0.5,-0.5,92.4603,48.4433,-32360800.0,,,,-4540072.68,63.5593,0.0618,100.0,11.0,11.0,31.03990585,1.61662552,1.13,67.14,69.65,14.3802,19.0083,-17.4005,89.3538,46.9358,50.0,46.1577,neutral,0.25,0.35,0.25,0.15,,,
601311.SH,骆驼股份,电池,上交所,10.87,6.0488,10.47,11.28,10.46,141033794.0,1559317942.0,1.1121,10.428,10.202,9.8295,9.6572,9.5635,9.4504,2.8675,0.8195,10.87,9.09,10.87,9.09,0.0,0.0,92.4603,36.6148,-22623000.0,,,,-3723722.44,71.2838,0.215,100.0,9.0,9.0,12.48093512,0.92706948,,,,0.9917,5.5372,3.2686,78.8,40.152,50.0,45.9352,neutral,0.25,0.35,0.25,0.15,,,
601002.SH,晋亿实业,通用设备,上交所,6.63,1.0671,6.61,6.68,6.47,52879736.0,349117341.0,1.4847,6.42,6.193,5.87,5.6128,5.3884,5.2471,5.4144,1.7986,6.68,5.14,6.68,4.87,-0.7485,-0.7485,99.2063,76.3867,-4613700.0,,,,0.0,67.7778,0.1963,100.0,11.0,11.0,17.44029585,1.01924445,,,,18.5596,19.0083,-6.2479,79.2,49.0918,50.0,45.931,neutral,0.25,0.35,0.25,0.15,,,
600867.SH,通化东宝,生物制品,上交所,9.91,1.641,9.73,9.97,9.65,60684599.0,597253947.0,3.212,10.06,10.014,9.704,9.1442,8.93,8.4892,4.003,1.3859,10.49,8.39,10.49,8.11,-5.5291,-5.5291,96.8254,45.5724,24983800.0,,,,-854105.16,55.8824,-0.0309,100.0,18.0,18.0,12.46371643,2.12903617,,,,17.4336,0.9091,-1.329,73.3,52.0313,50.0,45.8306,neutral,0.25,0.35,0.25,0.15,,,
688428.SH,诺诚健华,化学制药,科创板,29.8,0.4043,29.52,30.28,29.4,7318022.0,217628033.0,4.9581,30.346,29.899,28.765,24.6283,24.0218,24.9063,5.9133,2.9139,31.3,24.29,31.3,19.88,-4.7923,-4.7923,88.0952,52.165,-10935500.0,,,,,55.6858,-0.218,100.0,21.0,33.0,59.27112847,5.89398954,1.4,488.93,29.09,33.8983,80.574,-27.5464,91.4538,52.38,50.0,45.7172,neutral,0.25,0.35,0.25,0.15,,,
300099.SZ,尤洛卡,专用设备,创业板,9.85,-1.5,9.93,10.0,9.76,34990848.0,344982480.0,3.8328,9.658,9.232,8.9075,8.7973,8.0674,7.5002,1.1813,1.6308,10.0,8.17,10.0,7.86,-1.5,-1.5,99.2063,54.429,-22188900.0,,,,0.0,71.1409,0.2873,100.0,7.0,11.0,27.30496892,2.09494931,,,,22.0661,42.7273,-13.405,78.4,56.0318,50.0,45.5967,neutral,0.25,0.35,0.25,0.15,,,
301608.SZ,博实结,计算机设备,深交所,93.51,1.2342,92.0,95.14,91.51,2438225.0,226847801.0,3.0106,89.032,87.007,84.0535,88.4327,88.2703,86.5054,2.3352,-1.0095,93.51,78.71,97.12,76.59,0.0,-3.7171,82.5397,36.0564,-12382400.0,,,,,74.2661,2.7724,100.0,11.0,2.0,27.94070888,3.13443627,,,,7.2368,13.1579,-0.8224,75.0,48.08,50.0,45.5644,neutral,0.25,0.35,0.25,0.15,,,
