industry,sector_money_flow_1d,sector_money_flow_3d,sector_money_flow_5d,sector_money_flow_10d,sector_momentum_score,sector_strength_rank,leader_stock_strength,leader_stock_return_20d,sector_high_stock_ratio,sector_new_high_ratio
元件,13.31,13.04,-7.39,65.09,80.48,1,19.99,30.726,0.7097,0.9876
煤炭开采加工,-10.2,-12.07,-8.99,-9.61,75.33,2,2.18,-18.2288,0.0588,0.9954
电池,6.13,-81.73,64.87,32.17,73.22,3,17.5,-0.7456,0.3883,0.8997
电力,-45.4,-117.63,-31.01,0.67,70.98,4,10.03,69.5394,0.0734,0.9874
通信设备,-50.56,50.77,48.31,102.78,68.96,5,10.01,70.3448,0.3626,0.9351
非金属材料,0.48,-8.65,-0.73,3.72,67.81,6,10.0,21.8414,0.4,0.9942
消费电子,115.21,52.59,-1.45,23.28,63.31,7,10.03,11.6308,0.4632,0.9731
零售,-10.58,-7.83,-2.32,-9.6,63.06,8,7.36,-10.8369,0.1127,0.9399
其他电源设备,-9.93,2.38,-6.82,18.08,62.07,9,19.99,,0.3143,0.9213
食品加工制造,-3.24,-3.7,-7.46,0.8,61.03,10,9.99,-1.8629,0.1667,0.9349
互联网电商,2.18,-1.33,-2.67,-0.09,60.36,11,10.02,17.862,0.3684,0.9021
光学光电子,19.5,-72.11,17.82,41.43,60.23,12,25.16,,0.4095,0.9483
建筑材料,-4.53,-9.36,-3.1,14.2,60.06,13,17.59,97.2807,0.2603,0.9393
电子化学品,26.51,-13.66,4.72,48.8,59.81,14,15.64,36.2391,0.7561,0.9234
综合,2.07,-1.45,-5.33,1.55,59.1,15,7.51,-1.25,0.1875,0.8884
自动化设备,-0.19,17.6,21.73,5.24,59.0,16,16.05,61.3116,0.3958,0.9363
汽车服务及其他,0.83,-1.84,-0.72,-0.75,58.91,17,11.84,22.8087,0.32,0.9271
港口航运,-10.59,-13.07,-12.01,-4.58,58.79,18,10.02,7.5365,0.2647,0.9371
半导体,313.48,119.66,-2.69,123.65,57.79,19,1212.84,,0.8324,0.8894
医药商业,-1.69,-0.7,-2.24,-0.9,57.16,20,7.25,9.9617,0.0938,0.8975
化学纤维,0.18,-7.59,-4.55,4.28,57.05,21,13.13,6.686,0.5172,0.8563
其他电子,-0.9,1.37,-7.12,10.24,56.88,22,9.14,13.9733,0.3824,0.9455
中药,-5.81,-1.19,-5.5,-2.08,56.61,23,2.83,-5.8885,0.1324,0.9272
小金属,-18.97,-8.75,-8.78,29.21,56.31,24,10.0,48.1227,0.3448,0.9206
服装家纺,-3.23,0.01,-3.53,-1.73,56.22,25,13.97,49.1168,0.1644,0.9209
能源金属,33.25,-17.3,-11.14,15.46,56.21,26,10.02,29.9253,0.8333,0.8019
证券,-62.53,-50.23,10.2,6.71,55.7,27,10.04,52.0476,0.08,0.9377
建筑装饰,-21.64,-25.65,-23.19,-14.23,55.54,28,20.09,10.2913,0.1875,0.9077
环境治理,-7.25,-3.87,-3.34,-0.44,55.52,29,11.68,19.2893,0.1518,0.921
银行,-66.54,-64.54,-25.82,20.28,55.42,30,-1.12,-0.2586,0.0,0.9922
贸易,-1.47,-1.22,-0.01,-1.08,55.35,31,2.15,-2.2091,0.1333,0.9285
电网设备,-10.82,-25.97,-1.43,-2.93,55.17,32,10.01,37.548,0.1679,0.9022
文化传媒,-14.21,3.08,-11.67,-6.81,54.36,33,9.99,24.7552,0.0976,0.9052
燃气,-2.87,-0.24,-1.53,-0.92,54.15,34,1.03,-3.6855,0.04,0.9508
饮料制造,-3.29,-3.65,-13.23,-4.64,53.89,35,1.91,5.2333,0.0217,0.9576
美容护理,-1.2,-1.26,-1.2,-1.19,53.61,36,4.42,11.4565,0.0909,0.8912
机场航运,2.64,-10.57,-7.5,0.79,53.4,37,3.31,-8.7675,0.3846,0.9306
专用设备,12.81,2.87,0.36,17.02,53.3,38,16.21,57.5386,0.2222,0.9142
房地产,-3.73,-4.01,-15.69,-7.3,53.24,39,10.01,27.1941,0.1047,0.9028
油气开采及服务,-5.23,-5.39,-6.01,-10.97,53.01,40,1.11,-2.6738,0.1579,0.8742
