index_code,index_name,index_close,index_change_pct,index_ma20_position,index_ma60_position,index_ma120_position,market_risk_index,market_breadth_up,market_breadth_down,market_money_flow,northbound_total_flow,vix_proxy,market_volatility_20d,sector_rotation_state
000001,上证指数,3948.552,1.4567,-1.489,-3.0223,-1.192,73.0,2883,2522,954.47,0.0,20.86,19.4389,强轮动
399006,创业板指,3247.523,1.9646,-1.082,-1.512,1.0935,73.0,2883,2522,954.47,0.0,20.86,28.0883,强轮动
000688,科创50,1298.198,3.3328,-3.3349,-9.0076,-7.4197,73.0,2883,2522,954.47,0.0,20.86,32.6117,强轮动
899050,北证50,1278.119,2.3896,-4.6469,-12.5581,-12.6773,73.0,2883,2522,954.47,0.0,20.86,30.5735,强轮动
000300,沪深300,4526.067,1.7083,-1.2374,-3.0168,-2.3245,73.0,2883,2522,954.47,0.0,20.86,19.2062,强轮动
