ts_code,name,industry,market,close,pct_chg,open,high,low,volume,amount,turnover_rate,ma5,ma10,ma20,ma60,ma120,ma250,ma20_slope,ma60_slope,high_20d,low_20d,high_60d,low_60d,close_vs_20d_high,close_vs_60d_high,price_percentile_1y,volatility_20d,main_net_inflow_1d,main_net_inflow_3d,main_net_inflow_5d,main_net_inflow_10d,northbound_flow,rsi_14,macd_hist,trend_strength_score,price_above_ma20_days,price_above_ma60_days,pe_ttm,pb,roe,net_profit_yoy,debt_ratio,pe_percentile_5y,pb_percentile_5y,value_score,growth_score,capital_score,sector_score,final_score,score_market_regime,score_weight_value,score_weight_growth,score_weight_capital,score_weight_sector,future_return_10,future_return_30,future_return_60
300657.SZ,弘信电子,元件,创业板,48.9,-2.6866,51.0,52.88,47.0,124655757.0,6179896387.0,12.5911,50.362,44.608,40.8245,34.577,32.0552,30.8924,10.1088,4.5707,52.08,34.93,52.08,27.83,-6.106,-6.106,98.0159,114.6593,,,,,15866848.86,69.4609,2.0849,100.0,6.0,27.0,116.43183874,14.61597849,,,,15.7895,96.8595,-24.7412,73.5,67.8606,93.9198,50.5928,neutral,0.25,0.35,0.25,0.15,,,
688127.SH,蓝特光学,光学光电子,科创板,93.98,-9.8859,104.14,104.14,91.18,23162012.0,2221410152.0,2.5927,98.278,96.705,86.1505,69.1242,54.4753,40.9966,8.5744,6.367,104.29,68.3,104.29,50.03,-9.8859,-9.8859,96.4286,71.8321,,,,,1155149.02,68.1453,0.7028,100.0,33.0,114.0,72.41159027,14.66144717,5.74,184.4,25.72,77.1901,98.1818,-31.9466,87.1462,61.6332,82.0038,50.2234,neutral,0.25,0.35,0.25,0.15,,,
688100.SH,威胜信息,通信设备,科创板,40.2,4.5514,38.5,40.5,38.5,5140556.0,204348803.0,0.6223,39.134,38.887,38.036,38.8592,38.827,37.1557,0.5273,-0.5549,40.2,34.9,45.5,34.9,0.0,-11.6484,85.3175,43.0253,,,,,-3372326.34,64.4831,0.3664,100.0,15.0,1.0,22.5604569,4.3034613,,,,0.1653,11.9008,1.9669,74.8,48.0674,76.0121,50.0904,neutral,0.25,0.35,0.25,0.15,,,
600563.SH,法拉电子,元件,上交所,172.43,-1.0161,176.0,176.58,167.35,15545369.0,2654472709.0,4.4768,162.99,147.27,133.8145,126.1023,116.3749,115.2649,7.6415,3.5676,174.2,114.49,174.2,114.06,-1.0161,-1.0161,99.2063,69.4648,,,,,30184452.98,85.2351,10.2852,100.0,14.0,14.0,30.58212266,5.80616411,,,,61.2397,52.6446,-29.595,79.8,60.4253,93.9198,49.7255,neutral,0.25,0.35,0.25,0.15,,,
688380.SH,中微半导,半导体,科创板,52.49,3.8994,50.0,52.66,48.6,17072051.0,869828743.0,3.9956,52.244,51.72,49.892,47.4347,42.811,36.4164,2.7049,0.3696,55.29,45.91,55.29,40.6,-5.0642,-5.0642,96.8254,62.1144,,,,,4755850.93,59.2074,0.1039,100.0,29.0,15.0,67.04901591,6.25211028,,,,27.0774,92.5373,-27.6114,77.3,61.1742,93.2951,49.44,neutral,0.25,0.35,0.25,0.15,,,
301297.SZ,富乐德,半导体,深交所,49.19,-2.4008,48.81,50.06,47.2,26546442.0,1286302920.0,7.6057,50.82,50.696,47.178,39.5113,38.815,40.0142,6.8693,2.3473,54.18,39.47,54.18,32.7,-9.21,-9.21,96.8254,77.8259,,,,,1954350.0,61.5592,-0.3078,100.0,31.0,24.0,90.42967793,7.22576679,,,,41.0012,69.7259,-26.7819,73.3,65.9429,93.2951,49.4395,neutral,0.25,0.35,0.25,0.15,,,
688508.SH,芯朋微,半导体,科创板,93.96,3.2527,91.61,105.38,91.23,13520894.0,1321063322.0,5.341,92.304,91.472,85.822,70.2678,66.6764,63.1508,7.6435,2.899,93.96,73.99,93.96,56.05,0.0,0.0,99.6032,58.817,,,,,-1029250.04,63.558,-0.1582,100.0,31.0,25.0,73.6197536,4.26280655,,,,56.1983,54.6281,-28.3264,80.0,56.6054,93.2951,49.064,neutral,0.25,0.35,0.25,0.15,,,
688805.SH,健信超导,医疗器械,科创板,60.0,-1.088,61.01,61.01,57.92,5256296.0,313173030.0,4.5673,58.314,55.643,54.449,49.8165,,,1.6807,2.3469,60.66,49.95,60.66,42.41,-1.088,-1.088,97.9381,63.5532,,,,,,67.5723,0.9669,100.0,6.0,34.0,94.12582043,6.25680058,,,,1.7094,24.7863,-1.7949,78.2,56.7996,52.9011,49.0563,neutral,0.25,0.35,0.25,0.15,,,
688536.SH,思瑞浦,半导体,科创板,321.28,7.4551,305.0,325.0,302.1,6980979.0,2193064051.0,3.4359,305.71,301.221,273.041,210.98,189.8736,168.77,10.6816,5.2065,321.28,212.82,321.28,156.55,0.0,0.0,99.6032,77.0951,,,,,3230125.05,67.2707,2.0633,100.0,31.0,31.0,182.2571249,7.53029205,,,,57.9602,62.9752,-31.0299,80.0,59.0822,93.2951,49.0073,neutral,0.25,0.35,0.25,0.15,,,
300566.SZ,激智科技,光学光电子,创业板,23.34,1.0827,23.6,23.98,22.72,34863127.0,806051069.0,11.1937,22.052,21.138,20.2445,19.4505,19.2364,19.0334,4.1384,0.6,23.34,18.4,23.34,17.3,0.0,0.0,99.6032,41.0313,,,,,0.0,85.5721,0.6721,100.0,27.0,14.0,40.70621583,3.68864194,,,,61.8182,79.1736,-36.4298,80.0,71.242,82.0038,49.0036,neutral,0.25,0.35,0.25,0.15,,,
