index_code,index_name,index_close,index_change_pct,index_ma20_position,index_ma60_position,index_ma120_position,market_risk_index,market_breadth_up,market_breadth_down,market_money_flow,northbound_total_flow,vix_proxy,market_volatility_20d,sector_rotation_state
000001,上证指数,3959.621,0.4738,1.6311,1.0385,4.0576,40.0,1230,4228,,0.0,,9.2693,
399006,创业板指,3239.343,0.3024,3.0368,3.5835,13.4523,40.0,1230,4228,,0.0,,24.2585,
000688,科创50,1349.058,-0.2269,1.461,-2.2361,6.4506,40.0,1230,4228,,0.0,,22.1206,
899050,北证50,1457.961,0.8588,2.4127,-0.6322,-2.0157,40.0,1230,4228,,0.0,,19.3899,
000300,沪深300,4642.536,0.1829,1.4496,0.9327,4.8875,40.0,1230,4228,,0.0,,12.0625,
