index_code,index_name,index_close,index_change_pct,index_ma20_position,index_ma60_position,index_ma120_position,market_risk_index,market_breadth_up,market_breadth_down,market_money_flow,northbound_total_flow,vix_proxy,market_volatility_20d,sector_rotation_state
000001,上证指数,4027.736,-0.7404,-2.3698,-0.7471,-0.6011,50.0,1433,4034,-461.41,0.0,,13.8698,
399006,创业板指,3957.935,-3.2026,-0.7357,9.0675,14.8787,50.0,1433,4034,-461.41,0.0,,31.6108,
000688,科创50,1668.329,-4.0119,-5.1159,10.056,13.3937,50.0,1433,4034,-461.41,0.0,,51.5703,
899050,北证50,1299.072,5.5934,-1.703,-2.4744,-7.9823,50.0,1433,4034,-461.41,0.0,,33.067,
000300,沪深300,4816.92,-1.7906,-1.5357,1.7994,2.4552,50.0,1433,4034,-461.41,0.0,,17.2508,
